taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,63,917504,URMA_WRITE,7,0ns,0,,0.0,59.31054,0.0,0.0,123.7559
1,0,1,917504,URMA_WRITE,7,0ns,1,,0.0,56.41904,0.0,0.0,130.0985
2,0,62,917504,URMA_WRITE,7,0ns,2,,0.0,67.72088,0.0,0.0,108.3865
3,0,2,917504,URMA_WRITE,7,0ns,3,,0.0,57.6451,0.0,0.0,127.3314
4,0,61,917504,URMA_WRITE,7,0ns,4,,0.0,28.54996,0.0,0.0,257.0943
5,0,3,917504,URMA_WRITE,7,0ns,5,,0.0,56.41622,0.0,0.0,130.105
6,0,60,917504,URMA_WRITE,7,0ns,6,,0.0,85.71684,0.0,0.0,85.6312
7,0,4,917504,URMA_WRITE,7,0ns,7,,0.0,40.11198,0.0,0.0,182.9885
8,0,59,917504,URMA_WRITE,7,0ns,8,,0.0,58.48854,0.0,0.0,125.4952
9,0,5,917504,URMA_WRITE,7,0ns,9,,0.0,77.31222,0.0,0.0,94.9401
10,0,58,917504,URMA_WRITE,7,0ns,10,,0.0,77.93926,0.0,0.0,94.1763
11,0,6,917504,URMA_WRITE,7,0ns,11,,0.0,49.12682,0.0,0.0,149.4099
12,0,57,917504,URMA_WRITE,7,0ns,12,,0.0,56.69684,0.0,0.0,129.461
13,0,7,917504,URMA_WRITE,7,0ns,13,,0.0,57.9826,0.0,0.0,126.5903
14,0,56,917504,URMA_WRITE,7,0ns,14,,0.0,83.74584,0.0,0.0,87.6465
15,0,8,917504,URMA_WRITE,7,0ns,15,,0.0,105.52056,0.0,0.0,69.5602
16,1,0,917504,URMA_WRITE,7,0ns,16,,0.0,141.34146,0.0,0.0,51.9312
17,1,2,917504,URMA_WRITE,7,0ns,17,,0.0,37.74332,0.0,0.0,194.4723
18,1,63,917504,URMA_WRITE,7,0ns,18,,0.0,71.1906,0.0,0.0,103.1039
19,1,3,917504,URMA_WRITE,7,0ns,19,,0.0,141.51372,0.0,0.0,51.868
20,1,62,917504,URMA_WRITE,7,0ns,20,,0.0,39.38258,0.0,0.0,186.3776
21,1,4,917504,URMA_WRITE,7,0ns,21,,0.0,62.15254,0.0,0.0,118.0971
22,1,61,917504,URMA_WRITE,7,0ns,22,,0.0,62.13832,0.0,0.0,118.1241
23,1,5,917504,URMA_WRITE,7,0ns,23,,0.0,141.5153,0.0,0.0,51.8674
24,1,60,917504,URMA_WRITE,7,0ns,24,,0.0,37.7395,0.0,0.0,194.492
25,1,6,917504,URMA_WRITE,7,0ns,25,,0.0,78.94622,0.0,0.0,92.9751
26,1,59,917504,URMA_WRITE,7,0ns,26,,0.0,142.20062,0.0,0.0,51.6174
27,1,7,917504,URMA_WRITE,7,0ns,27,,0.0,141.68756,0.0,0.0,51.8044
28,1,58,917504,URMA_WRITE,7,0ns,28,,0.0,62.05484,0.0,0.0,118.283
29,1,8,917504,URMA_WRITE,7,0ns,29,,0.0,141.68914,0.0,0.0,51.8038
30,1,57,917504,URMA_WRITE,7,0ns,30,,0.0,142.19904,0.0,0.0,51.618
31,1,9,917504,URMA_WRITE,7,0ns,31,,0.0,60.58676,0.0,0.0,121.1491
32,2,1,917504,URMA_WRITE,7,0ns,32,,0.0,65.70912,0.0,0.0,111.7049
33,2,3,917504,URMA_WRITE,7,0ns,33,,0.0,81.63774,0.0,0.0,89.9098
34,2,0,917504,URMA_WRITE,7,0ns,34,,0.0,56.76436,0.0,0.0,129.3071
35,2,4,917504,URMA_WRITE,7,0ns,35,,0.0,55.16178,0.0,0.0,133.0637
36,2,63,917504,URMA_WRITE,7,0ns,36,,0.0,69.01494,0.0,0.0,106.3542
37,2,5,917504,URMA_WRITE,7,0ns,37,,0.0,56.5739,0.0,0.0,129.7424
38,2,62,917504,URMA_WRITE,7,0ns,38,,0.0,57.14118,0.0,0.0,128.4543
39,2,6,917504,URMA_WRITE,7,0ns,39,,0.0,68.34462,0.0,0.0,107.3974
40,2,61,917504,URMA_WRITE,7,0ns,40,,0.0,29.67672,0.0,0.0,247.333
