taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,63,1065221,URMA_WRITE,7,0ns,0,,0.0,45.00382,0.0,0.0,189.3565
1,0,1,1065221,URMA_WRITE,7,0ns,1,,0.0,44.01784,0.0,0.0,193.5981
2,0,62,1065221,URMA_WRITE,7,0ns,2,,0.0,43.99598,0.0,0.0,193.6942
3,0,2,1065221,URMA_WRITE,7,0ns,3,,0.0,43.99914,0.0,0.0,193.6803
4,0,61,1065220,URMA_WRITE,7,0ns,4,,0.0,44.01606,0.0,0.0,193.6057
5,0,3,1065220,URMA_WRITE,7,0ns,5,,0.0,44.02136,0.0,0.0,193.5824
6,0,60,1065220,URMA_WRITE,7,0ns,6,,0.0,44.01448,0.0,0.0,193.6126
7,0,4,1065220,URMA_WRITE,7,0ns,7,,0.0,44.02294,0.0,0.0,193.5754
8,0,59,1065220,URMA_WRITE,7,0ns,8,,0.0,44.03242,0.0,0.0,193.5338
9,0,5,1065220,URMA_WRITE,7,0ns,9,,0.0,44.02452,0.0,0.0,193.5685
10,0,58,1065220,URMA_WRITE,7,0ns,10,,0.0,44.03084,0.0,0.0,193.5407
11,0,6,1065220,URMA_WRITE,7,0ns,11,,0.0,44.0261,0.0,0.0,193.5615
12,0,57,1065220,URMA_WRITE,7,0ns,12,,0.0,44.00974,0.0,0.0,193.6335
13,0,7,1065220,URMA_WRITE,7,0ns,13,,0.0,44.0402,0.0,0.0,193.4996
14,0,56,1065220,URMA_WRITE,7,0ns,14,,0.0,44.00816,0.0,0.0,193.6405
15,0,8,1065220,URMA_WRITE,7,0ns,15,,0.0,44.04694,0.0,0.0,193.47
16,1,0,1065221,URMA_WRITE,7,0ns,16,,0.0,43.91112,0.0,0.0,194.0686
17,1,2,1065221,URMA_WRITE,7,0ns,17,,0.0,43.92996,0.0,0.0,193.9853
18,1,63,1065221,URMA_WRITE,7,0ns,18,,0.0,43.92714,0.0,0.0,193.9978
19,1,3,1065221,URMA_WRITE,7,0ns,19,,0.0,43.93436,0.0,0.0,193.9659
20,1,62,1065220,URMA_WRITE,7,0ns,20,,0.0,43.94858,0.0,0.0,193.903
21,1,4,1065220,URMA_WRITE,7,0ns,21,,0.0,43.93594,0.0,0.0,193.9587
22,1,61,1065220,URMA_WRITE,7,0ns,22,,0.0,43.947,0.0,0.0,193.9099
23,1,5,1065220,URMA_WRITE,7,0ns,23,,0.0,43.94756,0.0,0.0,193.9075
24,1,60,1065220,URMA_WRITE,7,0ns,24,,0.0,43.94666,0.0,0.0,193.9114
25,1,6,1065220,URMA_WRITE,7,0ns,25,,0.0,43.94914,0.0,0.0,193.9005
26,1,59,1065220,URMA_WRITE,7,0ns,26,,0.0,43.94508,0.0,0.0,193.9184
27,1,7,1065220,URMA_WRITE,7,0ns,27,,0.0,43.95072,0.0,0.0,193.8935
28,1,58,1065220,URMA_WRITE,7,0ns,28,,0.0,43.9435,0.0,0.0,193.9254
29,1,8,1065220,URMA_WRITE,7,0ns,29,,0.0,43.94226,0.0,0.0,193.9309
30,1,57,1065220,URMA_WRITE,7,0ns,30,,0.0,43.94192,0.0,0.0,193.9324
31,1,9,1065220,URMA_WRITE,7,0ns,31,,0.0,43.96132,0.0,0.0,193.8468
32,2,1,1065221,URMA_WRITE,7,0ns,32,,0.0,43.91766,0.0,0.0,194.0397
33,2,3,1065221,URMA_WRITE,7,0ns,33,,0.0,44.0263,0.0,0.0,193.5608
34,2,0,1065221,URMA_WRITE,7,0ns,34,,0.0,43.91608,0.0,0.0,194.0466
35,2,4,1065221,URMA_WRITE,7,0ns,35,,0.0,43.94254,0.0,0.0,193.9298
36,2,63,1065220,URMA_WRITE,7,0ns,36,,0.0,44.02224,0.0,0.0,193.5785
37,2,5,1065220,URMA_WRITE,7,0ns,37,,0.0,44.02714,0.0,0.0,193.557
38,2,62,1065220,URMA_WRITE,7,0ns,38,,0.0,44.02066,0.0,0.0,193.5855
39,2,6,1065220,URMA_WRITE,7,0ns,39,,0.0,44.03036,0.0,0.0,193.5428
40,2,61,1065220,URMA_WRITE,7,0ns,40,,0.0,44.12298,0.0,0.0,193.1365
41,2,7,1065220,URMA_WRITE,7,0ns,41,,0.0,43.94694,0.0,0.0,193.9102
42,2,60,1065220,URMA_WRITE,7,0ns,42,,0.0,44.1214,0.0,0.0,193.1435
43,2,8,1065220,URMA_WRITE,7,0ns,43,,0.0,44.03318,0.0,0.0,193.5304
44,2,59,1065220,URMA_WRITE,7,0ns,44,,0.0,44.01592,0.0,0.0,193.6063
45,2,9,1065220,URMA_WRITE,7,0ns,45,,0.0,44.132,0.0,0.0,193.0971
46,2,58,1065220,URMA_WRITE,7,0ns,46,,0.0,44.01434,0.0,0.0,193.6133
47,2,10,1065220,URMA_WRITE,7,0ns,47,,0.0,44.03634,0.0,0.0,193.5165
48,3,2,1065221,URMA_WRITE,7,0ns,48,,0.0,44.01686,0.0,0.0,193.6024
49,3,4,1065221,URMA_WRITE,7,0ns,49,,0.0,43.91138,0.0,0.0,194.0674
50,3,1,1065221,URMA_WRITE,7,0ns,50,,0.0,44.01528,0.0,0.0,193.6093
51,3,5,1065221,URMA_WRITE,7,0ns,51,,0.0,44.01968,0.0,0.0,193.59
52,3,0,1065220,URMA_WRITE,7,0ns,52,,0.0,44.0137,0.0,0.0,193.6161
53,3,6,1065220,URMA_WRITE,7,0ns,53,,0.0,44.11952,0.0,0.0,193.1517
54,3,63,1065220,URMA_WRITE,7,0ns,54,,0.0,44.11738,0.0,0.0,193.1611
55,3,7,1065220,URMA_WRITE,7,0ns,55,,0.0,44.1211,0.0,0.0,193.1448
56,3,62,1065220,URMA_WRITE,7,0ns,56,,0.0,44.1158,0.0,0.0,193.168
57,3,8,1065220,URMA_WRITE,7,0ns,57,,0.0,44.02442,0.0,0.0,193.5689
58,3,61,1065220,URMA_WRITE,7,0ns,58,,0.0,44.00896,0.0,0.0,193.6369
59,3,9,1065220,URMA_WRITE,7,0ns,59,,0.0,44.026,0.0,0.0,193.562
60,3,60,1065220,URMA_WRITE,7,0ns,60,,0.0,44.00738,0.0,0.0,193.6439
