nodeId,originalNodeId,role
0,0,NPU
1,1,NPU
2,2,NPU
3,3,NPU
4,4,NPU
5,5,NPU
6,6,NPU
7,7,NPU
8,8,NPU
9,9,NPU
10,10,NPU
11,11,NPU
12,12,NPU
13,13,NPU
14,14,NPU
15,15,NPU
16,16,NPU
17,17,NPU
18,18,NPU
19,19,NPU
20,20,NPU
21,21,NPU
22,22,NPU
23,23,NPU
24,24,NPU
25,25,NPU
26,26,NPU
27,27,NPU
28,28,NPU
29,29,NPU
30,30,NPU
31,31,NPU
32,32,NPU
33,33,NPU
34,34,NPU
35,35,NPU
36,36,NPU
37,37,NPU
38,38,NPU
39,39,NPU
40,40,NPU
41,41,NPU
42,42,NPU
43,43,NPU
44,44,NPU
45,45,NPU
46,46,NPU
47,47,NPU
48,48,NPU
49,49,NPU
50,50,NPU
51,51,NPU
52,52,NPU
53,53,NPU
54,54,NPU
55,55,NPU
56,56,NPU
57,57,NPU
58,58,NPU
59,59,NPU
60,60,NPU
61,61,NPU
62,62,NPU
63,63,NPU
64,1024,L1
65,1025,L1
66,1026,L1
67,1027,L1
68,1028,L1
69,1029,L1
70,1030,L1
71,1031,L1
72,1152,L1
73,1153,L1
74,1154,L1
75,1155,L1
76,1156,L1
77,1157,L1
78,1158,L1
79,1159,L1
80,1280,L1
81,1281,L1
82,1282,L1
83,1283,L1
84,1284,L1
85,1285,L1
86,1286,L1
87,1287,L1
88,1408,L1
89,1409,L1
90,1410,L1
91,1411,L1
92,1412,L1
93,1413,L1
94,1414,L1
95,1415,L1
96,1536,L1
97,1537,L1
98,1538,L1
99,1539,L1
100,1540,L1
101,1541,L1
102,1542,L1
103,1543,L1
104,1664,L1
105,1665,L1
106,1666,L1
107,1667,L1
108,1668,L1
109,1669,L1
110,1670,L1
111,1671,L1
112,1792,L1
113,1793,L1
114,1794,L1
115,1795,L1
116,1796,L1
117,1797,L1
118,1798,L1
119,1799,L1
120,1920,L1
121,1921,L1
122,1922,L1
123,1923,L1
124,1924,L1
125,1925,L1
126,1926,L1
127,1927,L1
128,2048,L2
129,2049,L2
130,2080,L2
131,2081,L2
132,2112,L2
133,2113,L2
134,2144,L2
135,2145,L2
136,2176,L2
137,2177,L2
138,2208,L2
139,2209,L2
140,2240,L2
141,2241,L2
142,2272,L2
143,2273,L2
144,2304,M5808
145,2305,M5808
146,2306,M5808
147,2307,M5808
148,2308,M5808
149,2309,M5808
150,2310,M5808
151,2311,M5808
152,2312,M5808
153,2313,M5808
154,2314,M5808
155,2315,M5808
156,2316,M5808
157,2317,M5808
158,2318,M5808
159,2319,M5808
160,2320,M5808
161,2321,M5808
162,2322,M5808
163,2323,M5808
164,2324,M5808
165,2325,M5808
166,2326,M5808
167,2327,M5808
168,2328,M5808
169,2329,M5808
170,2330,M5808
171,2331,M5808
172,2332,M5808
173,2333,M5808
174,2334,M5808
175,2335,M5808
