taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,16777216,URMA_WRITE,7,0ns,0,,0.0,88.55732,0.001,88.56282,1515.6029
1,1,2,16777216,URMA_WRITE,7,0ns,0,,0.0,71.43422,0.001,71.44104,1878.8996
2,2,3,16777216,URMA_WRITE,7,0ns,0,,0.0,70.95512,0.001,70.96292,1891.5862
3,3,4,16777216,URMA_WRITE,7,0ns,0,,0.0,71.61712,0.001,71.6236,1874.1012
4,4,5,16777216,URMA_WRITE,7,0ns,0,,0.0,71.44962,0.001,71.61508,1878.4946
5,5,6,16777216,URMA_WRITE,7,0ns,0,,0.0,72.45368,0.001,72.45982,1852.4625
6,6,7,16777216,URMA_WRITE,7,0ns,0,,0.0,73.678,0.001,73.80052,1821.6799
7,7,8,16777216,URMA_WRITE,7,0ns,0,,0.0,88.25426,0.001,88.26722,1520.8074
8,8,9,16777216,URMA_WRITE,7,0ns,0,,0.0,87.89826,0.001,87.90474,1526.9668
9,9,10,16777216,URMA_WRITE,7,0ns,0,,0.0,71.26634,0.001,71.27182,1883.3257
10,10,11,16777216,URMA_WRITE,7,0ns,0,,0.0,71.20004,0.001,71.29588,1885.0794
11,11,12,16777216,URMA_WRITE,7,0ns,0,,0.0,71.5075,0.001,71.5148,1876.9741
12,12,13,16777216,URMA_WRITE,7,0ns,0,,0.0,71.68562,0.001,71.6921,1872.3103
13,13,14,16777216,URMA_WRITE,7,0ns,0,,0.0,72.37456,0.001,72.3807,1854.4877
14,14,15,16777216,URMA_WRITE,7,0ns,0,,0.0,73.75964,0.001,73.88752,1819.6635
15,15,0,16777216,URMA_WRITE,7,0ns,0,,0.0,88.82578,0.001,89.0057,1511.0222
16,0,2,16777216,URMA_WRITE,7,0ns,0,,0.0,88.5545,0.001,88.56082,1515.6511
17,1,3,16777216,URMA_WRITE,7,0ns,0,,0.0,71.20174,0.001,71.20704,1885.0344
18,2,4,16777216,URMA_WRITE,7,0ns,0,,0.0,71.27632,0.001,71.39374,1883.062
19,3,5,16777216,URMA_WRITE,7,0ns,0,,0.0,71.6219,0.001,71.62896,1873.9761
20,4,6,16777216,URMA_WRITE,7,0ns,0,,0.0,72.53874,0.001,72.54522,1850.2903
21,5,7,16777216,URMA_WRITE,7,0ns,0,,0.0,73.7021,0.001,73.70958,1821.0842
22,6,8,16777216,URMA_WRITE,7,0ns,0,,0.0,87.39566,0.002,88.23996,1535.7482
23,7,9,16777216,URMA_WRITE,7,0ns,0,,0.0,86.95658,0.002,86.96954,1543.5028
24,8,10,16777216,URMA_WRITE,7,0ns,0,,0.0,87.9858,0.001,87.99228,1525.4476
25,9,11,16777216,URMA_WRITE,7,0ns,0,,0.0,71.2841,0.001,71.29092,1882.8565
