nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.34192,675.84794,29630619,350.91
0,0,Tx,0.001,675.84894,29756383,352.23
0,1,Rx,0.34192,675.82692,29511056,349.51
0,1,Tx,0.001,675.82792,29558685,349.9
0,2,Rx,0.34192,675.84934,29763612,352.49
0,2,Tx,0.001,675.85034,29672747,351.24
0,3,Rx,0.34192,675.85162,29568079,350.17
0,3,Tx,0.001,675.85262,29621310,350.63
0,4,Rx,0.34192,675.82816,30225086,357.97
0,4,Tx,0.001,675.82916,29676892,351.3
0,5,Rx,0.34192,675.82964,30099762,356.48
0,5,Tx,0.001,675.83064,29410962,348.15
0,6,Rx,0.34192,675.8531,29698152,351.71
0,6,Tx,0.001,675.8541,29692840,351.47
0,7,Rx,0.34192,675.85906,29573158,350.23
0,7,Tx,0.001,675.86006,29694688,351.49
0,8,Rx,0.08872,670.97176,1992702,23.76
0,8,Tx,0.001,670.96594,3373680,40.22
0,9,Rx,0.08872,610.4567,3396468,44.52
0,9,Tx,0.001,610.45088,3396451,44.51
0,10,Rx,88.9145,610.4567,3396468,52.1
0,10,Tx,88.82678,610.45088,3396451,52.09
0,11,Rx,88.9145,522.04276,3396468,62.73
0,11,Tx,88.82678,522.03694,3396451,62.72
0,12,Rx,177.91816,522.04276,3396468,78.96
0,12,Tx,177.83044,522.03694,3396451,78.94
0,13,Rx,177.91816,433.43642,3396468,106.34
0,13,Tx,177.83044,433.4306,3396451,106.31
0,14,Rx,266.36824,433.43642,3387780,162.22
0,14,Tx,266.28052,433.4306,2861683,136.96
1,0,Rx,0.17096,673.57578,30349795,360.55
1,0,Tx,0.001,673.57678,29901024,355.13
1,1,Rx,0.17096,672.21684,30155529,358.97
1,1,Tx,0.001,672.21784,29754965,354.11
1,2,Rx,0.17096,672.21664,29228844,347.94
1,2,Tx,0.001,672.21764,29725443,353.76
1,3,Rx,0.17096,673.4115,29682027,352.71
1,3,Tx,0.001,673.4125,29760452,353.55
1,4,Rx,0.17096,672.1346,29341987,349.33
1,4,Tx,0.001,672.1356,29784281,354.5
1,5,Rx,0.17096,671.97012,29160138,347.25
1,5,Tx,0.001,671.97112,29717428,353.79
1,6,Rx,0.17096,673.24578,29930598,355.75
1,6,Tx,0.001,673.2462,29827074,354.43
1,7,Rx,0.17096,671.80564,30083999,358.34
1,7,Tx,0.001,671.80664,29624688,352.78
1,8,Rx,0.08548,670.96852,3369585,40.18
1,8,Tx,0.08648,670.96952,1992702,23.76
1,9,Rx,0.08872,670.97176,1992702,23.76
1,9,Tx,0.001,670.96594,3373680,40.22
1,10,Rx,0.08872,610.4567,3396468,44.52
1,10,Tx,0.001,610.45088,3396451,44.51
1,11,Rx,88.9145,610.4567,3396468,52.1
1,11,Tx,88.82678,610.45088,3396451,52.09
1,12,Rx,88.9145,522.04276,3396468,62.73
1,12,Tx,88.82678,522.03694,3396451,62.72
1,13,Rx,177.91816,522.04276,3396468,78.96
1,13,Tx,177.83044,522.03694,3396451,78.94
1,14,Rx,177.91816,433.43642,3396468,106.34
1,14,Tx,177.83044,433.4306,3396451,106.31
2,0,Rx,0.17096,671.61994,29085492,346.54
2,0,Tx,0.001,671.62094,29850877,355.57
2,1,Rx,0.17096,670.32186,29280617,349.54
2,1,Tx,0.001,670.31694,29469428,351.71
2,2,Rx,0.17096,671.68456,30089635,358.47
2,2,Tx,0.001,671.68556,29707390,353.83
2,3,Rx,0.17096,671.69412,29939548,356.68
2,3,Tx,0.001,671.6948,29819302,355.15
