taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,16777216,URMA_WRITE,7,0ns,0,,0.0,39.48158,0.001,39.65378,3399.5025
1,1,2,16777216,URMA_WRITE,7,0ns,0,,0.0,39.48158,0.001,39.65378,3399.5025
2,2,3,16777216,URMA_WRITE,7,0ns,0,,0.0,39.48158,0.001,39.65378,3399.5025
3,3,4,16777216,URMA_WRITE,7,0ns,0,,0.0,39.48158,0.001,39.65378,3399.5025
4,4,5,16777216,URMA_WRITE,7,0ns,0,,0.0,39.48158,0.001,39.65378,3399.5025
5,5,6,16777216,URMA_WRITE,7,0ns,0,,0.0,39.48158,0.001,39.65378,3399.5025
6,6,7,16777216,URMA_WRITE,7,0ns,0,,0.0,39.48158,0.001,39.65378,3399.5025
7,7,0,16777216,URMA_WRITE,7,0ns,0,,0.0,39.48158,0.001,39.65378,3399.5025
8,0,2,16777216,URMA_WRITE,7,0ns,1,0.0,39.48158,78.96316,39.48258,79.13536,3399.5025
9,1,3,16777216,URMA_WRITE,7,0ns,1,0.0,39.48158,78.96316,39.48258,79.13536,3399.5025
10,2,4,16777216,URMA_WRITE,7,0ns,1,0.0,39.48158,78.96316,39.48258,79.13536,3399.5025
11,3,5,16777216,URMA_WRITE,7,0ns,1,0.0,39.48158,78.96316,39.48258,79.13536,3399.5025
12,4,6,16777216,URMA_WRITE,7,0ns,1,0.0,39.48158,78.96316,39.48258,79.13536,3399.5025
13,5,7,16777216,URMA_WRITE,7,0ns,1,0.0,39.48158,78.96316,39.48258,79.13536,3399.5025
14,6,0,16777216,URMA_WRITE,7,0ns,1,0.0,39.48158,78.96316,39.48258,79.13536,3399.5025
15,7,1,16777216,URMA_WRITE,7,0ns,1,0.0,39.48158,78.96316,39.48258,79.13536,3399.5025
16,0,3,16777216,URMA_WRITE,7,0ns,2,1.0,78.96316,118.44474,78.96416,118.61694,3399.5025
17,1,4,16777216,URMA_WRITE,7,0ns,2,1.0,78.96316,118.44474,78.96416,118.61694,3399.5025
18,2,5,16777216,URMA_WRITE,7,0ns,2,1.0,78.96316,118.44474,78.96416,118.61694,3399.5025
19,3,6,16777216,URMA_WRITE,7,0ns,2,1.0,78.96316,118.44474,78.96416,118.61694,3399.5025
20,4,7,16777216,URMA_WRITE,7,0ns,2,1.0,78.96316,118.44474,78.96416,118.61694,3399.5025
21,5,0,16777216,URMA_WRITE,7,0ns,2,1.0,78.96316,118.44474,78.96416,118.61694,3399.5025
22,6,1,16777216,URMA_WRITE,7,0ns,2,1.0,78.96316,118.44474,78.96416,118.61694,3399.5025
23,7,2,16777216,URMA_WRITE,7,0ns,2,1.0,78.96316,118.44474,78.96416,118.61694,3399.5025
24,0,4,16777216,URMA_WRITE,7,0ns,3,2.0,118.44474,157.92876,118.44574,158.10052,3399.2924
25,1,5,16777216,URMA_WRITE,7,0ns,3,2.0,118.44474,157.92876,118.44574,158.10042,3399.2924
26,2,6,16777216,URMA_WRITE,7,0ns,3,2.0,118.44474,157.92896,118.44574,158.10066,3399.2752
27,3,7,16777216,URMA_WRITE,7,0ns,3,2.0,118.44474,157.92876,118.44574,157.93372,3399.2924
28,4,0,16777216,URMA_WRITE,7,0ns,3,2.0,118.44474,157.92836,118.44574,158.10092,3399.3268
29,5,1,16777216,URMA_WRITE,7,0ns,3,2.0,118.44474,157.92772,118.44574,157.93346,3399.3819
30,6,2,16777216,URMA_WRITE,7,0ns,3,2.0,118.44474,157.92772,118.44574,157.93368,3399.3819
