taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,16777216,URMA_WRITE,7,0ns,0,
1,1,2,16777216,URMA_WRITE,7,0ns,0,
2,2,3,16777216,URMA_WRITE,7,0ns,0,
3,3,4,16777216,URMA_WRITE,7,0ns,0,
4,4,5,16777216,URMA_WRITE,7,0ns,0,
5,5,6,16777216,URMA_WRITE,7,0ns,0,
6,6,7,16777216,URMA_WRITE,7,0ns,0,
7,7,0,16777216,URMA_WRITE,7,0ns,0,
8,0,2,16777216,URMA_WRITE,7,0ns,1,0
9,1,3,16777216,URMA_WRITE,7,0ns,1,0
10,2,4,16777216,URMA_WRITE,7,0ns,1,0
11,3,5,16777216,URMA_WRITE,7,0ns,1,0
12,4,6,16777216,URMA_WRITE,7,0ns,1,0
13,5,7,16777216,URMA_WRITE,7,0ns,1,0
14,6,0,16777216,URMA_WRITE,7,0ns,1,0
15,7,1,16777216,URMA_WRITE,7,0ns,1,0
16,0,3,16777216,URMA_WRITE,7,0ns,2,1
17,1,4,16777216,URMA_WRITE,7,0ns,2,1
18,2,5,16777216,URMA_WRITE,7,0ns,2,1
19,3,6,16777216,URMA_WRITE,7,0ns,2,1
20,4,7,16777216,URMA_WRITE,7,0ns,2,1
21,5,0,16777216,URMA_WRITE,7,0ns,2,1
22,6,1,16777216,URMA_WRITE,7,0ns,2,1
23,7,2,16777216,URMA_WRITE,7,0ns,2,1
24,0,4,16777216,URMA_WRITE,7,0ns,3,2
25,1,5,16777216,URMA_WRITE,7,0ns,3,2
26,2,6,16777216,URMA_WRITE,7,0ns,3,2
27,3,7,16777216,URMA_WRITE,7,0ns,3,2
28,4,0,16777216,URMA_WRITE,7,0ns,3,2
29,5,1,16777216,URMA_WRITE,7,0ns,3,2
30,6,2,16777216,URMA_WRITE,7,0ns,3,2
31,7,3,16777216,URMA_WRITE,7,0ns,3,2
32,0,5,16777216,URMA_WRITE,7,0ns,4,3
33,1,6,16777216,URMA_WRITE,7,0ns,4,3
34,2,7,16777216,URMA_WRITE,7,0ns,4,3
35,3,0,16777216,URMA_WRITE,7,0ns,4,3
36,4,1,16777216,URMA_WRITE,7,0ns,4,3
37,5,2,16777216,URMA_WRITE,7,0ns,4,3
38,6,3,16777216,URMA_WRITE,7,0ns,4,3
39,7,4,16777216,URMA_WRITE,7,0ns,4,3
40,0,6,16777216,URMA_WRITE,7,0ns,5,4
41,1,7,16777216,URMA_WRITE,7,0ns,5,4
42,2,0,16777216,URMA_WRITE,7,0ns,5,4
43,3,1,16777216,URMA_WRITE,7,0ns,5,4
44,4,2,16777216,URMA_WRITE,7,0ns,5,4
45,5,3,16777216,URMA_WRITE,7,0ns,5,4
46,6,4,16777216,URMA_WRITE,7,0ns,5,4
47,7,5,16777216,URMA_WRITE,7,0ns,5,4
48,0,7,16777216,URMA_WRITE,7,0ns,6,5
49,1,0,16777216,URMA_WRITE,7,0ns,6,5
50,2,1,16777216,URMA_WRITE,7,0ns,6,5
51,3,2,16777216,URMA_WRITE,7,0ns,6,5
52,4,3,16777216,URMA_WRITE,7,0ns,6,5
53,5,4,16777216,URMA_WRITE,7,0ns,6,5
54,6,5,16777216,URMA_WRITE,7,0ns,6,5
55,7,6,16777216,URMA_WRITE,7,0ns,6,5
