taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,236299,URMA_WRITE,1,0ns,0,
1,0,2,236299,URMA_WRITE,1,0ns,0,
2,0,3,236299,URMA_WRITE,1,0ns,0,
3,0,4,236299,URMA_WRITE,1,0ns,0,
4,0,5,236299,URMA_WRITE,1,0ns,0,
5,0,6,236299,URMA_WRITE,1,0ns,0,
6,0,7,236299,URMA_WRITE,1,0ns,0,
7,0,63,236299,URMA_WRITE,1,0ns,0,
8,1,2,236299,URMA_WRITE,1,0ns,0,
9,1,3,236299,URMA_WRITE,1,0ns,0,
10,1,4,236299,URMA_WRITE,1,0ns,0,
11,1,5,236299,URMA_WRITE,1,0ns,0,
12,1,6,236299,URMA_WRITE,1,0ns,0,
13,1,7,236299,URMA_WRITE,1,0ns,0,
14,1,0,236299,URMA_WRITE,1,0ns,0,
15,1,62,236299,URMA_WRITE,1,0ns,0,
16,2,3,236299,URMA_WRITE,1,0ns,0,
17,2,4,236299,URMA_WRITE,1,0ns,0,
18,2,5,236299,URMA_WRITE,1,0ns,0,
19,2,6,236299,URMA_WRITE,1,0ns,0,
20,2,7,236299,URMA_WRITE,1,0ns,0,
21,2,0,236299,URMA_WRITE,1,0ns,0,
22,2,1,236299,URMA_WRITE,1,0ns,0,
23,2,61,236299,URMA_WRITE,1,0ns,0,
24,3,4,236299,URMA_WRITE,1,0ns,0,
25,3,5,236299,URMA_WRITE,1,0ns,0,
26,3,6,236299,URMA_WRITE,1,0ns,0,
27,3,7,236299,URMA_WRITE,1,0ns,0,
28,3,0,236299,URMA_WRITE,1,0ns,0,
29,3,1,236299,URMA_WRITE,1,0ns,0,
30,3,2,236299,URMA_WRITE,1,0ns,0,
31,3,60,236299,URMA_WRITE,1,0ns,0,
32,4,5,236299,URMA_WRITE,1,0ns,0,
33,4,6,236299,URMA_WRITE,1,0ns,0,
34,4,7,236299,URMA_WRITE,1,0ns,0,
35,4,0,236299,URMA_WRITE,1,0ns,0,
36,4,1,236299,URMA_WRITE,1,0ns,0,
37,4,2,236299,URMA_WRITE,1,0ns,0,
38,4,3,236299,URMA_WRITE,1,0ns,0,
39,4,59,236299,URMA_WRITE,1,0ns,0,
40,5,6,236299,URMA_WRITE,1,0ns,0,
41,5,7,236299,URMA_WRITE,1,0ns,0,
42,5,0,236299,URMA_WRITE,1,0ns,0,
43,5,1,236299,URMA_WRITE,1,0ns,0,
44,5,2,236299,URMA_WRITE,1,0ns,0,
45,5,3,236299,URMA_WRITE,1,0ns,0,
46,5,4,236299,URMA_WRITE,1,0ns,0,
47,5,58,236299,URMA_WRITE,1,0ns,0,
48,6,7,236299,URMA_WRITE,1,0ns,0,
49,6,0,236299,URMA_WRITE,1,0ns,0,
50,6,1,236299,URMA_WRITE,1,0ns,0,
51,6,2,236299,URMA_WRITE,1,0ns,0,
52,6,3,236299,URMA_WRITE,1,0ns,0,
53,6,4,236299,URMA_WRITE,1,0ns,0,
54,6,5,236299,URMA_WRITE,1,0ns,0,
55,6,57,236299,URMA_WRITE,1,0ns,0,
56,7,0,236299,URMA_WRITE,1,0ns,0,
57,7,1,236299,URMA_WRITE,1,0ns,0,
58,7,2,236299,URMA_WRITE,1,0ns,0,
59,7,3,236299,URMA_WRITE,1,0ns,0,
60,7,4,236299,URMA_WRITE,1,0ns,0,
61,7,5,236299,URMA_WRITE,1,0ns,0,
62,7,6,236299,URMA_WRITE,1,0ns,0,
63,7,56,236299,URMA_WRITE,1,0ns,0,
64,8,9,236299,URMA_WRITE,1,0ns,0,
65,8,10,236299,URMA_WRITE,1,0ns,0,
66,8,11,236299,URMA_WRITE,1,0ns,0,
67,8,12,236299,URMA_WRITE,1,0ns,0,
68,8,13,236299,URMA_WRITE,1,0ns,0,
69,8,14,236299,URMA_WRITE,1,0ns,0,
70,8,15,236299,URMA_WRITE,1,0ns,0,
71,8,55,236299,URMA_WRITE,1,0ns,0,
72,9,10,236299,URMA_WRITE,1,0ns,0,
73,9,11,236299,URMA_WRITE,1,0ns,0,
74,9,12,236299,URMA_WRITE,1,0ns,0,
75,9,13,236299,URMA_WRITE,1,0ns,0,
