nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.17096,660.49434,29866680,361.84
0,0,Tx,0.001,659.3772,29374873,356.4
0,1,Rx,0.17096,659.78108,29443268,357.1
0,1,Tx,0.001,659.53284,29421745,356.88
0,2,Rx,0.17096,658.07532,28987678,352.49
0,2,Tx,0.001,657.85842,29426261,357.84
0,3,Rx,0.17096,660.55116,29920219,362.46
0,3,Tx,0.001,660.55216,29426881,356.39
0,4,Rx,0.17096,661.52026,30313112,366.68
0,4,Tx,0.001,661.49376,29502246,356.8
0,5,Rx,0.17096,658.44606,29191929,354.77
0,5,Tx,0.001,658.3655,29555734,359.14
0,6,Rx,0.17096,661.38814,28877453,349.39
0,6,Tx,0.001,660.1363,29668031,359.54
0,7,Rx,0.17096,663.76698,29999358,361.66
0,7,Tx,0.001,662.68752,29564746,356.91
0,8,Rx,0.08548,130.10412,5514368,339.3
0,8,Tx,0.001,130.10512,6504865,399.98
0,9,Rx,0.08548,130.15178,5380879,330.96
0,9,Tx,0.001,130.15278,6507310,399.98
0,10,Rx,162.02532,288.1419,5845305,370.79
0,10,Tx,161.94084,288.1429,6309762,399.98
0,11,Rx,162.02532,288.16332,5912151,374.96
0,11,Tx,161.94084,288.16432,6310833,399.98
0,12,Rx,327.52788,477.34412,7490471,399.98
0,12,Tx,327.4434,477.3383,4732616,252.58
0,13,Rx,327.52788,452.22512,5581437,358.08
0,13,Tx,327.4434,452.22612,6238795,399.98
0,14,Rx,521.6318,624.7817,5091592,394.89
0,14,Tx,521.54732,624.7794,5161479,399.99
1,0,Rx,0.17096,661.3363,28975878,350.6
1,0,Tx,0.001,661.20828,29388653,355.58
1,1,Rx,0.17096,661.22722,29417758,356.01
1,1,Tx,0.001,661.20096,29245134,353.84
1,2,Rx,0.17096,660.12122,28916486,350.53
1,2,Tx,0.001,660.12222,29527089,357.84
1,3,Rx,0.17096,662.34138,29672592,358.49
1,3,Tx,0.001,662.32672,29520887,356.57
1,4,Rx,0.17096,661.69542,29812741,360.53
1,4,Tx,0.001,661.67546,29327879,354.59
1,5,Rx,0.17096,661.03938,29410611,356.02
1,5,Tx,0.001,661.04038,29378610,355.54
1,6,Rx,0.17096,661.74382,28772293,347.93
1,6,Tx,0.001,661.74028,29578853,357.59
1,7,Rx,0.17096,663.76922,29830513,359.62
1,7,Tx,0.001,663.49216,29789992,359.19
1,8,Rx,0.08548,130.10736,6500753,399.98
1,8,Tx,0.001,130.10154,5518463,339.34
1,9,Rx,0.08548,122.3499,6047381,395.69
1,9,Tx,0.001,122.34718,6117267,400.0
1,10,Rx,0.08548,126.137,5644807,358.25
1,10,Tx,0.001,126.138,6306509,399.98
