taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,7,19173962,URMA_WRITE,7,0ns,0,,0.0,134.81716,0.001,135.20056,1137.7758
1,0,1,19173961,URMA_WRITE,7,0ns,0,,0.0,135.08038,0.001,135.61222,1135.5586
2,0,6,19173961,URMA_WRITE,7,0ns,0,,0.0,134.56756,0.001,135.6836,1139.8861
3,0,2,19173961,URMA_WRITE,7,0ns,0,,0.0,134.73298,0.001,134.73946,1138.4866
4,1,0,19173962,URMA_WRITE,7,0ns,0,,0.0,135.60252,0.001,135.60866,1131.1862
5,1,2,19173961,URMA_WRITE,7,0ns,0,,0.0,135.339,0.001,135.34466,1133.3887
6,1,7,19173961,URMA_WRITE,7,0ns,0,,0.0,135.60974,0.001,135.61466,1131.1259
7,1,3,19173961,URMA_WRITE,7,0ns,0,,0.0,134.73592,0.001,134.74158,1138.4617
8,2,1,19173962,URMA_WRITE,7,0ns,0,,0.0,134.61024,0.001,135.51464,1139.5247
9,2,3,19173961,URMA_WRITE,7,0ns,0,,0.0,134.72966,0.001,134.73546,1138.5146
10,2,0,19173961,URMA_WRITE,7,0ns,0,,0.0,134.73124,0.001,134.80148,1138.5013
11,2,4,19173961,URMA_WRITE,7,0ns,0,,0.0,134.81966,0.001,134.82608,1137.7546
12,3,2,19173962,URMA_WRITE,7,0ns,0,,0.0,134.70382,0.001,134.73496,1138.7331
13,3,4,19173961,URMA_WRITE,7,0ns,0,,0.0,134.7054,0.001,134.8213,1138.7197
14,3,1,19173961,URMA_WRITE,7,0ns,0,,0.0,134.7346,0.001,135.16234,1138.4729
15,3,5,19173961,URMA_WRITE,7,0ns,0,,0.0,134.98336,0.001,134.98984,1136.3748
16,4,3,19173962,URMA_WRITE,7,0ns,0,,0.0,134.47644,0.001,134.7107,1140.6585
17,4,5,19173961,URMA_WRITE,7,0ns,0,,0.0,133.97312,0.001,134.46258,1144.9438
18,4,2,19173961,URMA_WRITE,7,0ns,0,,0.0,134.82006,0.001,134.82508,1137.7512
19,4,6,19173961,URMA_WRITE,7,0ns,0,,0.0,135.69062,0.001,135.69386,1130.4517
20,5,4,19173962,URMA_WRITE,7,0ns,0,,0.0,133.9761,0.001,134.05944,1144.9184
21,5,6,19173961,URMA_WRITE,7,0ns,0,,0.0,134.90038,0.001,135.20422,1137.0738
22,5,3,19173961,URMA_WRITE,7,0ns,0,,0.0,134.98196,0.001,134.98832,1136.3866
23,5,7,19173961,URMA_WRITE,7,0ns,0,,0.0,136.392,0.001,136.39894,1124.6385
24,6,5,19173962,URMA_WRITE,7,0ns,0,,0.0,135.03478,0.001,135.04092,1135.9421
25,6,7,19173961,URMA_WRITE,7,0ns,0,,0.0,135.67864,0.001,136.3977,1130.5515
26,6,4,19173961,URMA_WRITE,7,0ns,0,,0.0,135.66364,0.001,135.6695,1130.6765
27,6,0,19173961,URMA_WRITE,7,0ns,0,,0.0,135.67706,0.001,135.68354,1130.5647
28,7,6,19173962,URMA_WRITE,7,0ns,0,,0.0,136.38834,0.001,136.39448,1124.6687
29,7,0,19173961,URMA_WRITE,7,0ns,0,,0.0,135.11336,0.001,135.1195,1135.2814
30,7,5,19173961,URMA_WRITE,7,0ns,0,,0.0,136.39522,0.001,136.65068,1124.6119
31,7,1,19173961,URMA_WRITE,7,0ns,0,,0.0,135.60618,0.001,135.61346,1131.1556
32,0,5,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,248.78866,136.39622,248.79866,1364.7744
33,0,3,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,247.43502,136.39622,248.04242,1381.4118
34,0,4,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,247.515,136.39622,247.77362,1380.4175
35,1,6,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,247.5545,136.39622,248.18696,1379.927
36,1,4,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,247.53804,136.39622,248.1473,1380.1313
37,1,5,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,247.16672,136.39622,247.67042,1384.7577
38,2,7,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,248.04228,136.39622,248.04876,1373.8981
39,2,5,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,248.03202,136.39622,248.79742,1374.0244
40,2,6,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,246.99996,136.39622,247.0938,1386.8455
41,3,0,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,248.0334,136.39622,248.03984,1374.0074
42,3,6,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,248.18814,136.39622,248.19926,1372.1056
43,3,7,19173961,URMA_WRITE,7,0ns,1,0.0,136.39522,247.33162,136.39622,247.33776,1382.6993
