taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,7,19173962,URMA_WRITE,7,0ns,0,
1,0,1,19173961,URMA_WRITE,7,0ns,0,
2,0,6,19173961,URMA_WRITE,7,0ns,0,
3,0,2,19173961,URMA_WRITE,7,0ns,0,
4,1,0,19173962,URMA_WRITE,7,0ns,0,
5,1,2,19173961,URMA_WRITE,7,0ns,0,
6,1,7,19173961,URMA_WRITE,7,0ns,0,
7,1,3,19173961,URMA_WRITE,7,0ns,0,
8,2,1,19173962,URMA_WRITE,7,0ns,0,
9,2,3,19173961,URMA_WRITE,7,0ns,0,
10,2,0,19173961,URMA_WRITE,7,0ns,0,
11,2,4,19173961,URMA_WRITE,7,0ns,0,
12,3,2,19173962,URMA_WRITE,7,0ns,0,
13,3,4,19173961,URMA_WRITE,7,0ns,0,
14,3,1,19173961,URMA_WRITE,7,0ns,0,
15,3,5,19173961,URMA_WRITE,7,0ns,0,
16,4,3,19173962,URMA_WRITE,7,0ns,0,
17,4,5,19173961,URMA_WRITE,7,0ns,0,
18,4,2,19173961,URMA_WRITE,7,0ns,0,
19,4,6,19173961,URMA_WRITE,7,0ns,0,
20,5,4,19173962,URMA_WRITE,7,0ns,0,
21,5,6,19173961,URMA_WRITE,7,0ns,0,
22,5,3,19173961,URMA_WRITE,7,0ns,0,
23,5,7,19173961,URMA_WRITE,7,0ns,0,
24,6,5,19173962,URMA_WRITE,7,0ns,0,
25,6,7,19173961,URMA_WRITE,7,0ns,0,
26,6,4,19173961,URMA_WRITE,7,0ns,0,
27,6,0,19173961,URMA_WRITE,7,0ns,0,
28,7,6,19173962,URMA_WRITE,7,0ns,0,
29,7,0,19173961,URMA_WRITE,7,0ns,0,
30,7,5,19173961,URMA_WRITE,7,0ns,0,
31,7,1,19173961,URMA_WRITE,7,0ns,0,
32,0,5,19173961,URMA_WRITE,7,0ns,1,0
33,0,3,19173961,URMA_WRITE,7,0ns,1,0
34,0,4,19173961,URMA_WRITE,7,0ns,1,0
35,1,6,19173961,URMA_WRITE,7,0ns,1,0
36,1,4,19173961,URMA_WRITE,7,0ns,1,0
37,1,5,19173961,URMA_WRITE,7,0ns,1,0
38,2,7,19173961,URMA_WRITE,7,0ns,1,0
39,2,5,19173961,URMA_WRITE,7,0ns,1,0
40,2,6,19173961,URMA_WRITE,7,0ns,1,0
41,3,0,19173961,URMA_WRITE,7,0ns,1,0
42,3,6,19173961,URMA_WRITE,7,0ns,1,0
43,3,7,19173961,URMA_WRITE,7,0ns,1,0
44,4,1,19173961,URMA_WRITE,7,0ns,1,0
45,4,7,19173961,URMA_WRITE,7,0ns,1,0
46,4,0,19173961,URMA_WRITE,7,0ns,1,0
47,5,2,19173961,URMA_WRITE,7,0ns,1,0
48,5,0,19173961,URMA_WRITE,7,0ns,1,0
49,5,1,19173961,URMA_WRITE,7,0ns,1,0
50,6,3,19173961,URMA_WRITE,7,0ns,1,0
51,6,1,19173961,URMA_WRITE,7,0ns,1,0
52,6,2,19173961,URMA_WRITE,7,0ns,1,0
53,7,4,19173961,URMA_WRITE,7,0ns,1,0
54,7,2,19173961,URMA_WRITE,7,0ns,1,0
55,7,3,19173961,URMA_WRITE,7,0ns,1,0
