taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,31,4329605,URMA_WRITE,7,0ns,0,,0.0,39.91384,0.16896,39.91254,867.7902
1,0,1,4329605,URMA_WRITE,7,0ns,0,,0.0,39.25014,0.001,39.25662,882.4641
2,0,30,4329605,URMA_WRITE,7,0ns,0,,0.0,39.6386,0.003,39.82664,873.8159
3,0,2,4329605,URMA_WRITE,7,0ns,0,,0.0,38.99282,0.001,38.9988,888.2876
4,1,0,4329605,URMA_WRITE,7,0ns,0,,0.0,37.58662,0.001,39.33486,921.5205
5,1,2,4329605,URMA_WRITE,7,0ns,0,,0.0,32.9052,0.001,33.09966,1052.6251
6,1,31,4329605,URMA_WRITE,7,0ns,0,,0.0,39.6215,0.16896,39.90882,874.1931
7,1,3,4329605,URMA_WRITE,7,0ns,0,,0.0,32.91828,0.001,32.92526,1052.2069
8,2,1,4329605,URMA_WRITE,7,0ns,0,,0.0,33.18506,0.001,33.2444,1043.748
9,2,3,4329605,URMA_WRITE,7,0ns,0,,0.0,31.72642,0.001,31.7329,1091.7349
10,2,0,4329605,URMA_WRITE,7,0ns,0,,0.0,33.07612,0.001,39.04222,1047.1857
11,2,4,4329605,URMA_WRITE,7,0ns,0,,0.0,32.72406,0.001,32.74534,1058.4518
12,3,2,4329605,URMA_WRITE,7,0ns,0,,0.0,31.72186,0.001,31.7289,1091.8918
13,3,4,4329605,URMA_WRITE,7,0ns,0,,0.0,32.57966,0.001,32.7441,1063.1431
14,3,1,4329605,URMA_WRITE,7,0ns,0,,0.0,32.50712,0.001,32.9167,1065.5155
15,3,5,4329605,URMA_WRITE,7,0ns,0,,0.0,32.66446,0.001,32.67094,1060.3831
16,4,3,4329605,URMA_WRITE,7,0ns,0,,0.0,32.73384,0.001,32.74032,1058.1356
17,4,5,4329605,URMA_WRITE,7,0ns,0,,0.0,32.20296,0.001,32.20862,1075.5794
18,4,2,4329605,URMA_WRITE,7,0ns,0,,0.0,32.7379,0.001,32.74438,1058.0043
19,4,6,4329605,URMA_WRITE,7,0ns,0,,0.0,34.57522,0.001,34.7454,1001.7822
20,5,4,4329605,URMA_WRITE,7,0ns,0,,0.0,31.81916,0.001,32.29016,1088.5529
21,5,6,4329605,URMA_WRITE,7,0ns,0,,0.0,34.22806,0.001,34.74788,1011.9428
22,5,3,4329605,URMA_WRITE,7,0ns,0,,0.0,32.6599,0.001,32.66694,1060.5311
23,5,7,4329605,URMA_WRITE,7,0ns,0,,0.0,40.25788,0.001,40.34548,860.3742
24,6,5,4329605,URMA_WRITE,7,0ns,0,,0.0,34.65504,0.001,34.66136,999.4748
25,6,7,4329605,URMA_WRITE,7,0ns,0,,0.0,37.25654,0.001,37.61512,929.6848
26,6,4,4329605,URMA_WRITE,7,0ns,0,,0.0,34.74292,0.001,34.74848,996.9467
27,6,8,4329605,URMA_WRITE,7,0ns,0,,0.0,40.8198,0.16896,40.8971,848.5304
28,7,6,4329605,URMA_WRITE,7,0ns,0,,0.0,37.52172,0.001,37.68228,923.1144
29,7,8,4329605,URMA_WRITE,7,0ns,0,,0.0,40.96896,0.003,40.98192,845.441
30,7,5,4329605,URMA_WRITE,7,0ns,0,,0.0,40.34052,0.001,40.34608,858.6116
31,7,9,4329605,URMA_WRITE,7,0ns,0,,0.0,40.8894,0.16896,40.97764,847.086
32,8,7,4329605,URMA_WRITE,7,0ns,0,,0.0,40.9782,0.002,40.99116,845.2504
33,8,9,4329605,URMA_WRITE,7,0ns,0,,0.0,40.53488,0.001,40.54102,854.4947
34,8,6,4329605,URMA_WRITE,7,0ns,0,,0.0,40.80426,0.001,40.81722,848.8535
35,8,10,4329605,URMA_WRITE,7,0ns,0,,0.0,38.94314,0.001,38.94962,889.4208
36,9,8,4329605,URMA_WRITE,7,0ns,0,,0.0,39.9234,0.001,40.53736,867.5824
37,9,10,4329605,URMA_WRITE,7,0ns,0,,0.0,33.7538,0.001,33.86084,1026.1612
38,9,7,4329605,URMA_WRITE,7,0ns,0,,0.0,40.87386,0.001,40.98012,847.4081
39,9,11,4329605,URMA_WRITE,7,0ns,0,,0.0,33.5803,0.001,33.69016,1031.4631
40,10,9,4329605,URMA_WRITE,7,0ns,0,,0.0,33.42766,0.001,33.76124,1036.173
41,10,11,4329605,URMA_WRITE,7,0ns,0,,0.0,32.22908,0.001,32.99704,1074.7077
42,10,8,4329605,URMA_WRITE,7,0ns,0,,0.0,38.5989,0.001,39.12622,897.353
43,10,12,4329605,URMA_WRITE,7,0ns,0,,0.0,32.8236,0.001,32.83056,1055.242
44,11,10,4329605,URMA_WRITE,7,0ns,0,,0.0,32.98452,0.001,32.99066,1050.0938
