taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,17895698,URMA_WRITE,7,0ns,0,,0.0,197.66892,0.001,197.95814,724.2696
1,0,2,17895698,URMA_WRITE,7,0ns,0,,0.0,198.95044,0.001,199.94136,719.6043
2,0,3,17895698,URMA_WRITE,7,0ns,0,,0.0,211.18126,0.001,211.40728,677.9275
3,0,4,17895698,URMA_WRITE,7,0ns,0,,0.0,200.26282,0.001,202.61404,714.8885
4,0,5,17895698,URMA_WRITE,7,0ns,0,,0.0,198.83306,0.001,204.3194,720.0291
5,0,6,17895698,URMA_WRITE,7,0ns,0,,0.0,201.45126,0.001,201.71184,710.6711
6,0,7,17895698,URMA_WRITE,7,0ns,0,,0.0,202.12688,0.001,202.31228,708.2956
7,0,8,71582792,URMA_WRITE,7,0ns,0,,0.0,353.45908,0.50288,354.1315,1620.1659
8,1,0,17895698,URMA_WRITE,7,0ns,0,,0.0,196.91314,0.001,198.94886,727.0494
9,1,2,17895698,URMA_WRITE,7,0ns,0,,0.0,196.23832,0.001,199.28764,729.5496
10,1,3,17895698,URMA_WRITE,7,0ns,0,,0.0,193.24664,0.001,199.29304,740.8438
11,1,4,17895698,URMA_WRITE,7,0ns,0,,0.0,203.87546,0.001,210.77172,702.2208
12,1,5,17895698,URMA_WRITE,7,0ns,0,,0.0,196.24236,0.001,202.18916,729.5346
13,1,6,17895698,URMA_WRITE,7,0ns,0,,0.0,196.9982,0.001,201.61164,726.7355
14,1,7,17895698,URMA_WRITE,7,0ns,0,,0.0,198.2594,0.001,199.965,722.1125
15,1,9,71582792,URMA_WRITE,7,0ns,0,,0.0,351.75984,0.50288,351.77316,1627.9924
16,2,0,17895698,URMA_WRITE,7,0ns,0,,0.0,197.2638,0.001,199.0417,725.757
17,2,1,17895698,URMA_WRITE,7,0ns,0,,0.0,197.27544,0.001,197.50562,725.7142
18,2,3,17895698,URMA_WRITE,7,0ns,0,,0.0,195.42006,0.001,199.29428,732.6043
19,2,4,17895698,URMA_WRITE,7,0ns,0,,0.0,199.28922,0.001,201.19696,718.381
20,2,5,17895698,URMA_WRITE,7,0ns,0,,0.0,197.9888,0.001,203.80882,723.0994
21,2,6,17895698,URMA_WRITE,7,0ns,0,,0.0,198.35926,0.001,201.61288,721.7489
22,2,7,17895698,URMA_WRITE,7,0ns,0,,0.0,196.09726,0.001,199.96624,730.0744
23,2,10,71582792,URMA_WRITE,7,0ns,0,,0.0,351.20034,0.50288,351.2133,1630.5859
24,3,0,17895698,URMA_WRITE,7,0ns,0,,0.0,210.3831,0.001,212.35494,680.4995
25,3,1,17895698,URMA_WRITE,7,0ns,0,,0.0,197.9321,0.001,198.10112,723.3065
26,3,2,17895698,URMA_WRITE,7,0ns,0,,0.0,198.5265,0.001,198.71634,721.1409
27,3,4,17895698,URMA_WRITE,7,0ns,0,,0.0,196.21412,0.001,202.61652,729.6396
28,3,5,17895698,URMA_WRITE,7,0ns,0,,0.0,199.80124,0.001,204.32164,716.54
29,3,6,17895698,URMA_WRITE,7,0ns,0,,0.0,197.93684,0.001,201.61412,723.2892
30,3,7,17895698,URMA_WRITE,7,0ns,0,,0.0,198.43186,0.001,200.5975,721.4849
31,3,11,71582792,URMA_WRITE,7,0ns,0,,0.0,352.19682,0.50288,352.20978,1625.9725
32,4,0,17895698,URMA_WRITE,7,0ns,0,,0.0,202.02088,0.001,202.25944,708.6673
33,4,1,17895698,URMA_WRITE,7,0ns,0,,0.0,209.67994,0.001,210.4101,682.7815
34,4,2,17895698,URMA_WRITE,7,0ns,0,,0.0,200.60482,0.001,201.96654,713.6697
35,4,3,17895698,URMA_WRITE,7,0ns,0,,0.0,200.16132,0.001,200.88426,715.251
36,4,5,17895698,URMA_WRITE,7,0ns,0,,0.0,203.38406,0.001,213.55256,703.9174
37,4,6,17895698,URMA_WRITE,7,0ns,0,,0.0,202.6181,0.001,202.8629,706.5785
38,4,7,17895698,URMA_WRITE,7,0ns,0,,0.0,202.02686,0.001,202.20858,708.6463
39,4,12,71582792,URMA_WRITE,7,0ns,0,,0.0,351.65658,0.50288,351.67054,1628.4704
40,5,0,17895698,URMA_WRITE,7,0ns,0,,0.0,202.6198,0.001,202.95994,706.5725
41,5,1,17895698,URMA_WRITE,7,0ns,0,,0.0,200.33862,0.001,200.71704,714.618
42,5,2,17895698,URMA_WRITE,7,0ns,0,,0.0,203.21544,0.001,203.70472,704.5015
43,5,3,17895698,URMA_WRITE,7,0ns,0,,0.0,203.8104,0.001,204.24912,702.4449
44,5,4,17895698,URMA_WRITE,7,0ns,0,,0.0,210.02984,0.001,210.25792,681.644
45,5,6,17895698,URMA_WRITE,7,0ns,0,,0.0,201.80736,0.001,203.4623,709.4171
46,5,7,17895698,URMA_WRITE,7,0ns,0,,0.0,200.76294,0.001,201.15528,713.1076
