nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.17096,5202.83728,259688754,399.32
0,0,Tx,0.001,5201.82904,259692866,399.39
0,1,Rx,0.34192,4075.12692,146388650,287.4
0,1,Tx,0.001,4075.12792,146547490,287.69
1,0,Rx,0.17096,5202.47782,259688794,399.34
1,0,Tx,0.001,5202.28116,259692866,399.35
1,1,Rx,0.4254,4072.14446,146385634,287.61
1,1,Tx,0.001,4072.13778,146525396,287.86
2,0,Rx,0.25444,5202.82046,259688754,399.32
2,0,Tx,0.001,5201.8745,259692866,399.38
2,1,Rx,0.34192,4070.37304,146404898,287.77
2,1,Tx,0.001,4070.2021,146427282,287.8
3,0,Rx,0.33792,5202.86166,259688754,399.33
3,0,Tx,0.001,5202.28878,259692866,399.35
3,1,Rx,0.34192,4071.88406,146385860,287.63
3,1,Tx,0.001,4071.75482,146561710,287.96
4,0,Rx,0.4214,5202.81382,259688794,399.34
4,0,Tx,0.001,5201.74766,259692866,399.39
4,1,Rx,0.34192,4070.28736,146431106,287.83
4,1,Tx,0.001,4070.24682,146410503,287.77
5,0,Rx,0.50488,5202.86012,259688794,399.34
5,0,Tx,0.001,5202.85718,259692866,399.31
5,1,Rx,0.34192,4070.36964,146408618,287.78
5,1,Tx,0.001,4070.36906,146451258,287.84
6,0,Rx,0.58836,5202.48282,259688754,399.38
6,0,Tx,0.001,5202.18806,259692866,399.36
6,1,Rx,0.4254,4073.6023,146463638,287.66
6,1,Tx,0.001,4073.55866,146387660,287.49
7,0,Rx,0.67184,5202.72202,259688794,399.36
7,0,Tx,0.001,5202.6965,259692866,399.32
7,1,Rx,0.4254,4070.35104,146383836,287.74
7,1,Tx,0.001,4070.35046,146495778,287.93
8,0,Rx,0.17096,5202.83728,259688754,399.32
8,0,Tx,0.001,5201.82904,259692866,399.39
8,1,Rx,0.4254,4075.15726,146543458,287.71
8,1,Tx,0.001,4075.11362,146392705,287.39
9,0,Rx,0.17096,5202.47782,259688794,399.34
9,0,Tx,0.001,5202.28116,259692866,399.35
9,1,Rx,0.4254,4072.28798,146521364,287.87
9,1,Tx,0.001,4072.1325,146389746,287.59
10,0,Rx,0.25444,5202.82046,259688754,399.32
10,0,Tx,0.001,5201.8745,259692866,399.38
10,1,Rx,0.34192,4070.36008,146423210,287.81
10,1,Tx,0.001,4070.36108,146408970,287.76
11,0,Rx,0.33792,5202.86166,259688754,399.33
11,0,Tx,0.001,5202.28878,259692866,399.35
11,1,Rx,0.34192,4071.76964,146557678,287.97
11,1,Tx,0.001,4071.7405,146389915,287.62
12,0,Rx,0.4214,5202.81382,259688794,399.34
12,0,Tx,0.001,5201.74766,259692866,399.39
12,1,Rx,0.34192,4070.2744,146406448,287.78
12,1,Tx,0.001,4070.2754,146435178,287.81
13,0,Rx,0.50488,5202.86012,259688794,399.34
13,0,Tx,0.001,5202.85718,259692866,399.31
13,1,Rx,0.34192,4070.38102,146447186,287.85
13,1,Tx,0.001,4070.35768,146412690,287.76
14,0,Rx,0.58836,5202.48282,259688754,399.38
14,0,Tx,0.001,5202.18806,259692866,399.36
14,1,Rx,0.4254,4073.73262,146383588,287.5
14,1,Tx,0.001,4073.56982,146467710,287.64
15,0,Rx,0.67184,5202.72202,259688794,399.36
15,0,Tx,0.001,5202.6965,259692866,399.32
15,1,Rx,0.34192,4070.36242,146491746,287.94
15,1,Tx,0.001,4070.33808,146387948,287.72
64,0,Rx,0.08548,5201.83128,259688754,399.39
64,0,Tx,0.08648,5202.83504,259692866,399.32
64,1,Rx,0.08548,5202.2834,259688754,399.35
64,1,Tx,0.08648,5202.47558,259692906,399.34
64,2,Rx,0.08548,5201.87674,259688754,399.38
64,2,Tx,0.16996,5202.81822,259692866,399.32
64,3,Rx,0.08548,5202.29102,259688754,399.35
64,3,Tx,0.25344,5202.85942,259692866,399.33
64,4,Rx,0.08548,5201.7499,259688754,399.39
64,4,Tx,0.33692,5202.81158,259692906,399.34
64,5,Rx,0.08548,5202.85942,259688754,399.31
64,5,Tx,0.4204,5202.85788,259692906,399.34
64,6,Rx,0.08548,5202.1903,259688754,399.36
64,6,Tx,0.50388,5202.48058,259692866,399.38
64,7,Rx,0.08548,5202.69874,259688754,399.32
64,7,Tx,0.58736,5202.71978,259692906,399.36
