taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.4051,0.001,1237.41116,55.0944
1,0,2,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.42394,0.002,1237.9919,55.0936
2,0,3,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.8585,0.003,1237.91542,55.0742
3,0,4,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.34866,0.16896,1237.35514,55.0969
4,0,5,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.44018,0.25244,1237.4462,55.0929
5,0,6,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.428,0.33592,1238.21508,55.0934
6,0,7,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.4483,0.4194,1237.61468,55.0925
7,0,8,8521764,URMA_WRITE,7,0ns,0,,0.0,178.0594,0.001,178.07202,382.8729
8,0,16,8521764,URMA_WRITE,7,0ns,0,,0.0,177.64486,0.001,177.65782,383.7663
9,0,24,8521764,URMA_WRITE,7,0ns,0,,0.0,175.87442,0.001,175.88772,387.6295
10,0,32,8521764,URMA_WRITE,7,0ns,0,,0.0,175.42932,0.001,175.44194,388.613
11,0,40,8521764,URMA_WRITE,7,0ns,0,,0.0,177.13888,0.001,177.15184,384.8625
12,0,48,8521764,URMA_WRITE,7,0ns,0,,0.0,177.38672,0.001,177.39968,384.3248
13,0,56,8521764,URMA_WRITE,7,0ns,0,,0.0,175.76994,0.001,175.7829,387.8599
14,1,0,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.3971,0.001,1237.44954,55.0948
15,1,2,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.30536,0.002,1237.99314,55.0989
16,1,3,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.30694,0.003,1237.92568,55.0988
17,1,4,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.3856,0.16896,1237.39194,55.0953
18,1,5,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.37466,0.25244,1237.38062,55.0958
19,1,6,8521764,URMA_WRITE,7,0ns,0,,0.0,1238.05352,0.33592,1238.19738,55.0656
20,1,7,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.56824,0.4194,1237.61998,55.0872
21,1,9,8521764,URMA_WRITE,7,0ns,0,,0.0,176.83564,0.001,177.06256,385.5225
22,1,17,8521764,URMA_WRITE,7,0ns,0,,0.0,176.26796,0.001,176.28092,386.7641
23,1,25,8521764,URMA_WRITE,7,0ns,0,,0.0,176.0398,0.001,176.04476,387.2653
24,1,33,8521764,URMA_WRITE,7,0ns,0,,0.0,176.47658,0.001,176.4892,386.3069
25,1,41,8521764,URMA_WRITE,7,0ns,0,,0.0,176.40254,0.001,176.31782,386.469
26,1,49,8521764,URMA_WRITE,7,0ns,0,,0.0,176.24004,0.001,176.25266,386.8253
27,1,57,8521764,URMA_WRITE,7,0ns,0,,0.0,176.79628,0.001,176.91258,385.6083
28,2,0,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.95954,0.001,1237.96546,55.0697
29,2,1,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.96112,0.002,1237.96746,55.0697
30,2,3,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.95198,0.003,1237.95846,55.0701
31,2,4,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.96394,0.16896,1237.96946,55.0695
32,2,5,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.96552,0.25244,1237.97146,55.0695
33,2,6,8521764,URMA_WRITE,7,0ns,0,,0.0,1238.14846,0.33592,1238.19862,55.0613
34,2,7,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.95796,0.4194,1237.96346,55.0698
35,2,10,8521764,URMA_WRITE,7,0ns,0,,0.0,176.02388,0.001,176.03908,387.3004
36,2,18,8521764,URMA_WRITE,7,0ns,0,,0.0,176.01486,0.001,176.02884,387.3202
37,2,26,8521764,URMA_WRITE,7,0ns,0,,0.0,175.87102,0.001,175.88522,387.637
38,2,34,8521764,URMA_WRITE,7,0ns,0,,0.0,175.87026,0.001,175.88322,387.6387
39,2,42,8521764,URMA_WRITE,7,0ns,0,,0.0,175.957,0.001,176.43844,387.4476
40,2,50,8521764,URMA_WRITE,7,0ns,0,,0.0,176.46424,0.001,176.47686,386.3339
41,2,58,8521764,URMA_WRITE,7,0ns,0,,0.0,175.85008,0.001,175.86398,387.6831
42,3,0,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.8896,0.001,1237.89544,55.0729
43,3,1,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.9002,0.002,1237.90668,55.0724
44,3,2,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.91824,0.003,1237.98694,55.0716
45,3,4,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.88396,0.16896,1237.89044,55.0731
46,3,5,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.88554,0.25244,1237.89168,55.073
47,3,6,8521764,URMA_WRITE,7,0ns,0,,0.0,1238.00364,0.33592,1238.2064,55.0678
48,3,7,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.86828,0.4194,1237.87436,55.0738
49,3,11,8521764,URMA_WRITE,7,0ns,0,,0.0,177.87598,0.001,177.88996,383.2677
50,3,19,8521764,URMA_WRITE,7,0ns,0,,0.0,176.45152,0.001,176.47012,386.3617
51,3,27,8521764,URMA_WRITE,7,0ns,0,,0.0,175.38188,0.001,175.39496,388.7181
52,3,35,8521764,URMA_WRITE,7,0ns,0,,0.0,176.20142,0.001,176.27882,386.9101
53,3,43,8521764,URMA_WRITE,7,0ns,0,,0.0,175.78894,0.001,175.8019,387.818
54,3,51,8521764,URMA_WRITE,7,0ns,0,,0.0,175.96794,0.001,175.97932,387.4235
55,3,59,8521764,URMA_WRITE,7,0ns,0,,0.0,177.3475,0.001,177.36146,384.4098
56,4,0,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.18962,0.001,1237.46194,55.104
57,4,1,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.35948,0.002,1237.39428,55.0964
58,4,2,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.93622,0.003,1237.99686,55.0708
59,4,3,8521764,URMA_WRITE,7,0ns,0,,0.0,1237.7682,0.16896,1237.92692,55.0783
60,4,5,8521764,URMA_WRITE,7,0ns,0,,0.0,1236.56894,0.25244,1237.35704,55.1317
