taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,8521764,URMA_WRITE,7,0ns,0,
1,0,2,8521764,URMA_WRITE,7,0ns,0,
2,0,3,8521764,URMA_WRITE,7,0ns,0,
3,0,4,8521764,URMA_WRITE,7,0ns,0,
4,0,5,8521764,URMA_WRITE,7,0ns,0,
5,0,6,8521764,URMA_WRITE,7,0ns,0,
6,0,7,8521764,URMA_WRITE,7,0ns,0,
7,0,8,8521764,URMA_WRITE,7,0ns,0,
8,0,16,8521764,URMA_WRITE,7,0ns,0,
9,0,24,8521764,URMA_WRITE,7,0ns,0,
10,0,32,8521764,URMA_WRITE,7,0ns,0,
11,0,40,8521764,URMA_WRITE,7,0ns,0,
12,0,48,8521764,URMA_WRITE,7,0ns,0,
13,0,56,8521764,URMA_WRITE,7,0ns,0,
14,1,0,8521764,URMA_WRITE,7,0ns,0,
15,1,2,8521764,URMA_WRITE,7,0ns,0,
16,1,3,8521764,URMA_WRITE,7,0ns,0,
17,1,4,8521764,URMA_WRITE,7,0ns,0,
18,1,5,8521764,URMA_WRITE,7,0ns,0,
19,1,6,8521764,URMA_WRITE,7,0ns,0,
20,1,7,8521764,URMA_WRITE,7,0ns,0,
21,1,9,8521764,URMA_WRITE,7,0ns,0,
22,1,17,8521764,URMA_WRITE,7,0ns,0,
23,1,25,8521764,URMA_WRITE,7,0ns,0,
24,1,33,8521764,URMA_WRITE,7,0ns,0,
25,1,41,8521764,URMA_WRITE,7,0ns,0,
26,1,49,8521764,URMA_WRITE,7,0ns,0,
27,1,57,8521764,URMA_WRITE,7,0ns,0,
28,2,0,8521764,URMA_WRITE,7,0ns,0,
29,2,1,8521764,URMA_WRITE,7,0ns,0,
30,2,3,8521764,URMA_WRITE,7,0ns,0,
31,2,4,8521764,URMA_WRITE,7,0ns,0,
32,2,5,8521764,URMA_WRITE,7,0ns,0,
33,2,6,8521764,URMA_WRITE,7,0ns,0,
34,2,7,8521764,URMA_WRITE,7,0ns,0,
35,2,10,8521764,URMA_WRITE,7,0ns,0,
36,2,18,8521764,URMA_WRITE,7,0ns,0,
37,2,26,8521764,URMA_WRITE,7,0ns,0,
38,2,34,8521764,URMA_WRITE,7,0ns,0,
39,2,42,8521764,URMA_WRITE,7,0ns,0,
40,2,50,8521764,URMA_WRITE,7,0ns,0,
41,2,58,8521764,URMA_WRITE,7,0ns,0,
42,3,0,8521764,URMA_WRITE,7,0ns,0,
43,3,1,8521764,URMA_WRITE,7,0ns,0,
44,3,2,8521764,URMA_WRITE,7,0ns,0,
45,3,4,8521764,URMA_WRITE,7,0ns,0,
46,3,5,8521764,URMA_WRITE,7,0ns,0,
47,3,6,8521764,URMA_WRITE,7,0ns,0,
48,3,7,8521764,URMA_WRITE,7,0ns,0,
49,3,11,8521764,URMA_WRITE,7,0ns,0,
50,3,19,8521764,URMA_WRITE,7,0ns,0,
51,3,27,8521764,URMA_WRITE,7,0ns,0,
52,3,35,8521764,URMA_WRITE,7,0ns,0,
53,3,43,8521764,URMA_WRITE,7,0ns,0,
54,3,51,8521764,URMA_WRITE,7,0ns,0,
55,3,59,8521764,URMA_WRITE,7,0ns,0,
56,4,0,8521764,URMA_WRITE,7,0ns,0,
57,4,1,8521764,URMA_WRITE,7,0ns,0,
58,4,2,8521764,URMA_WRITE,7,0ns,0,
59,4,3,8521764,URMA_WRITE,7,0ns,0,
60,4,5,8521764,URMA_WRITE,7,0ns,0,
61,4,6,8521764,URMA_WRITE,7,0ns,0,
62,4,7,8521764,URMA_WRITE,7,0ns,0,
63,4,12,8521764,URMA_WRITE,7,0ns,0,
64,4,20,8521764,URMA_WRITE,7,0ns,0,
65,4,28,8521764,URMA_WRITE,7,0ns,0,
66,4,36,8521764,URMA_WRITE,7,0ns,0,
