nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.17096,597.91804,24891428,333.14
0,0,Tx,0.001,597.91904,23992521,321.01
0,1,Rx,0.17096,631.68406,23545479,298.27
0,1,Tx,0.001,631.27878,23881851,302.65
0,2,Rx,0.17096,535.38202,25850810,386.4
0,2,Tx,0.001,535.33034,24051102,359.42
0,3,Rx,0.17096,590.53938,25517859,345.79
0,3,Tx,0.001,586.67346,24067721,328.19
0,4,Rx,0.17096,571.68384,23612478,330.53
0,4,Tx,0.001,571.47424,24026048,336.34
0,5,Rx,0.17096,521.64778,23697433,363.54
0,5,Tx,0.001,520.97134,23969297,368.07
0,6,Rx,0.17096,559.67008,23413924,334.78
0,6,Tx,0.001,556.66842,24020811,345.21
0,7,Rx,0.17096,558.8254,23695094,339.32
0,7,Tx,0.001,557.7217,24018868,344.53
0,8,Rx,0.08548,261.5699,10838274,331.59
0,8,Tx,0.001,261.5709,13078216,399.99
0,9,Rx,0.08548,240.41328,11823345,393.57
0,9,Tx,0.001,240.41304,12020357,399.99
0,10,Rx,0.08548,241.88434,11958311,395.64
0,10,Tx,0.001,241.88228,12093972,400.0
0,11,Rx,0.08548,247.01208,11561396,374.57
0,11,Tx,0.001,247.01308,12350263,399.99
0,12,Rx,0.08548,248.48154,12419524,399.99
0,12,Tx,0.001,248.47572,11695869,376.57
0,13,Rx,0.08548,237.73876,11821163,397.93
0,13,Tx,0.001,237.73572,11886665,400.0
0,14,Rx,0.08548,243.02598,12146684,399.99
0,14,Tx,0.001,243.02016,11629083,382.82
1,0,Rx,0.17096,596.31438,23301588,312.7
1,0,Tx,0.001,595.93792,25305922,339.71
1,1,Rx,0.17096,631.45502,23259648,294.76
1,1,Tx,0.001,631.36126,25081245,317.81
1,2,Rx,0.17096,535.38584,22693237,339.2
1,2,Tx,0.001,535.38684,25223337,376.9
1,3,Rx,0.17096,591.75744,23025871,311.38
1,3,Tx,0.001,591.75844,25232508,341.12
1,4,Rx,0.17096,571.67182,23220847,325.05
1,4,Tx,0.001,571.65702,25299056,354.05
1,5,Rx,0.17096,525.12322,23167707,353.06
1,5,Tx,0.001,525.12298,25241014,384.54
1,6,Rx,0.17096,559.7347,23079886,329.97
1,6,Tx,0.001,559.73446,25295229,361.53
1,7,Rx,0.17096,558.81052,23096089,330.75
1,7,Tx,0.001,558.81152,25234701,361.26
1,8,Rx,0.08548,261.57314,13074104,399.99
1,8,Tx,0.001,261.56732,10842369,331.61
1,9,Rx,0.08548,261.45714,13068242,399.99
1,9,Tx,0.001,261.45132,10770732,329.57
1,10,Rx,0.08548,256.24766,12807830,399.99
1,10,Tx,0.001,256.24184,10904850,340.46
1,11,Rx,0.08548,256.31272,12811083,399.99
1,11,Tx,0.001,256.3069,11105388,346.63
1,12,Rx,0.08548,272.04866,13597818,399.99
1,12,Tx,0.001,272.04284,10449777,307.3
1,13,Rx,0.08548,264.06592,13198681,399.99
1,13,Tx,0.001,264.0601,10572336,320.3
1,14,Rx,0.08548,266.80884,13335889,399.99
1,14,Tx,0.001,266.80302,10507875,315.08
2,0,Rx,0.25444,582.40434,24954396,342.93
2,0,Tx,0.001,580.87324,24193307,333.2
2,1,Rx,0.25444,624.3973,24972506,320.09
2,1,Tx,0.001,619.46522,24177988,312.24
2,2,Rx,0.25444,535.38078,23217371,347.09
2,2,Tx,0.001,535.36938,24140441,360.73
2,3,Rx,0.25444,590.53498,23619500,320.11
2,3,Tx,0.001,588.56182,24213585,329.12
2,4,Rx,0.25444,571.67836,25528037,357.4
2,4,Tx,0.001,570.25306,24199649,339.49
2,5,Rx,0.25444,525.12064,24031814,366.29
2,5,Tx,0.001,524.86972,24169814,368.39
2,6,Rx,0.25444,559.69342,23356388,334.0
2,6,Tx,0.001,556.3971,24158984,347.36
2,7,Rx,0.25444,558.89146,23496923,336.49
2,7,Tx,0.001,558.86568,24155490,345.78
2,8,Rx,0.08548,240.41528,12016245,399.99
2,8,Tx,0.001,240.41104,11827457,393.58
2,9,Rx,0.08548,261.4539,10766637,329.55
2,9,Tx,0.001,261.4549,13072354,399.99
2,10,Rx,0.08548,243.24286,12157777,400.0
2,10,Tx,0.001,243.24044,12030379,395.67
2,11,Rx,0.08548,240.50412,11823547,393.43
2,11,Tx,0.001,240.50388,12024944,399.99
2,12,Rx,0.08548,247.06218,12348556,399.99
2,12,Tx,0.001,247.05636,11432001,370.18
2,13,Rx,0.08548,245.72526,12281710,399.99
2,13,Tx,0.001,245.71944,11430930,372.16
2,14,Rx,0.08548,244.43198,12217046,399.99
2,14,Tx,0.001,244.42616,11563511,378.47
3,0,Rx,0.33792,584.69158,25419962,348.01
3,0,Tx,0.001,579.78518,24194662,333.84
3,1,Rx,0.33792,625.34886,25178189,322.28
3,1,Tx,0.001,622.59052,24179770,310.7
3,2,Rx,0.33792,535.3845,23218611,347.16
3,2,Tx,0.001,535.34694,24148275,360.86
3,3,Rx,0.33792,590.71412,23486248,318.25
3,3,Tx,0.001,588.9886,24170880,328.3
3,4,Rx,0.33792,571.68242,23487707,328.88
3,4,Tx,0.001,570.2976,24155857,338.85
3,5,Rx,0.33792,524.274,24829195,379.12
3,5,Tx,0.001,523.93348,24133009,368.49
3,6,Rx,0.33792,559.69466,23481498,335.84
3,6,Tx,0.001,559.23566,24235005,346.69
3,7,Rx,0.33792,558.61052,23624585,338.54
3,7,Tx,0.001,557.90986,24207904,347.12
3,8,Rx,0.08548,241.88452,12089860,400.0
3,8,Tx,0.001,241.8821,11962423,395.65
3,9,Rx,0.08548,256.24442,10900755,340.44
3,9,Tx,0.001,256.24542,12811942,399.99
3,10,Rx,0.08548,243.24268,12026267,395.67
3,10,Tx,0.001,243.24062,12161889,400.0
3,11,Rx,0.08548,244.31682,11492367,376.44
3,11,Tx,0.001,244.31782,12215500,399.99
3,12,Rx,0.08548,245.67836,12279365,399.99
3,12,Tx,0.001,245.67254,11292651,367.73
3,13,Rx,0.08548,253.63486,12677128,399.99
3,13,Tx,0.001,253.62904,11370387,358.65
3,14,Rx,0.08548,252.35894,12613332,399.99
3,14,Tx,0.001,252.35312,11565267,366.64
4,0,Rx,0.4214,597.03544,24100878,323.17
4,0,Tx,0.001,596.0214,24557089,329.61
4,1,Rx,0.4214,608.9601,23196111,304.94
4,1,Tx,0.001,608.28456,24072936,316.6
4,2,Rx,0.4214,535.3544,22826435,341.37
4,2,Tx,0.001,535.35506,24547365,366.82
4,3,Rx,0.4214,591.67502,23355437,316.01
4,3,Tx,0.001,589.80914,24551753,333.01
4,4,Rx,0.4214,571.67258,25321803,354.62
4,4,Tx,0.001,571.21028,24527533,343.52
4,5,Rx,0.4214,523.7409,23493239,359.14
4,5,Tx,0.001,523.00194,24559767,375.67
4,6,Rx,0.34192,559.70148,22823516,326.42
4,6,Tx,0.001,559.14778,24559640,351.39
4,7,Rx,0.4214,558.81706,25542664,365.94
4,7,Tx,0.001,558.81806,24541605,351.34
4,8,Rx,0.08548,247.01532,12346151,399.99
4,8,Tx,0.001,247.0095,11565491,374.58
4,9,Rx,0.08548,256.30948,11101293,346.61
4,9,Tx,0.001,256.31048,12815195,399.99
4,10,Rx,0.08548,240.50612,12020832,399.99
4,10,Tx,0.001,240.50188,11827659,393.43
4,11,Rx,0.08548,244.32006,12211388,399.99
4,11,Tx,0.001,244.31424,11496462,376.45
4,12,Rx,0.08548,259.0294,12946917,399.99
4,12,Tx,0.001,259.02358,11241262,347.19
4,13,Rx,0.08548,253.61666,12676280,399.99
4,13,Tx,0.001,253.61084,11036360,348.14
4,14,Rx,0.08548,256.17452,12804111,399.99
4,14,Tx,0.001,256.1687,10966906,342.49
5,0,Rx,0.50488,589.51998,24306405,330.13
5,0,Tx,0.001,583.33466,23765957,325.93
5,1,Rx,0.50488,628.95594,23472651,298.8
5,1,Tx,0.001,623.71694,23678472,303.71
5,2,Rx,0.50488,535.34436,25390933,379.79
5,2,Tx,0.001,535.34536,23592466,352.56
5,3,Rx,0.50488,576.95024,25652055,356.0
5,3,Tx,0.001,571.649,23593876,330.19
5,4,Rx,0.50488,571.66098,24930962,349.2
5,4,Tx,0.001,570.15734,23594306,331.06
5,5,Rx,0.50488,524.81564,24028633,366.63
5,5,Tx,0.001,521.22304,23619509,362.53
5,6,Rx,0.4254,559.67904,23350372,334.02
5,6,Tx,0.001,549.00712,23616016,344.13
5,7,Rx,0.34192,558.83396,25936545,371.52
5,7,Tx,0.001,558.8025,23725502,339.66
5,8,Rx,0.08548,248.4783,11691774,376.56
5,8,Tx,0.001,248.4793,12423636,399.99
5,9,Rx,0.08548,272.04542,10445682,307.27
5,9,Tx,0.001,272.04642,13601930,399.99
5,10,Rx,0.08548,247.05894,11427906,370.17
5,10,Tx,0.001,247.05994,12352668,399.99
5,11,Rx,0.08548,245.67512,11288556,367.72
5,11,Tx,0.001,245.67612,12283477,399.99
5,12,Rx,0.08548,259.02616,11237167,347.17
5,12,Tx,0.001,259.02716,12951029,399.99
5,13,Rx,0.08548,245.74018,11489094,374.15
5,13,Tx,0.001,245.74118,12286730,399.99
5,14,Rx,0.08548,243.11242,12151068,399.99
5,14,Tx,0.001,243.1066,11624699,382.54
6,0,Rx,0.58836,595.75994,24168138,324.86
6,0,Tx,0.001,589.86154,23836059,323.28
6,1,Rx,0.58836,631.64708,25172343,319.11
6,1,Tx,0.001,629.98952,23782024,302.0
6,2,Rx,0.58836,535.37954,23625507,353.42
6,2,Tx,0.001,535.29608,23761013,355.11
6,3,Rx,0.58836,587.18926,24608524,335.61
6,3,Tx,0.001,582.34076,23867935,327.89
6,4,Rx,0.50888,571.67624,23750007,332.65
6,4,Tx,0.001,570.30042,23764441,333.36
6,5,Rx,0.58836,524.248,25476498,389.21
6,5,Tx,0.001,522.6662,23792031,364.16
6,6,Rx,0.34192,559.68688,25530277,365.15
6,6,Tx,0.001,543.84008,23788671,349.94
6,7,Rx,0.50888,558.79834,23636553,338.7
6,7,Tx,0.001,558.79934,23817278,340.98
6,8,Rx,0.08548,237.73796,11882553,400.0
6,8,Tx,0.001,237.73652,11825275,397.93
6,9,Rx,0.08548,264.06268,10568241,320.28
6,9,Tx,0.001,264.06368,13202793,399.99
6,10,Rx,0.08548,245.72202,11426835,372.15
6,10,Tx,0.001,245.72302,12285822,399.99
6,11,Rx,0.08548,253.63162,11366292,358.63
6,11,Tx,0.001,253.63262,12681240,399.99
6,12,Rx,0.08548,253.61342,11032265,348.12
6,12,Tx,0.001,253.61442,12680392,399.99
6,13,Rx,0.08548,245.74342,12282618,399.99
6,13,Tx,0.001,245.7376,11493189,374.16
6,14,Rx,0.08548,245.86926,12289064,400.0
6,14,Tx,0.001,245.86708,12166010,395.86
7,0,Rx,0.67184,596.68506,23914892,321.0
7,0,Tx,0.001,592.2548,23645073,319.39
7,1,Rx,0.67184,631.72848,25174236,319.14
7,1,Tx,0.001,631.64098,23641057,299.42
7,2,Rx,0.67184,535.40756,25591526,382.87
7,2,Tx,0.001,535.38236,23649168,353.38
7,3,Rx,0.67184,587.19084,23552229,321.25
7,3,Tx,0.001,578.54492,23617448,326.58
7,4,Rx,0.67184,571.59308,23687161,331.91
7,4,Tx,0.001,570.3025,23624860,331.4
7,5,Rx,0.67184,524.83896,25273858,385.74
7,5,Tx,0.001,520.54334,23661020,363.64
7,6,Rx,0.4254,559.70024,25595685,366.13
7,6,Tx,0.001,544.0307,23654416,347.84
7,7,Rx,0.34192,558.8316,24029125,344.2
7,7,Tx,0.001,558.78048,23624744,338.23
7,8,Rx,0.08548,243.02274,11624988,382.81
7,8,Tx,0.001,243.02374,12150796,399.99
7,9,Rx,0.08548,266.8056,10503780,315.05
7,9,Tx,0.001,266.8066,13340001,399.99
7,10,Rx,0.08548,244.42874,11559416,378.46
7,10,Tx,0.001,244.42974,12221158,399.99
7,11,Rx,0.08548,252.3557,11561172,366.63
7,11,Tx,0.001,252.3567,12617444,399.99
7,12,Rx,0.08548,256.17128,10962811,342.47
7,12,Tx,0.001,256.17228,12808223,399.99
