taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,35791395,URMA_WRITE,7,0ns,0,
1,0,2,35791395,URMA_WRITE,7,0ns,0,
2,0,3,35791394,URMA_WRITE,7,0ns,0,
3,0,4,35791394,URMA_WRITE,7,0ns,0,
4,0,5,35791394,URMA_WRITE,7,0ns,0,
5,0,6,35791394,URMA_WRITE,7,0ns,0,
6,0,7,35791394,URMA_WRITE,7,0ns,0,
7,0,8,35791394,URMA_WRITE,7,0ns,0,
8,0,9,35791394,URMA_WRITE,7,0ns,0,
9,0,10,35791394,URMA_WRITE,7,0ns,0,
10,0,11,35791394,URMA_WRITE,7,0ns,0,
11,0,12,35791394,URMA_WRITE,7,0ns,0,
12,0,13,35791394,URMA_WRITE,7,0ns,0,
13,0,14,35791394,URMA_WRITE,7,0ns,0,
14,0,15,35791394,URMA_WRITE,7,0ns,0,
15,1,0,35791395,URMA_WRITE,7,0ns,0,
16,1,2,35791395,URMA_WRITE,7,0ns,0,
17,1,3,35791394,URMA_WRITE,7,0ns,0,
18,1,4,35791394,URMA_WRITE,7,0ns,0,
19,1,5,35791394,URMA_WRITE,7,0ns,0,
20,1,6,35791394,URMA_WRITE,7,0ns,0,
21,1,7,35791394,URMA_WRITE,7,0ns,0,
22,1,8,35791394,URMA_WRITE,7,0ns,0,
23,1,9,35791394,URMA_WRITE,7,0ns,0,
24,1,10,35791394,URMA_WRITE,7,0ns,0,
25,1,11,35791394,URMA_WRITE,7,0ns,0,
26,1,12,35791394,URMA_WRITE,7,0ns,0,
27,1,13,35791394,URMA_WRITE,7,0ns,0,
28,1,14,35791394,URMA_WRITE,7,0ns,0,
29,1,15,35791394,URMA_WRITE,7,0ns,0,
30,2,0,35791395,URMA_WRITE,7,0ns,0,
31,2,1,35791395,URMA_WRITE,7,0ns,0,
32,2,3,35791394,URMA_WRITE,7,0ns,0,
33,2,4,35791394,URMA_WRITE,7,0ns,0,
34,2,5,35791394,URMA_WRITE,7,0ns,0,
35,2,6,35791394,URMA_WRITE,7,0ns,0,
36,2,7,35791394,URMA_WRITE,7,0ns,0,
37,2,8,35791394,URMA_WRITE,7,0ns,0,
38,2,9,35791394,URMA_WRITE,7,0ns,0,
39,2,10,35791394,URMA_WRITE,7,0ns,0,
40,2,11,35791394,URMA_WRITE,7,0ns,0,
41,2,12,35791394,URMA_WRITE,7,0ns,0,
42,2,13,35791394,URMA_WRITE,7,0ns,0,
43,2,14,35791394,URMA_WRITE,7,0ns,0,
44,2,15,35791394,URMA_WRITE,7,0ns,0,
45,3,0,35791395,URMA_WRITE,7,0ns,0,
46,3,1,35791395,URMA_WRITE,7,0ns,0,
47,3,2,35791394,URMA_WRITE,7,0ns,0,
48,3,4,35791394,URMA_WRITE,7,0ns,0,
49,3,5,35791394,URMA_WRITE,7,0ns,0,
50,3,6,35791394,URMA_WRITE,7,0ns,0,
51,3,7,35791394,URMA_WRITE,7,0ns,0,
52,3,8,35791394,URMA_WRITE,7,0ns,0,
53,3,9,35791394,URMA_WRITE,7,0ns,0,
54,3,10,35791394,URMA_WRITE,7,0ns,0,
55,3,11,35791394,URMA_WRITE,7,0ns,0,
56,3,12,35791394,URMA_WRITE,7,0ns,0,
57,3,13,35791394,URMA_WRITE,7,0ns,0,
58,3,14,35791394,URMA_WRITE,7,0ns,0,
59,3,15,35791394,URMA_WRITE,7,0ns,0,
60,4,0,35791395,URMA_WRITE,7,0ns,0,
61,4,1,35791395,URMA_WRITE,7,0ns,0,
62,4,2,35791394,URMA_WRITE,7,0ns,0,
63,4,3,35791394,URMA_WRITE,7,0ns,0,
64,4,5,35791394,URMA_WRITE,7,0ns,0,
65,4,6,35791394,URMA_WRITE,7,0ns,0,
66,4,7,35791394,URMA_WRITE,7,0ns,0,
67,4,8,35791394,URMA_WRITE,7,0ns,0,
68,4,9,35791394,URMA_WRITE,7,0ns,0,
69,4,10,35791394,URMA_WRITE,7,0ns,0,
70,4,11,35791394,URMA_WRITE,7,0ns,0,
71,4,12,35791394,URMA_WRITE,7,0ns,0,
72,4,13,35791394,URMA_WRITE,7,0ns,0,
73,4,14,35791394,URMA_WRITE,7,0ns,0,
74,4,15,35791394,URMA_WRITE,7,0ns,0,
75,5,0,35791395,URMA_WRITE,7,0ns,0,
76,5,1,35791395,URMA_WRITE,7,0ns,0,
77,5,2,35791394,URMA_WRITE,7,0ns,0,
78,5,3,35791394,URMA_WRITE,7,0ns,0,
79,5,4,35791394,URMA_WRITE,7,0ns,0,
80,5,6,35791394,URMA_WRITE,7,0ns,0,
81,5,7,35791394,URMA_WRITE,7,0ns,0,
82,5,8,35791394,URMA_WRITE,7,0ns,0,
83,5,9,35791394,URMA_WRITE,7,0ns,0,
84,5,10,35791394,URMA_WRITE,7,0ns,0,
85,5,11,35791394,URMA_WRITE,7,0ns,0,
86,5,12,35791394,URMA_WRITE,7,0ns,0,
87,5,13,35791394,URMA_WRITE,7,0ns,0,
88,5,14,35791394,URMA_WRITE,7,0ns,0,
89,5,15,35791394,URMA_WRITE,7,0ns,0,
90,6,0,35791395,URMA_WRITE,7,0ns,0,
91,6,1,35791395,URMA_WRITE,7,0ns,0,
92,6,2,35791394,URMA_WRITE,7,0ns,0,
93,6,3,35791394,URMA_WRITE,7,0ns,0,
94,6,4,35791394,URMA_WRITE,7,0ns,0,
95,6,5,35791394,URMA_WRITE,7,0ns,0,
96,6,7,35791394,URMA_WRITE,7,0ns,0,
97,6,8,35791394,URMA_WRITE,7,0ns,0,
98,6,9,35791394,URMA_WRITE,7,0ns,0,
99,6,10,35791394,URMA_WRITE,7,0ns,0,
100,6,11,35791394,URMA_WRITE,7,0ns,0,
101,6,12,35791394,URMA_WRITE,7,0ns,0,
102,6,13,35791394,URMA_WRITE,7,0ns,0,
103,6,14,35791394,URMA_WRITE,7,0ns,0,
104,6,15,35791394,URMA_WRITE,7,0ns,0,
105,7,0,35791395,URMA_WRITE,7,0ns,0,
106,7,1,35791395,URMA_WRITE,7,0ns,0,
107,7,2,35791394,URMA_WRITE,7,0ns,0,
108,7,3,35791394,URMA_WRITE,7,0ns,0,
109,7,4,35791394,URMA_WRITE,7,0ns,0,
110,7,5,35791394,URMA_WRITE,7,0ns,0,
111,7,6,35791394,URMA_WRITE,7,0ns,0,
112,7,8,35791394,URMA_WRITE,7,0ns,0,
113,7,9,35791394,URMA_WRITE,7,0ns,0,
114,7,10,35791394,URMA_WRITE,7,0ns,0,
115,7,11,35791394,URMA_WRITE,7,0ns,0,
116,7,12,35791394,URMA_WRITE,7,0ns,0,
117,7,13,35791394,URMA_WRITE,7,0ns,0,
118,7,14,35791394,URMA_WRITE,7,0ns,0,
119,7,15,35791394,URMA_WRITE,7,0ns,0,
120,8,0,35791395,URMA_WRITE,7,0ns,0,
121,8,1,35791395,URMA_WRITE,7,0ns,0,
122,8,2,35791394,URMA_WRITE,7,0ns,0,
123,8,3,35791394,URMA_WRITE,7,0ns,0,
124,8,4,35791394,URMA_WRITE,7,0ns,0,
125,8,5,35791394,URMA_WRITE,7,0ns,0,
126,8,6,35791394,URMA_WRITE,7,0ns,0,
127,8,7,35791394,URMA_WRITE,7,0ns,0,
128,8,9,35791394,URMA_WRITE,7,0ns,0,
129,8,10,35791394,URMA_WRITE,7,0ns,0,
130,8,11,35791394,URMA_WRITE,7,0ns,0,
131,8,12,35791394,URMA_WRITE,7,0ns,0,
132,8,13,35791394,URMA_WRITE,7,0ns,0,
133,8,14,35791394,URMA_WRITE,7,0ns,0,
134,8,15,35791394,URMA_WRITE,7,0ns,0,
135,9,0,35791395,URMA_WRITE,7,0ns,0,
136,9,1,35791395,URMA_WRITE,7,0ns,0,
137,9,2,35791394,URMA_WRITE,7,0ns,0,
138,9,3,35791394,URMA_WRITE,7,0ns,0,
139,9,4,35791394,URMA_WRITE,7,0ns,0,
140,9,5,35791394,URMA_WRITE,7,0ns,0,
141,9,6,35791394,URMA_WRITE,7,0ns,0,
142,9,7,35791394,URMA_WRITE,7,0ns,0,
143,9,8,35791394,URMA_WRITE,7,0ns,0,
144,9,10,35791394,URMA_WRITE,7,0ns,0,
145,9,11,35791394,URMA_WRITE,7,0ns,0,
146,9,12,35791394,URMA_WRITE,7,0ns,0,
147,9,13,35791394,URMA_WRITE,7,0ns,0,
148,9,14,35791394,URMA_WRITE,7,0ns,0,
149,9,15,35791394,URMA_WRITE,7,0ns,0,
150,10,0,35791395,URMA_WRITE,7,0ns,0,
151,10,1,35791395,URMA_WRITE,7,0ns,0,
152,10,2,35791394,URMA_WRITE,7,0ns,0,
153,10,3,35791394,URMA_WRITE,7,0ns,0,
154,10,4,35791394,URMA_WRITE,7,0ns,0,
155,10,5,35791394,URMA_WRITE,7,0ns,0,
156,10,6,35791394,URMA_WRITE,7,0ns,0,
157,10,7,35791394,URMA_WRITE,7,0ns,0,
158,10,8,35791394,URMA_WRITE,7,0ns,0,
159,10,9,35791394,URMA_WRITE,7,0ns,0,
160,10,11,35791394,URMA_WRITE,7,0ns,0,
161,10,12,35791394,URMA_WRITE,7,0ns,0,
162,10,13,35791394,URMA_WRITE,7,0ns,0,
163,10,14,35791394,URMA_WRITE,7,0ns,0,
