taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,2130441,URMA_WRITE,7,0ns,0,,0.0,182.36804,0.001,183.984,93.4568
1,0,2,2130441,URMA_WRITE,7,0ns,0,,0.0,182.98304,0.001,185.15996,93.1427
2,0,3,2130441,URMA_WRITE,7,0ns,0,,0.0,183.06262,0.001,184.00326,93.1022
3,0,4,2130441,URMA_WRITE,7,0ns,0,,0.0,183.82668,0.001,185.97072,92.7152
4,0,5,2130441,URMA_WRITE,7,0ns,0,,0.0,182.72058,0.001,183.97092,93.2765
5,0,6,2130441,URMA_WRITE,7,0ns,0,,0.0,182.72216,0.001,183.81436,93.2756
6,0,7,2130441,URMA_WRITE,7,0ns,0,,0.0,182.46436,0.001,184.6576,93.4074
7,0,8,2130441,URMA_WRITE,7,0ns,0,,0.0,335.72702,0.50288,336.52164,50.766
8,0,9,2130440,URMA_WRITE,7,0ns,0,,0.0,338.64714,0.58636,338.8051,50.3283
9,0,10,2130440,URMA_WRITE,7,0ns,0,,0.0,334.74912,0.66984,334.76208,50.9143
10,0,11,2130440,URMA_WRITE,7,0ns,0,,0.0,335.89714,0.75332,335.78372,50.7403
11,0,12,2130440,URMA_WRITE,7,0ns,0,,0.0,335.03008,0.8368,335.04304,50.8716
12,0,13,2130440,URMA_WRITE,7,0ns,0,,0.0,336.5204,0.92028,336.53296,50.6463
13,0,14,2130440,URMA_WRITE,7,0ns,0,,0.0,337.1554,1.00376,337.16814,50.5509
14,0,15,2130440,URMA_WRITE,7,0ns,0,,0.0,335.8579,1.08724,335.15986,50.7462
15,0,16,2130440,URMA_WRITE,7,0ns,0,,0.0,334.43428,1.08848,337.4568,50.9622
16,0,17,2130440,URMA_WRITE,7,0ns,0,,0.0,336.62678,1.17196,336.6394,50.6303
17,0,18,2130440,URMA_WRITE,7,0ns,0,,0.0,336.5257,1.25544,340.0149,50.6455
18,0,19,2130440,URMA_WRITE,7,0ns,0,,0.0,337.32856,1.33892,335.24558,50.525
19,0,20,2130440,URMA_WRITE,7,0ns,0,,0.0,334.09314,1.4224,334.10646,51.0143
20,0,21,2130440,URMA_WRITE,7,0ns,0,,0.0,337.15224,1.50588,337.16514,50.5514
21,0,22,2130440,URMA_WRITE,7,0ns,0,,0.0,336.53292,1.58936,336.5453,50.6444
22,0,23,2130440,URMA_WRITE,7,0ns,0,,0.0,337.33544,1.67284,337.34806,50.524
23,0,24,2130440,URMA_WRITE,7,0ns,0,,0.0,337.42546,1.75632,336.27346,50.5105
24,0,25,2130440,URMA_WRITE,7,0ns,0,,0.0,336.5301,1.8398,336.95154,50.6449
25,0,26,2130440,URMA_WRITE,7,0ns,0,,0.0,336.6252,1.92328,336.63816,50.6306
26,0,27,2130440,URMA_WRITE,7,0ns,0,,0.0,336.25808,2.00676,336.65424,50.6858
27,0,28,2130440,URMA_WRITE,7,0ns,0,,0.0,336.34562,2.09024,334.65808,50.6726
28,0,29,2130440,URMA_WRITE,7,0ns,0,,0.0,336.5389,2.17372,336.5513,50.6435
29,0,30,2130440,URMA_WRITE,7,0ns,0,,0.0,336.62238,2.2572,335.69212,50.631
30,0,31,2130440,URMA_WRITE,7,0ns,0,,0.0,336.79622,2.34068,338.15056,50.6048
31,0,32,2130440,URMA_WRITE,7,0ns,0,,0.0,335.88282,2.42416,335.94974,50.7425
32,0,33,2130440,URMA_WRITE,7,0ns,0,,0.0,335.81208,2.50764,336.16314,50.7531
33,0,34,2130440,URMA_WRITE,7,0ns,0,,0.0,334.72036,2.59112,334.73358,50.9187
34,0,35,2130440,URMA_WRITE,7,0ns,0,,0.0,335.87628,2.6746,340.58482,50.7434
