nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.17096,5947.00026,296761630,399.22
0,0,Tx,0.001,5945.9011,296782870,399.31
0,1,Rx,0.34192,735.6738,36631112,398.53
0,1,Tx,0.001,735.36962,36600397,398.17
0,2,Rx,0.34192,735.93142,36654136,398.64
0,2,Tx,0.001,735.59924,36617058,398.23
0,3,Rx,0.4254,736.07022,36603602,398.06
0,3,Tx,0.001,736.0704,36613687,397.94
0,4,Rx,0.4254,735.20872,36610072,398.59
0,4,Tx,0.001,734.9578,36596677,398.35
0,5,Rx,0.4254,737.75378,36594900,397.05
0,5,Tx,0.001,737.7532,36665523,397.59
0,6,Rx,0.50888,738.3942,36657568,397.43
0,6,Tx,0.001,738.36296,36597320,396.52
0,7,Rx,0.50888,736.33042,36649238,398.46
0,7,Tx,0.001,735.49308,36607651,398.18
1,0,Rx,0.17096,5947.1366,296765310,399.22
1,0,Tx,0.001,5947.10492,296777932,399.22
1,1,Rx,0.34192,735.01982,36595418,398.49
1,1,Tx,0.001,734.9273,36617779,398.6
1,2,Rx,0.4254,736.91814,36597318,397.53
1,2,Tx,0.001,736.9188,36665647,398.04
1,3,Rx,0.4254,735.71952,36638822,398.63
1,3,Tx,0.001,735.59684,36597895,398.02
1,4,Rx,0.50888,738.30986,36701756,397.96
1,4,Tx,0.001,738.30962,36598577,396.57
1,5,Rx,0.34192,734.83672,36607384,398.72
1,5,Tx,0.001,734.07548,36633718,399.24
1,6,Rx,0.4254,734.91636,36592606,398.56
1,6,Tx,0.001,734.91736,36630077,398.74
1,7,Rx,0.4254,735.82458,36594736,398.09
1,7,Tx,0.001,735.77462,36617593,398.14
2,0,Rx,0.25444,5946.89346,296767328,399.24
2,0,Tx,0.001,5943.57128,296770594,399.45
2,1,Rx,0.4254,735.2542,36625035,398.73
2,1,Tx,0.001,735.01214,36601699,398.38
2,2,Rx,0.4254,735.61274,36596511,398.23
2,2,Tx,0.001,735.6116,36644669,398.52
2,3,Rx,0.34192,736.92264,36596781,397.48
2,3,Tx,0.001,736.92364,36623629,397.58
2,4,Rx,0.34192,735.19688,36609823,398.55
2,4,Tx,0.001,734.87648,36600397,398.44
2,5,Rx,0.4254,739.12754,36594589,396.31
2,5,Tx,0.001,739.12854,36650249,396.69
2,6,Rx,0.34192,735.12444,36596223,398.44
2,6,Tx,0.001,735.12386,36631255,398.64
2,7,Rx,0.34192,735.78208,36601369,398.14
2,7,Tx,0.001,735.78308,36613315,398.09
3,0,Rx,0.33792,5946.90422,296768876,399.25
3,0,Tx,0.001,5944.26794,296775638,399.41
3,1,Rx,0.34192,736.74256,36594589,397.55
3,1,Tx,0.001,736.74356,36657277,398.05
3,2,Rx,0.34192,737.822,36708699,398.21
3,2,Tx,0.001,737.79732,36599862,396.86
3,3,Rx,0.4254,736.47258,36599013,397.79
3,3,Tx,0.001,736.47358,36616229,397.75
3,4,Rx,0.4254,737.53382,36597441,397.2
3,4,Tx,0.001,737.53086,36645351,397.49
3,5,Rx,0.34192,735.0625,36654941,399.12
3,5,Tx,0.001,734.98222,36600995,398.39
3,6,Rx,0.34192,734.86946,36614349,398.78
3,6,Tx,0.001,734.8432,36620180,398.67
3,7,Rx,0.34192,737.67082,36689789,398.08
3,7,Tx,0.001,737.62966,36601784,396.97
4,0,Rx,0.34192,5944.27342,296773836,399.43
4,0,Tx,0.001,5941.07726,296770842,399.62
4,1,Rx,0.4254,735.19772,36644091,398.97
4,1,Tx,0.001,735.07584,36613417,398.47
4,2,Rx,0.34192,736.99986,36594899,397.42
4,2,Tx,0.001,736.87554,36682843,398.25
4,3,Rx,0.50888,737.02178,36639047,397.97
4,3,Tx,0.001,736.99652,36596948,397.26
4,4,Rx,0.34192,735.28916,36601183,398.41
4,4,Tx,0.001,735.29016,36605379,398.27
4,5,Rx,0.4254,734.68904,36600687,398.77
4,5,Tx,0.001,734.69004,36627411,398.83
4,6,Rx,0.34192,735.02008,36626957,398.84
4,6,Tx,0.001,735.00524,36599095,398.36
4,7,Rx,0.4254,735.78834,36595603,398.12
4,7,Tx,0.001,735.57606,36614989,398.22
5,0,Rx,0.4254,5947.10516,296772370,399.24
5,0,Tx,0.001,5946.53268,296769726,399.25
5,1,Rx,0.4254,738.22794,36639543,397.28
5,1,Tx,0.001,738.19918,36600690,396.65
5,2,Rx,0.50888,734.28286,36641589,399.49
5,2,Tx,0.001,734.11954,36616336,399.02
5,3,Rx,0.34192,733.4528,36609265,399.49
5,3,Tx,0.001,733.4538,36600831,399.22
5,4,Rx,0.34192,735.20714,36605483,398.5
5,4,Tx,0.001,734.98682,36600149,398.38
5,5,Rx,0.34192,734.39582,36608499,398.97
5,5,Tx,0.001,734.39682,36637517,399.1
5,6,Rx,0.34192,735.00582,36595665,398.5
5,6,Tx,0.001,735.00682,36628775,398.68
5,7,Rx,0.34192,735.57688,36594177,398.18
5,7,Tx,0.001,735.57788,36615857,398.23
6,0,Rx,0.34192,5947.13612,296774478,399.24
6,0,Tx,0.001,5947.13212,296777932,399.22
6,1,Rx,0.34192,734.84316,36596843,398.6
6,1,Tx,0.001,734.5483,36618647,398.82
6,2,Rx,0.34192,738.79592,36701879,397.61
6,2,Tx,0.001,738.76716,36599366,396.33
6,3,Rx,0.34192,736.1346,36623671,398.2
6,3,Tx,0.001,736.1356,36608147,397.84
6,4,Rx,0.34192,735.08708,36619433,398.72
6,4,Tx,0.001,735.08808,36607403,398.4
6,5,Rx,0.59236,735.9007,36656389,398.81
6,5,Tx,0.001,735.87476,36597878,397.87
6,6,Rx,0.4254,735.01146,36594775,398.53
6,6,Tx,0.001,735.01246,36635471,398.75
6,7,Rx,0.50888,739.6827,36698221,397.18
6,7,Tx,0.001,739.63286,36599924,395.87
7,0,Rx,0.4254,5945.8857,296779478,399.34
7,0,Tx,0.001,5943.92434,296782994,399.44
7,1,Rx,0.34192,737.37858,36595643,397.22
7,1,Tx,0.001,737.37958,36671001,397.85
7,2,Rx,0.34192,737.12802,36593039,397.33
7,2,Tx,0.001,737.12902,36684455,398.13
7,3,Rx,0.34192,735.78444,36601679,398.15
7,3,Tx,0.001,735.65978,36603063,398.04
7,4,Rx,0.34192,733.9183,36604903,399.19
7,4,Tx,0.001,733.7296,36624311,399.32
7,5,Rx,0.34192,735.28692,36625531,398.68
7,5,Tx,0.001,735.26224,36599078,398.22
7,6,Rx,0.4254,735.02362,36600253,398.59
7,6,Tx,0.001,735.00964,36632619,398.72
7,7,Rx,0.34192,735.87628,36598455,398.06
7,7,Tx,0.001,734.47942,36637167,399.06
8,0,Rx,0.25444,5948.92144,296778756,399.12
8,0,Tx,0.001,5948.47344,296765735,399.12
8,1,Rx,0.34192,737.39154,36666929,397.99
8,1,Tx,0.001,737.17966,36599738,397.19
8,2,Rx,0.34192,738.7804,36595311,396.46
8,2,Tx,0.001,738.78064,36705951,397.48
8,3,Rx,0.4254,733.46576,36596719,399.4
8,3,Tx,0.001,733.2999,36613377,399.44
8,4,Rx,0.34192,735.30212,36601307,398.4
