nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,64,0,400Gbps,1ns
0,1,72,0,400Gbps,1ns
0,2,80,0,400Gbps,1ns
0,3,88,0,400Gbps,1ns
0,4,96,0,400Gbps,1ns
0,5,104,0,400Gbps,1ns
0,6,112,0,400Gbps,1ns
0,7,120,0,400Gbps,1ns
1,0,64,1,400Gbps,1ns
1,1,72,1,400Gbps,1ns
1,2,80,1,400Gbps,1ns
1,3,88,1,400Gbps,1ns
1,4,96,1,400Gbps,1ns
1,5,104,1,400Gbps,1ns
1,6,112,1,400Gbps,1ns
1,7,120,1,400Gbps,1ns
2,0,64,2,400Gbps,1ns
2,1,72,2,400Gbps,1ns
2,2,80,2,400Gbps,1ns
2,3,88,2,400Gbps,1ns
2,4,96,2,400Gbps,1ns
2,5,104,2,400Gbps,1ns
2,6,112,2,400Gbps,1ns
2,7,120,2,400Gbps,1ns
3,0,64,3,400Gbps,1ns
3,1,72,3,400Gbps,1ns
3,2,80,3,400Gbps,1ns
3,3,88,3,400Gbps,1ns
3,4,96,3,400Gbps,1ns
3,5,104,3,400Gbps,1ns
3,6,112,3,400Gbps,1ns
3,7,120,3,400Gbps,1ns
4,0,64,4,400Gbps,1ns
4,1,72,4,400Gbps,1ns
4,2,80,4,400Gbps,1ns
4,3,88,4,400Gbps,1ns
4,4,96,4,400Gbps,1ns
4,5,104,4,400Gbps,1ns
4,6,112,4,400Gbps,1ns
4,7,120,4,400Gbps,1ns
5,0,64,5,400Gbps,1ns
5,1,72,5,400Gbps,1ns
5,2,80,5,400Gbps,1ns
5,3,88,5,400Gbps,1ns
5,4,96,5,400Gbps,1ns
5,5,104,5,400Gbps,1ns
5,6,112,5,400Gbps,1ns
5,7,120,5,400Gbps,1ns
6,0,64,6,400Gbps,1ns
6,1,72,6,400Gbps,1ns
6,2,80,6,400Gbps,1ns
6,3,88,6,400Gbps,1ns
6,4,96,6,400Gbps,1ns
6,5,104,6,400Gbps,1ns
6,6,112,6,400Gbps,1ns
6,7,120,6,400Gbps,1ns
7,0,64,7,400Gbps,1ns
7,1,72,7,400Gbps,1ns
7,2,80,7,400Gbps,1ns
7,3,88,7,400Gbps,1ns
7,4,96,7,400Gbps,1ns
7,5,104,7,400Gbps,1ns
7,6,112,7,400Gbps,1ns
7,7,120,7,400Gbps,1ns
8,0,65,0,400Gbps,1ns
8,1,73,0,400Gbps,1ns
8,2,81,0,400Gbps,1ns
8,3,89,0,400Gbps,1ns
8,4,97,0,400Gbps,1ns
8,5,105,0,400Gbps,1ns
8,6,113,0,400Gbps,1ns
8,7,121,0,400Gbps,1ns
9,0,65,1,400Gbps,1ns
9,1,73,1,400Gbps,1ns
9,2,81,1,400Gbps,1ns
9,3,89,1,400Gbps,1ns
9,4,97,1,400Gbps,1ns
9,5,105,1,400Gbps,1ns
9,6,113,1,400Gbps,1ns
9,7,121,1,400Gbps,1ns
10,0,65,2,400Gbps,1ns
10,1,73,2,400Gbps,1ns
10,2,81,2,400Gbps,1ns
10,3,89,2,400Gbps,1ns
10,4,97,2,400Gbps,1ns
10,5,105,2,400Gbps,1ns
10,6,113,2,400Gbps,1ns
10,7,121,2,400Gbps,1ns
11,0,65,3,400Gbps,1ns
11,1,73,3,400Gbps,1ns
11,2,81,3,400Gbps,1ns
11,3,89,3,400Gbps,1ns
11,4,97,3,400Gbps,1ns
11,5,105,3,400Gbps,1ns
