nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
0,0,511,1,0,511,7,1
0,0,520,2,0,511,7,1
0,0,529,3,0,511,7,1
0,0,538,4,0,511,7,1
0,0,547,5,0,511,7,1
0,0,556,6,0,511,7,1
0,0,565,7,0,511,7,1
0,0,574,8,0,511,7,1
0,1,583,9,1,512,7,1
0,2,592,10,2,513,7,1
0,3,601,11,3,514,7,1
0,4,610,12,4,515,7,1
0,5,619,13,5,516,7,1
0,6,628,14,6,517,7,1
0,7,637,15,7,518,7,1
1,0,520,2,0,520,7,1
1,0,529,3,0,520,7,1
1,0,538,4,0,520,7,1
1,0,547,5,0,520,7,1
1,0,556,6,0,520,7,1
1,0,565,7,0,520,7,1
1,7,581,8,7,526,7,1
1,0,582,9,0,519,7,1
1,1,591,10,1,520,7,1
1,2,600,11,2,521,7,1
1,3,609,12,3,522,7,1
1,4,618,13,4,523,7,1
1,5,627,14,5,524,7,1
1,6,636,15,6,525,7,1
2,0,529,3,0,529,7,1
2,0,538,4,0,529,7,1
2,0,547,5,0,529,7,1
2,0,556,6,0,529,7,1
2,0,565,7,0,529,7,1
2,6,580,8,6,533,7,1
2,7,589,9,7,534,7,1
2,0,590,10,0,527,7,1
2,1,599,11,1,528,7,1
2,2,608,12,2,529,7,1
2,3,617,13,3,530,7,1
2,4,626,14,4,531,7,1
2,5,635,15,5,532,7,1
3,0,538,4,0,538,7,1
3,0,547,5,0,538,7,1
3,0,556,6,0,538,7,1
3,0,565,7,0,538,7,1
3,5,579,8,5,540,7,1
3,6,588,9,6,541,7,1
3,7,597,10,7,542,7,1
3,0,598,11,0,535,7,1
3,1,607,12,1,536,7,1
3,2,616,13,2,537,7,1
3,3,625,14,3,538,7,1
3,4,634,15,4,539,7,1
4,0,547,5,0,547,7,1
4,0,556,6,0,547,7,1
4,0,565,7,0,547,7,1
4,4,578,8,4,547,7,1
4,5,587,9,5,548,7,1
4,6,596,10,6,549,7,1
4,7,605,11,7,550,7,1
4,0,606,12,0,543,7,1
4,1,615,13,1,544,7,1
4,2,624,14,2,545,7,1
4,3,633,15,3,546,7,1
5,0,556,6,0,556,7,1
5,0,565,7,0,556,7,1
5,3,577,8,3,554,7,1
5,4,586,9,4,555,7,1
5,5,595,10,5,556,7,1
5,6,604,11,6,557,7,1
5,7,613,12,7,558,7,1
5,0,614,13,0,551,7,1
5,1,623,14,1,552,7,1
5,2,632,15,2,553,7,1
6,0,565,7,0,565,7,1
6,2,576,8,2,561,7,1
6,3,585,9,3,562,7,1
6,4,594,10,4,563,7,1
6,5,603,11,5,564,7,1
6,6,612,12,6,565,7,1
6,7,621,13,7,566,7,1
6,0,622,14,0,559,7,1
6,1,631,15,1,560,7,1
7,1,575,8,1,568,7,1
7,2,584,9,2,569,7,1
7,3,593,10,3,570,7,1
7,4,602,11,4,571,7,1
7,5,611,12,5,572,7,1
7,6,620,13,6,573,7,1
7,7,629,14,7,574,7,1
7,0,630,15,0,567,7,1
8,0,575,9,0,575,7,1
8,0,584,10,0,575,7,1
8,0,593,11,0,575,7,1
8,0,602,12,0,575,7,1
8,0,611,13,0,575,7,1
8,0,620,14,0,575,7,1
8,0,629,15,0,575,7,1
9,0,584,10,0,584,7,1
9,0,593,11,0,584,7,1
9,0,602,12,0,584,7,1
9,0,611,13,0,584,7,1
9,0,620,14,0,584,7,1
9,0,629,15,0,584,7,1
10,0,593,11,0,593,7,1
10,0,602,12,0,593,7,1
10,0,611,13,0,593,7,1
10,0,620,14,0,593,7,1
10,0,629,15,0,593,7,1
11,0,602,12,0,602,7,1
11,0,611,13,0,602,7,1
11,0,620,14,0,602,7,1
11,0,629,15,0,602,7,1
12,0,611,13,0,611,7,1
12,0,620,14,0,611,7,1
12,0,629,15,0,611,7,1
13,0,620,14,0,620,7,1
13,0,629,15,0,620,7,1
14,0,629,15,0,629,7,1
