nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.35488,171.3975,138826,6.49
0,0,Tx,0.001,171.3985,8556226,399.36
0,1,Rx,0.35488,171.3985,138826,6.49
0,1,Tx,0.001,171.3995,8556226,399.36
0,2,Rx,0.35488,171.3985,138826,6.49
0,2,Tx,0.001,171.3995,8556226,399.36
0,3,Rx,0.35488,171.3985,138826,6.49
0,3,Tx,0.001,171.3995,8556226,399.36
0,4,Rx,0.35488,171.3985,138826,6.49
0,4,Tx,0.001,171.3995,8556226,399.36
0,5,Rx,0.35488,171.3985,138826,6.49
0,5,Tx,0.001,171.3995,8556226,399.36
0,6,Rx,0.35488,171.3975,138826,6.49
0,6,Tx,0.001,171.3985,8556226,399.36
0,7,Rx,0.35488,171.3985,138826,6.49
0,7,Tx,0.001,171.3995,8556226,399.36
63,0,Rx,0.34192,171.41046,8552114,399.94
63,0,Tx,0.34292,171.3852,138809,6.49
63,1,Rx,0.34192,171.41146,8552114,399.94
63,1,Tx,0.34292,171.3852,138809,6.49
63,2,Rx,0.34192,171.41146,8552114,399.94
63,2,Tx,0.34292,171.3852,138809,6.49
63,3,Rx,0.34192,171.41146,8552114,399.94
63,3,Tx,0.34292,171.3852,138809,6.49
63,4,Rx,0.34192,171.41146,8552114,399.94
63,4,Tx,0.34292,171.3852,138809,6.49
63,5,Rx,0.34192,171.41146,8552114,399.94
63,5,Tx,0.34292,171.3852,138809,6.49
63,6,Rx,0.34192,171.41046,8552114,399.94
63,6,Tx,0.34292,171.3852,138809,6.49
63,7,Rx,0.34192,171.41146,8552114,399.94
63,7,Tx,0.34292,171.3852,138809,6.49
64,0,Rx,0.08548,171.40074,8552114,399.36
64,0,Tx,0.35264,171.39492,138809,6.49
64,8,Rx,5.61686,166.04726,1425,0.07
64,8,Tx,0.33692,170.7936,1064370,49.95
64,9,Rx,6.95378,167.38418,1425,0.07
64,9,Tx,0.4204,170.87708,1064370,49.95
64,10,Rx,9.62762,170.05802,1425,0.07
64,10,Tx,0.50388,170.96056,1064370,49.95
64,11,Rx,8.2907,168.7211,1425,0.07
64,11,Tx,0.58736,171.04404,1064370,49.95
64,12,Rx,0.35164,171.39426,128178,6.0
64,12,Tx,0.67084,171.40174,1076418,50.44
64,13,Rx,1.6061,162.0365,1425,0.07
64,13,Tx,0.08648,170.54316,1064370,49.95
64,14,Rx,2.94302,163.37342,1425,0.07
64,14,Tx,0.16996,170.62664,1064370,49.95
64,15,Rx,4.27994,164.71034,1425,0.07
64,15,Tx,0.25344,170.71012,1064370,49.95
71,7,Rx,0.34516,171.38778,138826,6.49
71,7,Tx,0.25744,171.40822,8556226,399.94
71,8,Rx,0.59036,171.04704,1064370,49.95
71,8,Tx,5.6107,166.0411,1425,0.07
71,9,Rx,0.50688,170.96356,1064370,49.95
71,9,Tx,6.94762,167.37802,1425,0.07
71,10,Rx,0.75732,171.214,1064370,49.95
71,10,Tx,8.28454,168.71494,1425,0.07
71,11,Rx,0.67384,171.13052,1064370,49.95
71,11,Tx,9.62146,170.05186,1425,0.07
71,12,Rx,0.8408,171.40722,1072306,50.29
71,12,Tx,0.34616,171.38844,128161,5.99
71,13,Rx,0.25644,170.71312,1064370,49.95
71,13,Tx,1.59994,162.03034,1425,0.07
71,14,Rx,0.33992,170.7966,1064370,49.95
71,14,Tx,2.93686,163.36726,1425,0.07
71,15,Rx,0.4234,170.88008,1064370,49.95
71,15,Tx,4.27378,164.70418,1425,0.07
72,0,Rx,0.08548,171.40174,8552114,399.36
72,0,Tx,0.35264,171.39592,138809,6.49
72,8,Rx,9.62762,170.05802,1425,0.07
72,8,Tx,0.67084,171.12752,1064370,49.95
72,9,Rx,8.2907,168.7211,1425,0.07
72,9,Tx,0.08648,170.54316,1064370,49.95
72,10,Rx,10.96454,171.39494,1425,0.07
72,10,Tx,0.16996,170.62664,1064370,49.95
72,11,Rx,1.6061,162.0365,1425,0.07
72,11,Tx,0.25344,170.71012,1064370,49.95
72,12,Rx,0.35164,171.39268,128178,6.0
72,12,Tx,0.33692,170.7936,1064410,49.96
72,13,Rx,4.27994,164.71034,1425,0.07
72,13,Tx,0.4204,171.40274,1076418,50.36
72,14,Rx,5.61686,166.04726,1425,0.07
72,14,Tx,0.50388,170.96056,1064370,49.95
72,15,Rx,6.95378,167.38418,1425,0.07
72,15,Tx,0.58736,171.04404,1064370,49.95
79,7,Rx,0.34516,171.38778,138826,6.49
79,7,Tx,0.25744,171.40922,8556226,399.94
79,8,Rx,0.8408,171.29748,1064370,49.95
79,8,Tx,8.28454,168.71494,1425,0.07
79,9,Rx,0.25644,170.71312,1064370,49.95
79,9,Tx,9.62146,170.05186,1425,0.07
79,10,Rx,0.4234,170.88008,1064370,49.95
79,10,Tx,10.95838,171.38878,1425,0.07
79,11,Rx,0.33992,170.7966,1064370,49.95
79,11,Tx,1.59994,162.03034,1425,0.07
79,12,Rx,0.50688,170.96356,1064410,49.96
79,12,Tx,0.34616,171.3872,128178,6.0
79,13,Rx,0.59036,171.40822,1072306,50.22
79,13,Tx,4.27378,164.70418,1425,0.07
79,14,Rx,0.67384,171.13052,1064370,49.95
79,14,Tx,5.6107,166.0411,1425,0.07
79,15,Rx,0.75732,171.214,1064370,49.95
79,15,Tx,6.94762,167.37802,1425,0.07
80,0,Rx,0.08548,171.40174,8552114,399.36
80,0,Tx,0.35264,171.39592,138809,6.49
80,8,Rx,0.35164,171.39268,128178,6.0
80,8,Tx,0.16996,170.62664,1064410,49.96
80,9,Rx,5.61652,166.04692,1425,0.07
80,9,Tx,0.25344,170.71012,1064370,49.95
80,10,Rx,9.62762,170.05802,1425,0.07
80,10,Tx,0.33692,171.40274,1076418,50.34
80,11,Rx,8.2907,168.7211,1425,0.07
80,11,Tx,0.4204,170.87708,1064370,49.95
80,12,Rx,10.96454,171.39494,1425,0.07
80,12,Tx,0.50388,170.96056,1064370,49.95
80,13,Rx,1.6061,162.0365,1425,0.07
80,13,Tx,0.58736,171.04404,1064370,49.95
80,14,Rx,2.94302,163.37342,1425,0.07
80,14,Tx,0.67084,171.12752,1064370,49.95
80,15,Rx,4.27994,164.71034,1425,0.07
80,15,Tx,0.08648,170.54316,1064370,49.95
87,7,Rx,0.34516,171.38778,138826,6.49
87,7,Tx,0.25744,171.40922,8556226,399.94
87,8,Rx,0.4234,170.88008,1064410,49.96
87,8,Tx,0.34616,171.3872,128178,6.0
87,9,Rx,0.33992,170.7966,1064370,49.95
87,9,Tx,6.94762,167.37802,1425,0.07
87,10,Rx,0.50688,171.40822,1072306,50.2
87,10,Tx,8.28454,168.71494,1425,0.07
87,11,Rx,0.59036,171.04704,1064370,49.95
87,11,Tx,9.62146,170.05186,1425,0.07
87,12,Rx,0.67384,171.13052,1064370,49.95
87,12,Tx,10.95838,171.38878,1425,0.07
87,13,Rx,0.75732,171.214,1064370,49.95
87,13,Tx,1.59994,162.03034,1425,0.07
87,14,Rx,0.8408,171.29748,1064370,49.95
87,14,Tx,2.93686,163.36726,1425,0.07
87,15,Rx,0.25644,170.71312,1064370,49.95
87,15,Tx,4.27378,164.70418,1425,0.07
88,0,Rx,0.08548,171.40174,8552114,399.36
88,0,Tx,0.35264,171.39592,138809,6.49
88,8,Rx,5.61686,166.04726,1425,0.07
88,8,Tx,0.50388,170.96056,1064370,49.95
88,9,Rx,6.95378,167.38418,1425,0.07
88,9,Tx,0.58736,171.04404,1064370,49.95
88,10,Rx,0.35164,171.39268,128178,6.0
88,10,Tx,0.67084,171.12752,1064410,49.96
88,11,Rx,9.62762,170.05802,1425,0.07
88,11,Tx,0.08648,171.40274,1076418,50.27
88,12,Rx,10.96454,171.39494,1425,0.07
88,12,Tx,0.16996,170.62664,1064370,49.95
88,13,Rx,1.6061,162.0365,1425,0.07
88,13,Tx,0.25344,170.71012,1064370,49.95
88,14,Rx,2.94302,163.37342,1425,0.07
88,14,Tx,0.33692,170.7936,1064370,49.95
88,15,Rx,4.27994,164.71034,1425,0.07
88,15,Tx,0.4204,170.87708,1064370,49.95
95,7,Rx,0.34516,171.38778,138826,6.49
95,7,Tx,0.25744,171.40922,8556226,399.94
95,8,Rx,0.75732,171.214,1064370,49.95
95,8,Tx,5.6107,166.0411,1425,0.07
95,9,Rx,0.67384,171.13052,1064370,49.95
95,9,Tx,6.94762,167.37802,1425,0.07
95,10,Rx,0.8408,171.29748,1064410,49.96
95,10,Tx,0.34616,171.3872,128178,6.0
95,11,Rx,0.25644,171.40822,1072306,50.12
95,11,Tx,9.62146,170.05186,1425,0.07
95,12,Rx,0.33992,170.7966,1064370,49.95
95,12,Tx,10.95838,171.38878,1425,0.07
95,13,Rx,0.4234,170.88008,1064370,49.95
95,13,Tx,1.59994,162.03034,1425,0.07
95,14,Rx,0.50688,170.96356,1064370,49.95
95,14,Tx,2.93686,163.36726,1425,0.07
95,15,Rx,0.59036,171.04704,1064370,49.95
95,15,Tx,4.27378,164.70418,1425,0.07
96,0,Rx,0.08548,171.40174,8552114,399.36
96,0,Tx,0.35264,171.39592,138809,6.49
96,8,Rx,0.35164,171.39268,128178,6.0
96,8,Tx,0.4204,170.87708,1064410,49.96
96,9,Rx,6.95344,167.38384,1425,0.07
96,9,Tx,0.50388,170.96056,1064370,49.95
96,10,Rx,10.96454,171.39494,1425,0.07
96,10,Tx,0.58736,171.04404,1064370,49.95
96,11,Rx,9.62762,170.05802,1425,0.07
96,11,Tx,0.67084,171.40274,1076418,50.44
96,12,Rx,1.6061,162.0365,1425,0.07
96,12,Tx,0.08648,170.54316,1064370,49.95
96,13,Rx,2.94302,163.37342,1425,0.07
96,13,Tx,0.16996,170.62664,1064370,49.95
96,14,Rx,4.27994,164.71034,1425,0.07
96,14,Tx,0.25344,170.71012,1064370,49.95
96,15,Rx,5.61686,166.04726,1425,0.07
96,15,Tx,0.33692,170.7936,1064370,49.95
103,7,Rx,0.34516,171.38778,138826,6.49
103,7,Tx,0.25744,171.40922,8556226,399.94
103,8,Rx,0.67384,171.13052,1064410,49.96
103,8,Tx,0.34616,171.3872,128178,6.0
103,9,Rx,0.59036,171.04704,1064370,49.95
103,9,Tx,8.28454,168.71494,1425,0.07
103,10,Rx,0.8408,171.29748,1064370,49.95
103,10,Tx,9.62146,170.05186,1425,0.07
103,11,Rx,0.75732,171.40822,1072306,50.27
103,11,Tx,10.95838,171.38878,1425,0.07
103,12,Rx,0.25644,170.71312,1064370,49.95
103,12,Tx,1.59994,162.03034,1425,0.07
103,13,Rx,0.33992,170.7966,1064370,49.95
103,13,Tx,2.93686,163.36726,1425,0.07
103,14,Rx,0.4234,170.88008,1064370,49.95
103,14,Tx,4.27378,164.70418,1425,0.07
103,15,Rx,0.50688,170.96356,1064370,49.95
103,15,Tx,5.6107,166.0411,1425,0.07
104,0,Rx,0.08548,171.40174,8552114,399.36
104,0,Tx,0.35264,171.39592,138809,6.49
104,8,Rx,5.61686,166.04726,1425,0.07
104,8,Tx,0.4204,170.87708,1064370,49.95
104,9,Rx,4.27994,164.71034,1425,0.07
104,9,Tx,0.50388,170.96056,1064370,49.95
104,10,Rx,6.95378,167.38418,1425,0.07
104,10,Tx,0.58736,171.04404,1064370,49.95
104,11,Rx,8.2907,168.7211,1425,0.07
104,11,Tx,0.67084,171.12752,1064370,49.95
104,12,Rx,0.35164,171.39268,128178,6.0
104,12,Tx,0.08648,171.40274,1076418,50.27
104,13,Rx,10.96454,171.39494,1425,0.07
104,13,Tx,0.16996,170.62664,1064370,49.95
