nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.35488,1.60966,1009,6.43
0,0,Tx,0.001,1.61066,66784,331.92
63,0,Rx,0.34192,1.62262,62672,391.49
63,0,Tx,0.34292,1.59636,992,6.33
64,0,Rx,0.08548,1.6129,62672,328.25
64,0,Tx,0.35264,1.60708,992,6.33
64,8,Tx,0.33692,1.00476,4174,50.0
64,9,Tx,0.4204,1.08824,4174,50.0
64,10,Tx,0.50388,1.17172,4174,50.0
64,11,Tx,0.58736,1.2552,4174,50.0
64,12,Rx,0.35164,1.60384,930,5.94
64,12,Tx,0.67084,1.6139,8348,70.82
64,13,Rx,1.6061,1.6061,0,0
64,13,Tx,0.08648,0.75432,4174,50.0
64,14,Tx,0.16996,0.8378,4174,50.0
64,15,Tx,0.25344,0.92128,4174,50.0
71,7,Rx,0.34516,1.59894,1009,6.44
71,7,Tx,0.25744,1.62038,66784,392.0
71,8,Rx,0.59036,1.2582,4174,50.0
71,9,Rx,0.50688,1.17472,4174,50.0
71,10,Rx,0.75732,1.42516,4174,50.0
71,11,Rx,0.67384,1.34168,4174,50.0
71,12,Rx,0.8408,1.61938,4236,43.53
71,12,Tx,0.34616,1.59836,930,5.94
71,13,Rx,0.25644,0.92428,4174,50.0
71,13,Tx,1.59994,1.59994,0,0
71,14,Rx,0.33992,1.00776,4174,50.0
71,15,Rx,0.4234,1.09124,4174,50.0
128,0,Rx,0.4214,1.08924,4174,50.0
128,1,Rx,0.50488,1.17272,4174,50.0
128,14,Tx,0.50588,1.17372,4174,50.0
128,15,Tx,0.4224,1.09024,4174,50.0
129,0,Rx,0.58836,1.2562,4174,50.0
129,1,Rx,0.67184,1.33968,4174,50.0
129,14,Tx,0.67284,1.34068,4174,50.0
129,15,Tx,0.58936,1.2572,4174,50.0
144,0,Rx,0.75532,1.61614,4236,39.37
144,0,Tx,0.3494,1.6016,930,5.94
144,7,Rx,0.3484,1.6006,930,5.94
144,7,Tx,0.75632,1.61714,8348,77.58
145,0,Rx,0.17096,0.8388,4174,50.0
145,0,Tx,1.60352,1.60352,0,0
145,7,Rx,1.60252,1.60252,0,0
145,7,Tx,0.17196,0.8398,4174,50.0
146,0,Rx,0.25444,0.92228,4174,50.0
146,7,Tx,0.25544,0.92328,4174,50.0
147,0,Rx,0.33792,1.00576,4174,50.0
147,7,Tx,0.33892,1.00676,4174,50.0
