taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,349526,URMA_WRITE,7,0ns,0,,0.0,75.70956,2.0328,75.7158,36.9334
1,0,1,284360,URMA_WRITE,7,0ns,1,,0.0,5.89638,0.001,5.9001,385.8096
2,0,14,284360,URMA_WRITE,7,0ns,2,,0.0,22.89794,1.01492,23.08136,99.3487
3,0,2,284360,URMA_WRITE,7,0ns,3,,0.0,5.89638,0.001,5.9001,385.8096
4,0,13,284360,URMA_WRITE,7,0ns,4,,0.0,23.21546,0.848,23.42744,97.9899
5,0,3,349526,URMA_WRITE,7,0ns,5,,0.0,12.14996,0.001,12.15286,230.1413
6,0,12,284360,URMA_WRITE,7,0ns,6,,0.0,23.67812,0.847,23.93114,96.0752
7,0,4,284360,URMA_WRITE,7,0ns,7,,0.0,22.3906,0.001,22.55784,101.5998
8,0,11,349526,URMA_WRITE,7,0ns,8,,0.0,75.55086,0.50288,75.55646,37.0109
9,0,5,284360,URMA_WRITE,7,0ns,9,,0.0,22.57082,0.002,22.81892,100.7885
10,0,10,284360,URMA_WRITE,7,0ns,10,,0.0,23.21264,0.4194,23.34272,98.0018
11,0,6,284360,URMA_WRITE,7,0ns,11,,0.0,23.21828,0.003,23.33968,97.978
12,0,9,284360,URMA_WRITE,7,0ns,12,,0.0,22.7419,0.33592,22.9966,100.0303
13,0,7,349526,URMA_WRITE,7,0ns,13,,0.0,61.97868,0.16896,61.985,45.1156
14,0,8,284360,URMA_WRITE,7,0ns,14,,0.0,22.37278,0.25244,22.71088,101.6807
15,1,0,284360,URMA_WRITE,7,0ns,15,,0.0,5.89638,0.001,5.9001,385.8096
16,1,2,284360,URMA_WRITE,7,0ns,16,,0.0,5.89638,0.001,5.9001,385.8096
17,1,15,349526,URMA_WRITE,7,0ns,17,,0.0,75.71114,1.01496,75.71704,36.9326
18,1,3,349526,URMA_WRITE,7,0ns,18,,0.0,12.14996,0.001,12.15286,230.1413
19,1,14,284360,URMA_WRITE,7,0ns,19,,0.0,23.12758,1.01396,23.16594,98.3622
20,1,4,284360,URMA_WRITE,7,0ns,20,,0.0,22.37412,0.001,22.5282,101.6746
21,1,13,284360,URMA_WRITE,7,0ns,21,,0.0,23.6777,0.93144,23.84156,96.0769
22,1,5,284360,URMA_WRITE,7,0ns,22,,0.0,22.3757,0.002,22.46562,101.6674
23,1,12,284360,URMA_WRITE,7,0ns,23,,0.0,23.67928,0.58636,23.84032,96.0705
24,1,6,284360,URMA_WRITE,7,0ns,24,,0.0,23.41156,0.003,23.58864,97.1691
25,1,11,349526,URMA_WRITE,7,0ns,25,,0.0,75.55244,0.50288,75.55846,37.0102
26,1,7,349526,URMA_WRITE,7,0ns,26,,0.0,61.38834,0.16896,61.55126,45.5495
27,1,10,284360,URMA_WRITE,7,0ns,27,,0.0,22.97512,0.4194,23.16346,99.0149
28,1,8,284360,URMA_WRITE,7,0ns,28,,0.0,22.7032,0.25244,22.73546,100.2009
29,1,9,284360,URMA_WRITE,7,0ns,29,,0.0,22.74386,0.33592,22.82548,100.0217
30,2,1,284360,URMA_WRITE,7,0ns,30,,0.0,5.89638,0.001,5.9001,385.8096
31,2,3,349526,URMA_WRITE,7,0ns,31,,0.0,12.14996,0.001,12.15286,230.1413
32,2,0,284360,URMA_WRITE,7,0ns,32,,0.0,5.89638,0.001,5.9001,385.8096
33,2,4,284360,URMA_WRITE,7,0ns,33,,0.0,22.40448,0.001,22.81454,101.5368
34,2,15,349526,URMA_WRITE,7,0ns,34,,0.0,75.71272,1.0152,75.7188,36.9318
35,2,5,284360,URMA_WRITE,7,0ns,35,,0.0,22.99154,0.001,23.1594,98.9442
36,2,14,284360,URMA_WRITE,7,0ns,36,,0.0,23.07674,1.0142,23.24694,98.5789
37,2,6,284360,URMA_WRITE,7,0ns,37,,0.0,23.28854,0.002,23.54712,97.6824
38,2,13,284360,URMA_WRITE,7,0ns,38,,0.0,23.67928,1.0132,23.9238,96.0705
39,2,7,349526,URMA_WRITE,7,0ns,39,,0.0,61.38992,0.003,61.5525,45.5483
40,2,12,284360,URMA_WRITE,7,0ns,40,,0.0,23.68086,0.50288,23.92256,96.0641
41,2,8,284360,URMA_WRITE,7,0ns,41,,0.0,22.40606,0.16896,22.71742,101.5297
42,2,11,349526,URMA_WRITE,7,0ns,42,,0.0,75.55402,0.4194,75.56046,37.0094
43,2,9,284360,URMA_WRITE,7,0ns,43,,0.0,22.72612,0.25244,22.98996,100.0998
44,2,10,284360,URMA_WRITE,7,0ns,44,,0.0,22.9767,0.33592,23.16222,99.0081
45,3,2,3412315,URMA_WRITE,7,0ns,45,,0.0,69.73432,0.001,69.73756,391.4646
46,3,4,3412315,URMA_WRITE,7,0ns,46,,0.0,187.86684,0.001,187.87928,145.3078
47,3,1,3412315,URMA_WRITE,7,0ns,47,,0.0,69.73432,0.001,69.73756,391.4646
48,3,5,3412315,URMA_WRITE,7,0ns,48,,0.0,187.35116,0.001,187.77614,145.7078
49,3,0,3412315,URMA_WRITE,7,0ns,49,,0.0,69.73432,0.001,69.73756,391.4646
50,3,6,3412315,URMA_WRITE,7,0ns,50,,0.0,187.38922,0.001,187.77738,145.6782
51,3,15,4194304,URMA_WRITE,7,0ns,51,,0.0,223.54992,0.5876,223.95592,150.0982
52,3,7,4194304,URMA_WRITE,7,0ns,52,,0.0,222.35396,0.002,222.5012,150.9055
53,3,14,3412315,URMA_WRITE,7,0ns,53,,0.0,187.942,1.01444,188.11998,145.2497
54,3,8,3412315,URMA_WRITE,7,0ns,54,,0.0,187.52336,0.003,187.77986,145.574
55,3,13,3412315,URMA_WRITE,7,0ns,55,,0.0,187.85852,0.58636,188.11874,145.3143
56,3,9,3412315,URMA_WRITE,7,0ns,56,,0.0,187.60684,0.16896,187.7811,145.5092
57,3,12,3412315,URMA_WRITE,7,0ns,57,,0.0,187.77862,0.4194,187.87432,145.3761
58,3,10,3412315,URMA_WRITE,7,0ns,58,,0.0,187.6905,0.25244,187.78234,145.4443
59,3,11,4194304,URMA_WRITE,7,0ns,59,,0.0,223.5339,0.33592,223.53994,150.1089
60,4,3,349526,URMA_WRITE,7,0ns,60,,0.0,75.29746,0.001,75.37634,37.1355
61,4,5,284360,URMA_WRITE,7,0ns,61,,0.0,5.89638,0.001,5.9001,385.8096
62,4,2,284360,URMA_WRITE,7,0ns,62,,0.0,22.98738,0.001,23.07898,98.9621
63,4,6,284360,URMA_WRITE,7,0ns,63,,0.0,5.89638,0.001,5.9001,385.8096
64,4,1,284360,URMA_WRITE,7,0ns,64,,0.0,22.64262,0.001,22.70038,100.4689
65,4,7,349526,URMA_WRITE,7,0ns,65,,0.0,12.14996,0.001,12.15286,230.1413
66,4,0,284360,URMA_WRITE,7,0ns,66,,0.0,22.32438,0.001,22.70404,101.9012
67,4,8,284360,URMA_WRITE,7,0ns,67,,0.0,22.72678,0.002,22.90862,100.0969
68,4,15,349526,URMA_WRITE,7,0ns,68,,0.0,75.71554,0.58636,75.7218,36.9304
69,4,9,284360,URMA_WRITE,7,0ns,69,,0.0,22.63102,0.003,22.90986,100.5204
70,4,14,284360,URMA_WRITE,7,0ns,70,,0.0,23.38194,0.50288,23.50358,97.2922
71,4,10,284360,URMA_WRITE,7,0ns,71,,0.0,23.06176,0.16896,23.41832,98.6429
72,4,13,284360,URMA_WRITE,7,0ns,72,,0.0,23.80182,0.4194,23.92504,95.5759
73,4,11,349526,URMA_WRITE,7,0ns,73,,0.0,61.89604,0.25244,61.90152,45.1759
74,4,12,284360,URMA_WRITE,7,0ns,74,,0.0,22.33092,0.33592,23.13296,101.8713
75,5,4,284360,URMA_WRITE,7,0ns,75,,0.0,5.89638,0.001,5.9001,385.8096
76,5,6,284360,URMA_WRITE,7,0ns,76,,0.0,5.89638,0.001,5.9001,385.8096
77,5,3,349525,URMA_WRITE,7,0ns,77,,0.0,75.29904,0.001,75.37758,37.1346
78,5,7,349525,URMA_WRITE,7,0ns,78,,0.0,12.14996,0.001,12.15286,230.1407
79,5,2,284360,URMA_WRITE,7,0ns,79,,0.0,22.4672,0.001,22.73592,101.2534
80,5,8,284360,URMA_WRITE,7,0ns,80,,0.0,22.82174,0.001,23.07672,99.6804
81,5,1,284360,URMA_WRITE,7,0ns,81,,0.0,22.6442,0.001,22.7451,100.4619
