taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,284360,URMA_WRITE,7,0ns,0,,0.0,5.80818,0.001,5.81142,391.6683
1,0,4,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
2,0,5,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
3,0,6,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
4,0,7,349526,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0249
5,4,5,284360,URMA_WRITE,7,0ns,0,,0.0,5.80818,0.001,5.81142,391.6683
6,4,8,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
7,4,9,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
8,4,10,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
9,4,11,349526,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0249
10,8,9,284360,URMA_WRITE,7,0ns,0,,0.0,5.80818,0.001,5.81142,391.6683
11,8,12,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
12,8,13,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
13,8,14,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
14,8,15,349525,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0239
15,12,13,284359,URMA_WRITE,7,0ns,0,,0.0,5.80816,0.001,5.8114,391.6683
16,12,0,284359,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98832,380.2951
17,12,1,284359,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2964
18,12,2,284359,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2964
19,12,3,349525,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0239
20,1,2,284360,URMA_WRITE,7,0ns,0,,0.0,5.80818,0.001,5.81142,391.6683
21,1,7,349526,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0249
22,1,4,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
23,1,5,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
24,1,6,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
25,5,6,284360,URMA_WRITE,7,0ns,0,,0.0,5.80818,0.001,5.81142,391.6683
26,5,11,349525,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0239
27,5,8,284360,URMA_WRITE,7,0ns,0,,0.0,5.98206,0.001,5.98834,380.2837
28,5,9,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
29,5,10,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
30,9,10,284359,URMA_WRITE,7,0ns,0,,0.0,5.80816,0.001,5.8114,391.6683
31,9,15,349525,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0239
32,9,12,284359,URMA_WRITE,7,0ns,0,,0.0,5.98206,0.001,5.98832,380.2824
33,9,13,284359,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98832,380.2951
34,9,14,284359,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98832,380.2951
35,13,14,284359,URMA_WRITE,7,0ns,0,,0.0,5.80816,0.001,5.8114,391.6683
36,13,3,349525,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0239
37,13,0,284359,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98832,380.2951
38,13,1,284359,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2964
39,13,2,284359,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2964
40,2,3,349526,URMA_WRITE,7,0ns,0,,0.0,7.1377,0.001,7.14094,391.752
41,2,6,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
42,2,7,349526,URMA_WRITE,7,0ns,0,,0.0,7.7238,0.001,7.72994,362.0249
43,2,4,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
44,2,5,284360,URMA_WRITE,7,0ns,0,,0.0,5.98184,0.001,5.98832,380.2977
45,6,7,349525,URMA_WRITE,7,0ns,0,,0.0,7.13768,0.001,7.14092,391.7519
46,6,10,284360,URMA_WRITE,7,0ns,0,,0.0,5.98186,0.001,5.98834,380.2964
