taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1355734,URMA_WRITE,7,0ns,0,,0.0,86.23858,2.0328,86.40946,125.7659
1,0,1,169467,URMA_WRITE,7,0ns,1,,0.0,3.51368,0.001,3.5174,385.845
2,0,14,1355734,URMA_WRITE,7,0ns,2,,0.0,86.70332,1.01492,86.72258,125.0918
3,0,2,169467,URMA_WRITE,7,0ns,3,,0.0,3.51368,0.001,3.5174,385.845
4,0,13,1355734,URMA_WRITE,7,0ns,4,,0.0,85.04206,0.848,85.20908,127.5354
5,0,3,169467,URMA_WRITE,7,0ns,5,,0.0,3.51368,0.001,3.5174,385.845
6,0,12,1355734,URMA_WRITE,7,0ns,6,,0.0,86.87358,0.847,86.87922,124.8466
7,0,4,1355735,URMA_WRITE,7,0ns,7,,0.0,86.89772,0.001,86.90326,124.812
8,0,11,1355734,URMA_WRITE,7,0ns,8,,0.0,87.44808,0.50288,87.64006,124.0264
9,0,5,1355735,URMA_WRITE,7,0ns,9,,0.0,85.04048,0.002,85.30296,127.5379
10,0,10,1355735,URMA_WRITE,7,0ns,10,,0.0,86.87076,0.4194,86.87746,124.8508
11,0,6,1355735,URMA_WRITE,7,0ns,11,,0.0,86.88836,0.003,86.8945,124.8255
12,0,9,1355735,URMA_WRITE,7,0ns,12,,0.0,86.89242,0.33592,86.89826,124.8196
13,0,7,1355735,URMA_WRITE,7,0ns,13,,0.0,86.87832,0.16896,87.26178,124.8399
14,0,8,1355735,URMA_WRITE,7,0ns,14,,0.0,86.8799,0.25244,86.88622,124.8376
15,1,0,169467,URMA_WRITE,7,0ns,15,,0.0,3.51368,0.001,3.5174,385.845
16,1,2,169467,URMA_WRITE,7,0ns,16,,0.0,3.51368,0.001,3.5174,385.845
17,1,15,1355734,URMA_WRITE,7,0ns,17,,0.0,86.24016,1.01496,86.4107,125.7636
18,1,3,169467,URMA_WRITE,7,0ns,18,,0.0,3.51368,0.001,3.5174,385.845
19,1,14,1355734,URMA_WRITE,7,0ns,19,,0.0,86.61346,1.01396,86.72912,125.2216
20,1,4,1355735,URMA_WRITE,7,0ns,20,,0.0,86.1565,0.001,86.34726,125.8858
21,1,13,1355734,URMA_WRITE,7,0ns,21,,0.0,86.09702,0.93144,86.10298,125.9727
22,1,5,1355735,URMA_WRITE,7,0ns,22,,0.0,85.86592,0.002,86.06388,126.3118
23,1,12,1355734,URMA_WRITE,7,0ns,23,,0.0,85.8966,0.58636,85.90308,126.2666
24,1,6,1355735,URMA_WRITE,7,0ns,24,,0.0,86.16906,0.003,86.1748,125.8675
25,1,11,1355734,URMA_WRITE,7,0ns,25,,0.0,85.8913,0.50288,85.95384,126.2744
26,1,7,1355735,URMA_WRITE,7,0ns,26,,0.0,85.8869,0.16896,87.16928,126.281
27,1,10,1355735,URMA_WRITE,7,0ns,27,,0.0,85.79398,0.4194,85.80012,126.4177
28,1,8,1355735,URMA_WRITE,7,0ns,28,,0.0,85.88002,0.25244,86.08672,126.2911
29,1,9,1355735,URMA_WRITE,7,0ns,29,,0.0,85.88972,0.33592,86.05718,126.2768
30,2,1,169467,URMA_WRITE,7,0ns,30,,0.0,3.51368,0.001,3.5174,385.845
31,2,3,169467,URMA_WRITE,7,0ns,31,,0.0,3.51368,0.001,3.5174,385.845
32,2,0,169467,URMA_WRITE,7,0ns,32,,0.0,3.51368,0.001,3.5174,385.845
33,2,4,1355735,URMA_WRITE,7,0ns,33,,0.0,86.19054,0.001,86.34106,125.8361
34,2,15,1355734,URMA_WRITE,7,0ns,34,,0.0,85.98234,1.0152,85.98848,126.1407
35,2,5,1355735,URMA_WRITE,7,0ns,35,,0.0,85.97038,0.001,85.97686,126.1583
