nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,3.5174,171596,400.0
0,0,Tx,0.001,3.51516,175708,400.0
0,1,Rx,0.08548,3.5174,171596,400.0
0,1,Tx,0.001,3.51516,175708,400.0
0,2,Rx,0.08548,3.5174,171596,400.0
0,2,Tx,0.001,3.51516,175708,400.0
0,3,Rx,0.17096,84.57554,4211694,399.19
0,3,Tx,0.001,84.57282,4215805,398.79
0,4,Rx,0.17096,84.5758,4211694,399.19
0,4,Tx,0.001,84.5708,4215805,398.8
0,5,Rx,0.17096,84.57888,4211694,399.18
0,5,Tx,0.001,84.5714,4215804,398.8
0,6,Rx,0.17096,84.57524,4211694,399.19
0,6,Tx,0.001,84.57024,4215805,398.8
1,0,Rx,0.08548,3.5174,171596,400.0
1,0,Tx,0.001,3.51516,175708,400.0
1,1,Rx,0.08548,3.5174,171596,400.0
1,1,Tx,0.001,3.51516,175708,400.0
1,2,Rx,0.08548,3.5174,171596,400.0
1,2,Tx,0.001,3.51516,175708,400.0
1,3,Rx,0.17096,84.57524,4211694,399.19
1,3,Tx,0.001,84.57024,4215805,398.8
1,4,Rx,0.17096,84.57544,4211694,399.19
1,4,Tx,0.001,84.57172,4215805,398.8
1,5,Rx,0.17096,84.5789,4211694,399.18
1,5,Tx,0.001,84.57142,4215805,398.8
1,6,Rx,0.17096,84.57614,4211694,399.19
1,6,Tx,0.001,84.57114,4215804,398.8
2,0,Rx,0.08548,3.5174,171596,400.0
2,0,Tx,0.001,3.51516,175708,400.0
2,1,Rx,0.08548,3.5174,171596,400.0
2,1,Tx,0.001,3.51516,175708,400.0
2,2,Rx,0.08548,3.5174,171596,400.0
2,2,Tx,0.001,3.51516,175708,400.0
2,3,Rx,0.17096,84.57614,4211694,399.19
2,3,Tx,0.001,84.57114,4215804,398.8
2,4,Rx,0.17096,84.57888,4211694,399.18
2,4,Tx,0.001,84.5714,4215805,398.8
2,5,Rx,0.17096,84.5789,4211694,399.18
2,5,Tx,0.001,84.57142,4215805,398.8
2,6,Rx,0.17096,84.57554,4211694,399.19
2,6,Tx,0.001,84.57282,4215805,398.79
3,0,Rx,0.08548,3.5174,171596,400.0
3,0,Tx,0.001,3.51516,175708,400.0
3,1,Rx,0.08548,3.5174,171596,400.0
3,1,Tx,0.001,3.51516,175708,400.0
3,2,Rx,0.08548,3.5174,171596,400.0
3,2,Tx,0.001,3.51516,175708,400.0
3,3,Rx,0.17096,84.57554,4211694,399.19
3,3,Tx,0.001,84.57282,4215805,398.79
3,4,Rx,0.17096,84.5758,4211694,399.19
3,4,Tx,0.001,84.5708,4215804,398.8
3,5,Rx,0.17096,84.5789,4211694,399.18
3,5,Tx,0.001,84.57142,4215805,398.8
3,6,Rx,0.17096,84.57554,4211694,399.19
3,6,Tx,0.001,84.57282,4215805,398.79
4,0,Rx,0.08548,3.5174,171596,400.0
4,0,Tx,0.001,3.51516,175708,400.0
4,1,Rx,0.08548,3.5174,171596,400.0
4,1,Tx,0.001,3.51516,175708,400.0
4,2,Rx,0.08548,3.5174,171596,400.0
4,2,Tx,0.001,3.51516,175708,400.0
4,3,Rx,0.17096,84.57614,4211694,399.19
4,3,Tx,0.001,84.57114,4215805,398.8
4,4,Rx,0.17096,84.57524,4211694,399.19
4,4,Tx,0.001,84.57024,4215804,398.8
4,5,Rx,0.17096,84.57888,4211694,399.18
4,5,Tx,0.001,84.5714,4215805,398.8
4,6,Rx,0.17096,84.57614,4211694,399.19
4,6,Tx,0.001,84.57114,4215805,398.8
5,0,Rx,0.08548,3.5174,171596,400.0
5,0,Tx,0.001,3.51516,175708,400.0
5,1,Rx,0.08548,3.5174,171596,400.0
5,1,Tx,0.001,3.51516,175708,400.0
5,2,Rx,0.08548,3.5174,171596,400.0
5,2,Tx,0.001,3.51516,175708,400.0
5,3,Rx,0.17096,84.5783,4211694,399.18
5,3,Tx,0.001,84.56994,4215805,398.8
5,4,Rx,0.17096,84.57552,4211694,399.19
5,4,Tx,0.001,84.5728,4215805,398.79
5,5,Rx,0.17096,84.57888,4211694,399.18
5,5,Tx,0.001,84.5714,4215804,398.8
5,6,Rx,0.17096,84.5783,4211694,399.18
5,6,Tx,0.001,84.56994,4215805,398.8
6,0,Rx,0.08548,3.5174,171596,400.0
6,0,Tx,0.001,3.51516,175708,400.0
6,1,Rx,0.08548,3.5174,171596,400.0
6,1,Tx,0.001,3.51516,175708,400.0
6,2,Rx,0.08548,3.5174,171596,400.0
6,2,Tx,0.001,3.51516,175708,400.0
6,3,Rx,0.17096,84.5783,4211694,399.18
6,3,Tx,0.001,84.56994,4215805,398.8
6,4,Rx,0.17096,84.57552,4211694,399.19
6,4,Tx,0.001,84.5728,4215805,398.79
6,5,Rx,0.17096,84.57888,4211694,399.18
6,5,Tx,0.001,84.5714,4215805,398.8
6,6,Rx,0.17096,84.5783,4211694,399.18
6,6,Tx,0.001,84.56994,4215804,398.8
7,0,Rx,0.08548,3.5174,171596,400.0
7,0,Tx,0.001,3.51516,175708,400.0
7,1,Rx,0.08548,3.5174,171596,400.0
7,1,Tx,0.001,3.51516,175708,400.0
7,2,Rx,0.08548,3.5174,171596,400.0
7,2,Tx,0.001,3.51516,175708,400.0
7,3,Rx,0.17096,84.57508,4211692,399.19
7,3,Tx,0.001,84.56984,4215804,398.8
7,4,Rx,0.17096,84.5769,4211692,399.18
7,4,Tx,0.001,84.57338,4215805,398.79
7,5,Rx,0.17096,84.57886,4211692,399.18
7,5,Tx,0.001,84.57138,4215805,398.8
7,6,Rx,0.17096,84.57508,4211692,399.19
7,6,Tx,0.001,84.56984,4215805,398.8
8,0,Rx,0.08548,3.5174,171596,400.0
8,0,Tx,0.001,3.51516,175708,400.0
8,1,Rx,0.08548,3.5174,171596,400.0
8,1,Tx,0.001,3.51516,175708,400.0
8,2,Rx,0.08548,3.5174,171596,400.0
8,2,Tx,0.001,3.51516,175708,400.0
8,3,Rx,0.17096,84.57542,4211693,399.19
8,3,Tx,0.001,84.5717,4215805,398.8
8,4,Rx,0.17096,84.57828,4211693,399.18
8,4,Tx,0.001,84.56994,4215805,398.8
8,5,Rx,0.17096,84.57614,4211693,399.19
8,5,Tx,0.001,84.57342,4215805,398.79
8,6,Rx,0.17096,84.57578,4211693,399.19
8,6,Tx,0.001,84.57078,4215804,398.8
9,0,Rx,0.08548,3.5174,171596,400.0
9,0,Tx,0.001,3.51516,175708,400.0
9,1,Rx,0.08548,3.5174,171596,400.0
9,1,Tx,0.001,3.51516,175708,400.0
9,2,Rx,0.08548,3.5174,171596,400.0
9,2,Tx,0.001,3.51516,175708,400.0
9,3,Rx,0.17096,84.57578,4211693,399.19
9,3,Tx,0.001,84.57078,4215805,398.8
9,4,Rx,0.17096,84.57828,4211693,399.18
9,4,Tx,0.001,84.56994,4215805,398.8
9,5,Rx,0.17096,84.57614,4211693,399.19
9,5,Tx,0.001,84.57342,4215804,398.79
9,6,Rx,0.17096,84.57578,4211693,399.19
9,6,Tx,0.001,84.57078,4215805,398.8
10,0,Rx,0.08548,3.5174,171596,400.0
10,0,Tx,0.001,3.51516,175708,400.0
10,1,Rx,0.08548,3.5174,171596,400.0
10,1,Tx,0.001,3.51516,175708,400.0
10,2,Rx,0.08548,3.5174,171596,400.0
10,2,Tx,0.001,3.51516,175708,400.0
10,3,Rx,0.17096,84.57578,4211693,399.19
10,3,Tx,0.001,84.57078,4215805,398.8
10,4,Rx,0.17096,84.57886,4211693,399.18
10,4,Tx,0.001,84.57142,4215804,398.8
10,5,Rx,0.17096,84.57614,4211693,399.19
10,5,Tx,0.001,84.57342,4215805,398.79
10,6,Rx,0.17096,84.57542,4211693,399.19
10,6,Tx,0.001,84.5717,4215805,398.8
11,0,Rx,0.08548,3.5174,171596,400.0
11,0,Tx,0.001,3.51516,175708,400.0
11,1,Rx,0.08548,3.5174,171596,400.0
11,1,Tx,0.001,3.51516,175708,400.0
11,2,Rx,0.08548,3.5174,171596,400.0
11,2,Tx,0.001,3.51516,175708,400.0
11,3,Rx,0.17096,84.5765,4211691,399.19
11,3,Tx,0.001,84.57098,4215804,398.8
11,4,Rx,0.17096,84.57506,4211691,399.19
11,4,Tx,0.001,84.56982,4215805,398.8
11,5,Rx,0.17096,84.57612,4211691,399.19
11,5,Tx,0.001,84.5734,4215805,398.79
11,6,Rx,0.17096,84.5765,4211691,399.19
11,6,Tx,0.001,84.57098,4215805,398.8
12,0,Rx,0.08548,3.5174,171596,400.0
12,0,Tx,0.001,3.51516,175708,400.0
12,1,Rx,0.08548,3.5174,171596,400.0
12,1,Tx,0.001,3.51516,175708,400.0
12,2,Rx,0.08548,3.5174,171596,400.0
12,2,Tx,0.001,3.51516,175708,400.0
12,3,Rx,0.17096,84.57598,4211691,399.19
12,3,Tx,0.001,84.57046,4215805,398.8
12,4,Rx,0.17096,84.57646,4211691,399.19
12,4,Tx,0.001,84.57076,4215805,398.8
12,5,Rx,0.17096,84.5761,4211691,399.19
12,5,Tx,0.001,84.57338,4215804,398.79
12,6,Rx,0.17096,84.57598,4211691,399.19
12,6,Tx,0.001,84.57046,4215805,398.8
13,0,Rx,0.08548,3.5174,171596,400.0
13,0,Tx,0.001,3.51516,175708,400.0
13,1,Rx,0.08548,3.5174,171596,400.0
13,1,Tx,0.001,3.51516,175708,400.0
13,2,Rx,0.08548,3.5174,171596,400.0
13,2,Tx,0.001,3.51516,175708,400.0
13,3,Rx,0.17096,84.57618,4211691,399.19
13,3,Tx,0.001,84.57118,4215805,398.8
13,4,Rx,0.17096,84.57612,4211691,399.19
13,4,Tx,0.001,84.5734,4215805,398.79
13,5,Rx,0.17096,84.57612,4211691,399.19
13,5,Tx,0.001,84.5734,4215805,398.79
13,6,Rx,0.17096,84.57718,4211691,399.18
13,6,Tx,0.001,84.57026,4215804,398.8
14,0,Rx,0.08548,3.5174,171596,400.0
14,0,Tx,0.001,3.51516,175708,400.0
14,1,Rx,0.08548,3.5174,171596,400.0
14,1,Tx,0.001,3.51516,175708,400.0
14,2,Rx,0.08548,3.5174,171596,400.0
14,2,Tx,0.001,3.51516,175708,400.0
14,3,Rx,0.17096,84.57718,4211691,399.18
14,3,Tx,0.001,84.57026,4215804,398.8
14,4,Rx,0.17096,84.57598,4211691,399.19
14,4,Tx,0.001,84.57046,4215805,398.8
14,5,Rx,0.17096,84.57612,4211691,399.19
14,5,Tx,0.001,84.5734,4215805,398.79
14,6,Rx,0.17096,84.57618,4211691,399.19
14,6,Tx,0.001,84.57118,4215805,398.8
15,0,Rx,0.08548,3.5174,171596,400.0
