taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
1,0,4,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18804,0.001,28.194,384.7689
2,0,5,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7437
3,0,6,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7437
4,0,7,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7437
5,4,5,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
6,4,8,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18804,0.001,28.194,384.7689
7,4,9,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36188,384.7437
8,4,10,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36188,384.7437
9,4,11,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7435
10,8,9,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
11,8,12,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18928,0.001,28.3613,384.7517
12,8,13,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.19438,384.7604
13,8,14,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.19438,384.7604
14,8,15,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.19438,384.7604
15,12,13,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
16,12,0,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18802,0.001,28.193,384.7691
17,12,1,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1944,384.7637
18,12,2,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1944,384.7637
19,12,3,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1944,384.7637
20,1,2,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
21,1,7,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7437
22,1,4,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.1946,384.7634
23,1,5,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18804,0.001,28.194,384.7689
24,1,6,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7437
25,5,6,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
26,5,11,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7435
27,5,8,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.1946,384.7607
28,5,9,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18804,0.001,28.194,384.7689
29,5,10,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36188,384.7437
30,9,10,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
31,9,15,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.19438,384.7604
32,9,12,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.19438,384.7631
33,9,13,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18928,0.001,28.3613,384.7517
34,9,14,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.19438,384.7604
35,13,14,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
36,13,3,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1944,384.7637
37,13,0,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1946,384.7637
38,13,1,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18802,0.001,28.193,384.7691
39,13,2,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1944,384.7637
40,2,3,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
41,2,6,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18804,0.001,28.194,384.7689
42,2,7,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7437
43,2,4,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.1946,384.7634
44,2,5,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.1946,384.7634
45,6,7,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
46,6,10,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18804,0.001,28.194,384.7689
47,6,11,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18988,0.001,28.36186,384.7435
48,6,8,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.1946,384.7607
49,6,9,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.1946,384.7607
50,10,11,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
51,10,14,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18928,0.001,28.3613,384.7517
52,10,15,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.19438,384.7604
53,10,12,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.19438,384.7631
54,10,13,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.19438,384.7631
55,14,15,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
56,14,2,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18802,0.001,28.193,384.7691
57,14,3,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1944,384.7637
58,14,0,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1946,384.7637
59,14,1,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1946,384.7637
60,3,0,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
61,3,5,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.1946,384.7634
62,3,6,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.1946,384.7634
63,3,7,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18804,0.001,28.194,384.7689
64,3,4,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18844,0.001,28.1946,384.7634
65,7,4,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
66,7,9,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.1946,384.7607
67,7,10,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.1946,384.7607
68,7,11,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18804,0.001,28.19398,384.7686
69,7,8,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18864,0.001,28.1946,384.7607
70,11,8,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
71,11,13,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.19438,384.7634
72,11,14,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.19438,384.7634
73,11,15,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18926,0.001,28.3613,384.7519
74,11,12,1355734,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.19438,384.7634
75,15,12,169467,URMA_WRITE,7,0ns,0,,0.0,3.46416,0.001,3.4674,391.3607
76,15,1,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1946,384.7637
77,15,2,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1946,384.7637
78,15,3,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18802,0.001,28.193,384.7691
79,15,0,1355735,URMA_WRITE,7,0ns,0,,0.0,28.18842,0.001,28.1946,384.7637
80,0,2,169467,URMA_WRITE,7,0ns,1,0.0,28.18988,31.70356,28.19088,31.70728,385.845
81,0,8,1355735,URMA_WRITE,7,0ns,1,0.0,28.18988,56.3804,28.19004,56.55272,384.735
82,0,9,1355735,URMA_WRITE,7,0ns,1,0.0,28.18988,56.37892,28.19088,56.3854,384.7552
83,0,10,1355735,URMA_WRITE,7,0ns,1,0.0,28.18988,56.37892,28.19088,56.3854,384.7552
84,0,11,1355734,URMA_WRITE,7,0ns,1,0.0,28.18988,56.3789,28.19088,56.38538,384.7552
85,4,6,169467,URMA_WRITE,7,0ns,1,0.0,28.18988,31.70356,28.19088,31.70728,385.845
