nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08872,59.8482,175708,23.52
0,0,Tx,0.001,59.84238,175691,23.49
0,1,Rx,28.27536,31.70728,171596,400.0
0,1,Tx,28.19088,31.70504,175708,400.0
0,2,Rx,0.08548,59.84496,171596,22.97
0,2,Tx,0.08648,59.84596,175708,23.52
0,3,Rx,0.17096,84.57782,4211694,399.18
0,3,Tx,0.001,84.57074,4215805,398.8
0,4,Rx,0.17096,84.5762,4211694,399.19
0,4,Tx,0.001,84.57248,4215805,398.79
0,5,Rx,0.17096,84.5762,4211694,399.19
0,5,Tx,0.001,84.57248,4215805,398.79
0,6,Rx,0.17096,84.57518,4211694,399.19
0,6,Tx,0.001,84.57246,4215804,398.79
1,0,Rx,0.08548,59.84496,171596,22.97
1,0,Tx,0.08648,59.84596,175708,23.52
1,1,Rx,0.08872,59.8482,175708,23.52
1,1,Tx,0.001,59.84238,175691,23.49
1,2,Rx,28.27536,31.70728,171596,400.0
1,2,Tx,28.19088,31.70504,175708,400.0
1,3,Rx,0.17096,84.57518,4211694,399.19
1,3,Tx,0.001,84.57246,4215804,398.79
1,4,Rx,0.17096,84.5786,4211694,399.18
1,4,Tx,0.001,84.57198,4215805,398.79
1,5,Rx,0.17096,84.57782,4211694,399.18
1,5,Tx,0.001,84.57074,4215805,398.8
1,6,Rx,0.17096,84.5762,4211694,399.19
1,6,Tx,0.001,84.57248,4215805,398.79
2,0,Rx,28.27536,31.70728,171596,400.0
2,0,Tx,28.19088,31.70504,175708,400.0
2,1,Rx,0.08548,59.84496,171596,22.97
2,1,Tx,0.08648,59.84596,175708,23.52
2,2,Rx,0.08872,59.8482,175708,23.52
2,2,Tx,0.001,59.84238,175691,23.49
2,3,Rx,0.17096,84.57782,4211694,399.18
2,3,Tx,0.001,84.57074,4215805,398.8
2,4,Rx,0.17096,84.57518,4211694,399.19
2,4,Tx,0.001,84.57246,4215804,398.79
2,5,Rx,0.17096,84.5786,4211694,399.18
2,5,Tx,0.001,84.57198,4215805,398.79
2,6,Rx,0.17096,84.5786,4211694,399.18
2,6,Tx,0.001,84.57198,4215805,398.79
3,0,Rx,0.08872,59.8482,175708,23.52
3,0,Tx,0.001,59.84238,175691,23.49
3,1,Rx,28.27536,31.70728,171596,400.0
3,1,Tx,28.19088,31.70504,175708,400.0
3,2,Rx,0.08548,59.84496,171596,22.97
3,2,Tx,0.08648,59.84596,175708,23.52
3,3,Rx,0.17096,84.57858,4211694,399.18
3,3,Tx,0.001,84.57198,4215805,398.79
3,4,Rx,0.17096,84.57858,4211694,399.18
3,4,Tx,0.001,84.57198,4215805,398.79
3,5,Rx,0.17096,84.57778,4211694,399.18
3,5,Tx,0.001,84.57072,4215804,398.8
3,6,Rx,0.17096,84.57858,4211694,399.18
3,6,Tx,0.001,84.57198,4215805,398.79
4,0,Rx,0.08872,59.8482,175708,23.52
4,0,Tx,0.001,59.84238,175691,23.49
4,1,Rx,28.27536,31.70728,171596,400.0
4,1,Tx,28.19088,31.70504,175708,400.0
4,2,Rx,0.08548,59.84496,171596,22.97
4,2,Tx,0.08648,59.84596,175708,23.52
4,3,Rx,0.17096,84.57606,4211694,399.19
4,3,Tx,0.001,84.57234,4215805,398.79
4,4,Rx,0.17096,84.57684,4211694,399.18
4,4,Tx,0.001,84.57312,4215805,398.79
4,5,Rx,0.17096,84.57684,4211694,399.18
4,5,Tx,0.001,84.57312,4215805,398.79
4,6,Rx,0.17096,84.57682,4211694,399.18
4,6,Tx,0.001,84.5731,4215804,398.79
5,0,Rx,0.08548,59.84496,171596,22.97
5,0,Tx,0.08648,59.84596,175708,23.52
5,1,Rx,0.08872,59.8482,175708,23.52
5,1,Tx,0.001,59.84238,175691,23.49
5,2,Rx,28.27536,31.70728,171596,400.0
