taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,3412315,URMA_WRITE,7,0ns,0,,0.0,197.0613,2.0328,198.18966,138.5281
1,0,1,284360,URMA_WRITE,7,0ns,1,,0.0,5.89638,0.001,5.9001,385.8096
2,0,14,284359,URMA_WRITE,7,0ns,2,,0.0,23.129,1.01492,23.25372,98.3558
3,0,2,284360,URMA_WRITE,7,0ns,3,,0.0,5.89638,0.001,5.9001,385.8096
4,0,13,284359,URMA_WRITE,7,0ns,4,,0.0,23.12742,0.848,23.25248,98.3625
5,0,3,3412315,URMA_WRITE,7,0ns,5,,0.0,69.73432,0.001,69.73756,391.4646
6,0,12,284359,URMA_WRITE,7,0ns,6,,0.0,23.67826,0.847,23.84744,96.0743
7,0,4,284360,URMA_WRITE,7,0ns,7,,0.0,22.39052,0.001,22.6395,101.6001
8,0,11,3412315,URMA_WRITE,7,0ns,8,,0.0,197.00814,0.50288,197.97912,138.5654
9,0,5,284360,URMA_WRITE,7,0ns,9,,0.0,22.56898,0.002,22.8149,100.7968
10,0,10,284359,URMA_WRITE,7,0ns,10,,0.0,23.30634,0.4194,23.38056,97.6074
11,0,6,284360,URMA_WRITE,7,0ns,11,,0.0,23.21406,0.003,23.33916,97.9958
12,0,9,284360,URMA_WRITE,7,0ns,12,,0.0,23.12302,0.33592,23.29722,98.3816
13,0,7,3412315,URMA_WRITE,7,0ns,13,,0.0,196.18386,0.16896,197.31932,139.1476
14,0,8,284360,URMA_WRITE,7,0ns,14,,0.0,22.37306,0.25244,22.87754,101.6794
15,1,0,284360,URMA_WRITE,7,0ns,15,,0.0,5.89638,0.001,5.9001,385.8096
16,1,2,284360,URMA_WRITE,7,0ns,16,,0.0,5.89638,0.001,5.9001,385.8096
17,1,15,3412315,URMA_WRITE,7,0ns,17,,0.0,197.44068,1.01496,197.92052,138.2619
18,1,3,3412315,URMA_WRITE,7,0ns,18,,0.0,69.73432,0.001,69.73756,391.4646
