nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,5.9001,290731,400.0
0,0,Tx,0.001,5.89786,294843,400.0
0,1,Rx,0.08548,5.9001,290731,400.0
0,1,Tx,0.001,5.89786,294843,400.0
0,2,Rx,0.08548,69.73432,409047,46.98
0,2,Tx,0.001,69.73532,3486437,399.97
0,3,Rx,0.17096,17.95148,880581,396.2
0,3,Tx,0.001,17.94652,884652,394.37
0,4,Rx,0.17096,241.1379,998897,33.16
0,4,Tx,0.001,241.1256,4076270,135.24
0,5,Rx,0.17096,240.70166,998897,33.22
0,5,Tx,0.001,240.68936,4076269,135.49
0,6,Rx,0.17096,209.26828,998857,38.22
0,6,Tx,0.001,209.26928,4076245,155.83
1,0,Rx,0.08548,5.9001,290731,400.0
1,0,Tx,0.001,5.89786,294843,400.0
1,1,Rx,0.08548,5.9001,290731,400.0
1,1,Tx,0.001,5.89786,294843,400.0
1,2,Rx,0.08548,69.73432,409047,46.98
1,2,Tx,0.001,69.73532,3486437,399.97
1,3,Rx,0.17096,240.7029,998897,33.22
1,3,Tx,0.001,240.6906,4076268,135.49
1,4,Rx,0.17096,132.54186,880581,53.22
1,4,Tx,0.001,132.52956,884635,53.4
1,5,Rx,0.17096,233.55874,998897,34.24
1,5,Tx,0.001,233.46296,4076230,139.68
1,6,Rx,0.17096,211.46124,998857,37.82
1,6,Tx,0.001,211.46224,4076246,154.21
2,0,Rx,0.08548,5.9001,290731,400.0
2,0,Tx,0.001,5.89786,294843,400.0
2,1,Rx,0.08548,5.9001,290731,400.0
2,1,Tx,0.001,5.89786,294843,400.0
2,2,Rx,0.08548,69.73432,409047,46.98
2,2,Tx,0.001,69.73532,3486437,399.97
2,3,Rx,0.17096,233.5573,998897,34.24
2,3,Tx,0.001,233.46152,4076269,139.68
2,4,Rx,0.17096,236.39404,998897,33.83
2,4,Tx,0.001,236.068,4076228,138.14
2,5,Rx,0.17096,192.04384,880581,36.72
2,5,Tx,0.001,192.03154,884635,36.85
2,6,Rx,0.17096,189.6246,998897,42.18
