nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08872,179.87866,294843,13.12
0,0,Tx,0.001,179.87284,294826,13.11
0,1,Rx,87.11652,92.93114,290731,400.0
0,1,Tx,87.03204,92.9289,294843,400.0
0,2,Rx,0.08548,243.68464,409047,13.43
0,2,Tx,0.08648,243.68564,3486437,114.5
0,3,Rx,0.17096,180.05638,880581,39.16
0,3,Tx,0.001,180.0509,884652,39.31
0,4,Rx,0.17096,180.05638,880581,39.16
0,4,Tx,0.001,180.0509,884652,39.31
0,5,Rx,0.17096,180.05638,880581,39.16
0,5,Tx,0.001,180.0509,884651,39.31
0,6,Rx,0.17096,243.89048,1235489,40.55
0,6,Tx,0.001,243.89148,10459435,343.09
1,0,Rx,0.08548,179.87542,290731,12.94
1,0,Tx,0.08648,179.87642,294843,13.12
1,1,Rx,0.08872,179.87866,294843,13.12
1,1,Tx,0.001,179.87284,294826,13.11
1,2,Rx,87.11652,156.76536,409047,46.98
1,2,Tx,87.03204,156.76636,3486437,399.97
1,3,Rx,0.17096,243.89048,1235489,40.55
1,3,Tx,0.001,243.89148,10459435,343.09
1,4,Rx,0.17096,180.05638,880581,39.16
1,4,Tx,0.001,180.0509,884652,39.31
1,5,Rx,0.17096,180.05638,880581,39.16
1,5,Tx,0.001,180.0509,884652,39.31
1,6,Rx,0.17096,180.05638,880581,39.16
1,6,Tx,0.001,180.0509,884651,39.31
2,0,Rx,87.11652,92.93114,290731,400.0
2,0,Tx,87.03204,92.9289,294843,400.0
2,1,Rx,0.08548,179.87542,290731,12.94
2,1,Tx,0.08648,179.87642,294843,13.12
2,2,Rx,0.08872,181.20818,413159,18.25
2,2,Tx,0.001,181.20236,3486420,153.92
2,3,Rx,0.17096,180.05638,880581,39.16
2,3,Tx,0.001,180.0509,884651,39.31
2,4,Rx,0.17096,243.89048,1235489,40.55
2,4,Tx,0.001,243.89148,10459435,343.09
2,5,Rx,0.17096,180.05638,880581,39.16
2,5,Tx,0.001,180.0509,884652,39.31
2,6,Rx,0.17096,180.05638,880581,39.16
2,6,Tx,0.001,180.0509,884652,39.31
3,0,Rx,0.08872,243.68788,3486437,114.5
3,0,Tx,0.001,243.68206,413142,13.56
3,1,Rx,87.11652,156.7686,3482325,399.97
3,1,Tx,87.03204,156.76278,413142,47.4
3,2,Rx,0.08548,181.20494,3482325,153.81
3,2,Tx,0.08648,181.20594,413159,18.25
3,3,Rx,0.17096,243.89696,10455323,343.18
3,3,Tx,0.001,243.88466,1239581,40.66
3,4,Rx,0.17096,243.89696,10455323,343.18
3,4,Tx,0.001,243.88466,1239581,40.66
3,5,Rx,0.17096,261.1076,13038250,399.74
3,5,Tx,0.001,261.10202,13042362,399.61
3,6,Rx,0.17096,243.89696,10455323,343.18
3,6,Tx,0.001,243.88466,1239582,40.66
4,0,Rx,0.08872,179.87866,294843,13.12
4,0,Tx,0.001,179.87284,294826,13.11
4,1,Rx,87.11652,92.93114,290731,400.0
4,1,Tx,87.03204,92.9289,294843,400.0
4,2,Rx,0.08548,243.68464,409047,13.43
4,2,Tx,0.08648,243.68564,3486437,114.5
4,3,Rx,0.17096,180.05638,880581,39.16
4,3,Tx,0.001,180.0509,884652,39.31
4,4,Rx,0.17096,180.05636,880581,39.16
4,4,Tx,0.001,180.0509,884652,39.31
4,5,Rx,0.17096,180.05636,880581,39.16
4,5,Tx,0.001,180.0509,884651,39.31
4,6,Rx,0.17096,243.89048,1235489,40.55
4,6,Tx,0.001,243.89148,10459435,343.09
5,0,Rx,0.08548,179.87542,290731,12.94
5,0,Tx,0.08648,179.87642,294843,13.12
5,1,Rx,0.08872,179.87866,294843,13.12
5,1,Tx,0.001,179.87284,294826,13.11
5,2,Rx,87.11652,156.76536,409046,46.98
5,2,Tx,87.03204,156.76636,3486437,399.97
5,3,Rx,0.17096,243.89048,1235486,40.55
5,3,Tx,0.001,243.89148,10459435,343.09
5,4,Rx,0.17096,180.05638,880581,39.16
5,4,Tx,0.001,180.0509,884652,39.31
5,5,Rx,0.17096,180.05636,880581,39.16
5,5,Tx,0.001,180.0509,884652,39.31
5,6,Rx,0.17096,180.05636,880581,39.16
5,6,Tx,0.001,180.0509,884651,39.31
6,0,Rx,87.11652,92.93114,290731,400.0
6,0,Tx,87.03204,92.9289,294843,400.0
6,1,Rx,0.08548,179.87542,290731,12.94
6,1,Tx,0.08648,179.87642,294843,13.12
6,2,Rx,0.08872,181.20816,413158,18.25
6,2,Tx,0.001,181.20234,3486420,153.92
6,3,Rx,0.17096,180.05636,880581,39.16
6,3,Tx,0.001,180.0509,884651,39.31
6,4,Rx,0.17096,243.89048,1235486,40.55
6,4,Tx,0.001,243.89148,10459435,343.09
6,5,Rx,0.17096,180.05638,880581,39.16
6,5,Tx,0.001,180.0509,884652,39.31
6,6,Rx,0.17096,180.05636,880581,39.16
6,6,Tx,0.001,180.0509,884652,39.31
7,0,Rx,0.08872,243.68788,3486437,114.5
7,0,Tx,0.001,243.68206,413142,13.56
7,1,Rx,87.11652,156.7686,3482325,399.97
7,1,Tx,87.03204,156.76278,413141,47.4
7,2,Rx,0.08548,181.20492,3482325,153.81
7,2,Tx,0.08648,181.20592,413158,18.25
7,3,Rx,0.17096,243.89696,10455323,343.18
7,3,Tx,0.001,243.88466,1239582,40.66
7,4,Rx,0.17096,243.89696,10455323,343.18
7,4,Tx,0.001,243.88466,1239582,40.66
7,5,Rx,0.17096,261.1068,13038250,399.74
7,5,Tx,0.001,261.1014,13042362,399.61
7,6,Rx,0.17096,243.89696,10455323,343.18
7,6,Tx,0.001,243.88466,1239582,40.66
8,0,Rx,0.08872,179.87866,294843,13.12
8,0,Tx,0.001,179.87284,294826,13.11
8,1,Rx,87.11652,92.93114,290731,400.0
8,1,Tx,87.03204,92.92888,294842,400.0
8,2,Rx,0.08548,243.68464,409046,13.43
8,2,Tx,0.08648,243.68564,3486437,114.5
8,3,Rx,0.17096,180.05636,880581,39.16
8,3,Tx,0.001,180.0509,884652,39.31
8,4,Rx,0.17096,180.05636,880581,39.16
8,4,Tx,0.001,180.0509,884652,39.31
8,5,Rx,0.17096,180.05636,880581,39.16
8,5,Tx,0.001,180.0509,884652,39.31
8,6,Rx,0.17096,243.89048,1235486,40.55
8,6,Tx,0.001,243.89148,10459435,343.09
9,0,Rx,0.08548,179.87542,290731,12.94
9,0,Tx,0.08648,179.87642,294843,13.12
9,1,Rx,0.08872,179.87864,294842,13.12
9,1,Tx,0.001,179.87282,294825,13.11
9,2,Rx,87.11652,156.76536,409046,46.98
9,2,Tx,87.03204,156.76636,3486437,399.97
9,3,Rx,0.17096,243.89048,1235486,40.55
9,3,Tx,0.001,243.89148,10459435,343.09
9,4,Rx,0.17096,180.05636,880580,39.16
9,4,Tx,0.001,180.05088,884652,39.31
9,5,Rx,0.17096,180.05636,880580,39.16
9,5,Tx,0.001,180.05088,884652,39.31
9,6,Rx,0.17096,180.05636,880580,39.16
9,6,Tx,0.001,180.05088,884652,39.31
10,0,Rx,87.11652,92.93112,290730,400.0
10,0,Tx,87.03204,92.9289,294843,400.0
10,1,Rx,0.08548,179.8754,290730,12.94
10,1,Tx,0.08648,179.8764,294842,13.12
10,2,Rx,0.08872,181.20816,413158,18.25
10,2,Tx,0.001,181.20234,3486420,153.92
10,3,Rx,0.17096,180.05636,880578,39.16
10,3,Tx,0.001,180.05088,884652,39.31
10,4,Rx,0.17096,243.89048,1235486,40.55
10,4,Tx,0.001,243.89148,10459435,343.09
10,5,Rx,0.17096,180.05636,880578,39.16
10,5,Tx,0.001,180.05088,884652,39.31
10,6,Rx,0.17096,180.05636,880578,39.16
10,6,Tx,0.001,180.05088,884652,39.31
11,0,Rx,0.08872,243.68788,3486437,114.5
11,0,Tx,0.001,243.68206,413141,13.56
11,1,Rx,87.11652,156.7686,3482325,399.97
11,1,Tx,87.03204,156.76278,413141,47.4
11,2,Rx,0.08548,181.20492,3482325,153.81
11,2,Tx,0.08648,181.20592,413158,18.25
11,3,Rx,0.17096,243.89696,10455323,343.18
11,3,Tx,0.001,243.88466,1239582,40.66
11,4,Rx,0.17096,243.89696,10455323,343.18
11,4,Tx,0.001,243.88466,1239582,40.66
11,5,Rx,0.17096,261.10908,13038250,399.73
11,5,Tx,0.001,261.10022,13042362,399.61
11,6,Rx,0.17096,243.89696,10455323,343.18
11,6,Tx,0.001,243.88466,1239583,40.66
12,0,Rx,0.08872,179.87864,294842,13.12
12,0,Tx,0.001,179.87282,294825,13.11
12,1,Rx,87.11652,92.93112,290730,400.0
12,1,Tx,87.03204,92.92888,294842,400.0
12,2,Rx,0.08548,243.68464,409046,13.43
12,2,Tx,0.08648,243.68564,3486437,114.5
12,3,Rx,0.17096,180.05636,880578,39.16
12,3,Tx,0.001,180.05088,884653,39.31
12,4,Rx,0.17096,180.05636,880578,39.16
