taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,284360,URMA_WRITE,7,0ns,0,
1,0,4,284360,URMA_WRITE,7,0ns,0,
2,0,5,284360,URMA_WRITE,7,0ns,0,
3,0,6,284360,URMA_WRITE,7,0ns,0,
4,0,7,3412315,URMA_WRITE,7,0ns,0,
5,4,5,284360,URMA_WRITE,7,0ns,0,
6,4,8,284360,URMA_WRITE,7,0ns,0,
7,4,9,284360,URMA_WRITE,7,0ns,0,
8,4,10,284359,URMA_WRITE,7,0ns,0,
9,4,11,3412315,URMA_WRITE,7,0ns,0,
10,8,9,284360,URMA_WRITE,7,0ns,0,
11,8,12,284359,URMA_WRITE,7,0ns,0,
12,8,13,284359,URMA_WRITE,7,0ns,0,
13,8,14,284359,URMA_WRITE,7,0ns,0,
14,8,15,3412315,URMA_WRITE,7,0ns,0,
15,12,13,284359,URMA_WRITE,7,0ns,0,
16,12,0,284360,URMA_WRITE,7,0ns,0,
17,12,1,284360,URMA_WRITE,7,0ns,0,
18,12,2,284360,URMA_WRITE,7,0ns,0,
19,12,3,3412315,URMA_WRITE,7,0ns,0,
20,1,2,284360,URMA_WRITE,7,0ns,0,
21,1,7,3412315,URMA_WRITE,7,0ns,0,
22,1,4,284360,URMA_WRITE,7,0ns,0,
23,1,5,284360,URMA_WRITE,7,0ns,0,
24,1,6,284360,URMA_WRITE,7,0ns,0,
25,5,6,284360,URMA_WRITE,7,0ns,0,
26,5,11,3412315,URMA_WRITE,7,0ns,0,
27,5,8,284360,URMA_WRITE,7,0ns,0,
28,5,9,284360,URMA_WRITE,7,0ns,0,
29,5,10,284359,URMA_WRITE,7,0ns,0,
30,9,10,284359,URMA_WRITE,7,0ns,0,
31,9,15,3412315,URMA_WRITE,7,0ns,0,
32,9,12,284359,URMA_WRITE,7,0ns,0,
33,9,13,284359,URMA_WRITE,7,0ns,0,
34,9,14,284359,URMA_WRITE,7,0ns,0,
35,13,14,284359,URMA_WRITE,7,0ns,0,
36,13,3,3412315,URMA_WRITE,7,0ns,0,
37,13,0,284360,URMA_WRITE,7,0ns,0,
38,13,1,284360,URMA_WRITE,7,0ns,0,
39,13,2,284360,URMA_WRITE,7,0ns,0,
40,2,3,3412315,URMA_WRITE,7,0ns,0,
41,2,6,284360,URMA_WRITE,7,0ns,0,
42,2,7,3412315,URMA_WRITE,7,0ns,0,
43,2,4,284360,URMA_WRITE,7,0ns,0,
44,2,5,284360,URMA_WRITE,7,0ns,0,
45,6,7,3412315,URMA_WRITE,7,0ns,0,
46,6,10,284359,URMA_WRITE,7,0ns,0,
47,6,11,3412315,URMA_WRITE,7,0ns,0,
48,6,8,284360,URMA_WRITE,7,0ns,0,
49,6,9,284360,URMA_WRITE,7,0ns,0,
50,10,11,3412315,URMA_WRITE,7,0ns,0,
51,10,14,284359,URMA_WRITE,7,0ns,0,
52,10,15,3412315,URMA_WRITE,7,0ns,0,
53,10,12,284359,URMA_WRITE,7,0ns,0,
54,10,13,284359,URMA_WRITE,7,0ns,0,
55,14,15,3412315,URMA_WRITE,7,0ns,0,
56,14,2,284360,URMA_WRITE,7,0ns,0,
57,14,3,3412315,URMA_WRITE,7,0ns,0,
58,14,0,284360,URMA_WRITE,7,0ns,0,
59,14,1,284360,URMA_WRITE,7,0ns,0,
60,3,0,349526,URMA_WRITE,7,0ns,0,
61,3,5,349525,URMA_WRITE,7,0ns,0,
62,3,6,349525,URMA_WRITE,7,0ns,0,
63,3,7,4194304,URMA_WRITE,7,0ns,0,
64,3,4,349526,URMA_WRITE,7,0ns,0,
65,7,4,349526,URMA_WRITE,7,0ns,0,
66,7,9,349525,URMA_WRITE,7,0ns,0,
67,7,10,349525,URMA_WRITE,7,0ns,0,
68,7,11,4194304,URMA_WRITE,7,0ns,0,
69,7,8,349525,URMA_WRITE,7,0ns,0,
70,11,8,349525,URMA_WRITE,7,0ns,0,
71,11,13,349525,URMA_WRITE,7,0ns,0,
72,11,14,349525,URMA_WRITE,7,0ns,0,
73,11,15,4194304,URMA_WRITE,7,0ns,0,
74,11,12,349525,URMA_WRITE,7,0ns,0,
75,15,12,349525,URMA_WRITE,7,0ns,0,
76,15,1,349526,URMA_WRITE,7,0ns,0,
77,15,2,349526,URMA_WRITE,7,0ns,0,
78,15,3,4194304,URMA_WRITE,7,0ns,0,
79,15,0,349526,URMA_WRITE,7,0ns,0,
80,0,2,284360,URMA_WRITE,7,0ns,1,0
81,0,8,284360,URMA_WRITE,7,0ns,1,0
