nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,13.6853,679650,399.8
0,0,Tx,0.001,13.67948,401637,234.9
0,1,Rx,0.08548,19.39926,446515,184.95
0,1,Tx,0.001,19.40026,969622,399.86
0,2,Rx,0.08548,23.32572,1161671,399.88
0,2,Tx,0.001,23.3199,476698,163.54
0,3,Rx,0.17096,95.89662,3197315,267.21
0,3,Tx,0.001,95.89762,3893289,324.79
0,4,Rx,0.17096,94.80768,3392595,286.79
0,4,Tx,0.001,94.80868,3875304,327.0
0,5,Rx,0.17096,97.93394,3150776,257.83
0,5,Tx,0.001,97.93494,3872297,316.32
0,6,Rx,0.17096,98.11716,3125794,255.31
0,6,Tx,0.001,98.11816,3867083,315.3
1,0,Rx,0.08548,13.68206,397542,233.91
1,0,Tx,0.001,13.68306,683762,399.8
1,1,Rx,0.08548,31.34108,1562580,399.95
1,1,Tx,0.001,31.33684,1392011,355.38
1,2,Rx,0.08548,15.72066,155633,79.63
1,2,Tx,0.001,15.72166,785692,399.83
1,3,Rx,0.17096,90.4889,4452268,394.36
1,3,Tx,0.001,89.54328,3632048,324.5
1,4,Rx,0.17096,92.13134,4353193,378.7
1,4,Tx,0.001,87.4719,3603867,329.61
1,5,Rx,0.25444,91.07136,4536596,399.63
1,5,Tx,0.001,91.06492,3666165,322.07
1,6,Rx,0.25444,91.24714,4541209,399.26
1,6,Tx,0.001,91.24194,3670762,321.85
2,0,Rx,0.08548,19.4025,965510,399.86
2,0,Tx,0.001,19.39668,450610,185.86
2,1,Rx,0.08548,31.33908,1387899,355.26
2,1,Tx,0.001,31.33884,1566692,399.95
2,2,Rx,0.08548,46.9226,2341505,399.94
2,2,Tx,0.001,46.91678,467560,79.73
2,3,Rx,0.17096,99.25406,3507375,283.19
2,3,Tx,0.001,99.24288,3765351,303.53
2,4,Rx,0.17096,97.70616,3527383,289.32
2,4,Tx,0.001,97.70592,3717431,304.38
2,5,Rx,0.17096,98.93156,3541572,286.88
2,5,Tx,0.001,98.93132,3724404,301.17
2,6,Rx,0.33792,95.81954,3651622,305.95
2,6,Tx,0.001,95.80588,3724668,311.02
3,0,Rx,0.08548,23.32248,472603,162.71
3,0,Tx,0.001,23.32348,1165783,399.88
3,1,Rx,0.08548,15.7239,781580,399.83
3,1,Tx,0.001,15.71808,159728,81.3
3,2,Rx,0.08548,46.91936,463465,79.17
3,2,Tx,0.001,46.92036,2345617,399.94
3,3,Rx,0.17096,85.5535,2261146,211.86
3,3,Tx,0.001,85.5545,3423591,320.14
3,4,Rx,0.17096,81.59818,2320306,227.96
3,4,Tx,0.001,81.59918,3445937,337.84
3,5,Rx,0.17096,86.19348,2568976,238.91
3,5,Tx,0.001,86.19448,3354189,311.32
3,6,Rx,0.17096,81.0498,2232927,220.87
3,6,Tx,0.001,81.0508,3395039,335.11
4,0,Rx,0.08548,42.52884,1252292,236.04
4,0,Tx,0.001,42.52984,2126101,399.94
4,1,Rx,0.08548,29.81796,1441733,387.92
4,1,Tx,0.001,29.81492,1490625,399.98
4,2,Rx,0.08548,17.47616,869289,399.89
4,2,Tx,0.001,17.47192,693265,317.45
4,3,Rx,0.17096,95.9031,4773962,398.94
4,3,Tx,0.001,95.8908,3304795,275.72
4,4,Rx,0.17096,94.81416,4723361,399.26
4,4,Tx,0.001,94.80186,3294334,278.0
4,5,Rx,0.17096,97.94042,4879764,399.29
4,5,Tx,0.001,97.92812,3276330,267.65
4,6,Rx,0.17096,98.12364,4884999,398.97
4,6,Tx,0.001,98.11134,3294962,268.67
5,0,Rx,0.08548,42.53208,2121989,399.94
5,0,Tx,0.001,42.52626,1256387,236.36
5,1,Rx,0.08548,75.67264,979711,103.69
5,1,Tx,0.001,75.67364,3783291,399.96
5,2,Rx,0.08548,32.41166,1615968,399.92
5,2,Tx,0.001,32.40584,1002052,247.38
5,3,Rx,0.17096,72.23924,3415246,379.11
5,3,Tx,0.001,72.24024,2848194,315.42
5,4,Rx,0.17096,76.73594,3384021,353.58
5,4,Tx,0.001,76.73694,2868174,299.02
5,5,Rx,0.17096,78.43882,3424868,350.07
5,5,Tx,0.001,78.43982,2793741,284.93
5,6,Rx,0.17096,74.26542,3683388,397.7
5,6,Tx,0.001,74.25312,2859996,308.14
6,0,Rx,0.08548,29.81716,1486513,399.98
6,0,Tx,0.001,29.81572,1445845,387.95
6,1,Rx,0.08548,75.67588,3779179,399.96
6,1,Tx,0.001,75.67006,983806,104.01
6,2,Rx,0.08548,22.2579,486297,175.46
6,2,Tx,0.001,22.2589,1112554,399.88
6,3,Rx,0.17096,99.31182,4940507,398.67
6,3,Tx,0.001,99.30372,3523643,283.87
6,4,Rx,0.17096,98.72394,4919265,399.32
6,4,Tx,0.001,98.7175,3533859,286.38
6,5,Rx,0.17096,96.07744,4782776,398.95
6,5,Tx,0.001,96.071,3483345,290.07
6,6,Rx,0.17096,98.3081,4894557,399.0
6,6,Tx,0.001,98.30166,3436856,279.7
7,0,Rx,0.08548,17.47416,689153,317.06
7,0,Tx,0.001,17.47392,873401,399.89
7,1,Rx,0.08548,32.40842,997957,247.0
7,1,Tx,0.001,32.40942,1620080,399.92
7,2,Rx,0.08548,22.26114,1108442,399.88
7,2,Tx,0.001,22.25532,490392,176.29
7,3,Rx,0.17096,77.31628,2342060,242.87
7,3,Tx,0.001,77.31728,3579877,370.41
7,4,Rx,0.17096,79.20252,2259655,228.73
7,4,Tx,0.001,79.20352,3590202,362.64
7,5,Rx,0.17096,78.81106,2304581,234.44
7,5,Tx,0.001,78.81206,3592155,364.63
