taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,651817,URMA_WRITE,7,0ns,0,
1,0,1,382917,URMA_WRITE,7,0ns,1,
2,0,14,419112,URMA_WRITE,7,0ns,2,
3,0,2,943593,URMA_WRITE,7,0ns,3,
4,0,13,251479,URMA_WRITE,7,0ns,4,
5,0,3,448905,URMA_WRITE,7,0ns,5,
6,0,12,3620244,URMA_WRITE,7,0ns,6,
7,0,4,3306416,URMA_WRITE,7,0ns,7,
8,0,11,529775,URMA_WRITE,7,0ns,8,
9,0,5,555856,URMA_WRITE,7,0ns,9,
10,0,10,1052045,URMA_WRITE,7,0ns,10,
11,0,6,2071089,URMA_WRITE,7,0ns,11,
12,0,9,1473131,URMA_WRITE,7,0ns,12,
13,0,7,476100,URMA_WRITE,7,0ns,13,
14,0,8,594737,URMA_WRITE,7,0ns,14,
15,1,0,664086,URMA_WRITE,7,0ns,15,
16,1,2,1340071,URMA_WRITE,7,0ns,16,
17,1,15,4781621,URMA_WRITE,7,0ns,17,
18,1,3,767877,URMA_WRITE,7,0ns,18,
19,1,14,167084,URMA_WRITE,7,0ns,19,
20,1,4,1190844,URMA_WRITE,7,0ns,20,
21,1,13,1550650,URMA_WRITE,7,0ns,21,
22,1,5,309517,URMA_WRITE,7,0ns,22,
23,1,12,725504,URMA_WRITE,7,0ns,23,
24,1,6,603209,URMA_WRITE,7,0ns,24,
25,1,11,421287,URMA_WRITE,7,0ns,25,
26,1,7,473737,URMA_WRITE,7,0ns,26,
27,1,10,170577,URMA_WRITE,7,0ns,27,
28,1,8,238022,URMA_WRITE,7,0ns,28,
29,1,9,3373130,URMA_WRITE,7,0ns,29,
30,2,1,1514171,URMA_WRITE,7,0ns,30,
31,2,3,421206,URMA_WRITE,7,0ns,31,
32,2,0,426398,URMA_WRITE,7,0ns,32,
33,2,4,2022050,URMA_WRITE,7,0ns,33,
34,2,15,561835,URMA_WRITE,7,0ns,34,
35,2,5,1124455,URMA_WRITE,7,0ns,35,
36,2,14,1475122,URMA_WRITE,7,0ns,36,
37,2,6,1693395,URMA_WRITE,7,0ns,37,
38,2,13,1474007,URMA_WRITE,7,0ns,38,
39,2,7,917113,URMA_WRITE,7,0ns,39,
40,2,12,3150442,URMA_WRITE,7,0ns,40,
41,2,8,484509,URMA_WRITE,7,0ns,41,
42,2,11,509815,URMA_WRITE,7,0ns,42,
43,2,9,405990,URMA_WRITE,7,0ns,43,
44,2,10,596708,URMA_WRITE,7,0ns,44,
45,3,2,2292810,URMA_WRITE,7,0ns,45,
46,3,4,279696,URMA_WRITE,7,0ns,46,
47,3,1,144049,URMA_WRITE,7,0ns,47,
48,3,5,1349728,URMA_WRITE,7,0ns,48,
49,3,0,1135592,URMA_WRITE,7,0ns,49,
50,3,6,1997203,URMA_WRITE,7,0ns,50,
51,3,15,1300728,URMA_WRITE,7,0ns,51,
52,3,7,850755,URMA_WRITE,7,0ns,52,
53,3,14,230842,URMA_WRITE,7,0ns,53,
54,3,8,909127,URMA_WRITE,7,0ns,54,
55,3,13,1528678,URMA_WRITE,7,0ns,55,
56,3,9,1242959,URMA_WRITE,7,0ns,56,
57,3,12,1677877,URMA_WRITE,7,0ns,57,
58,3,10,657383,URMA_WRITE,7,0ns,58,
