taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,382917,URMA_WRITE,7,0ns,0,,0.0,12.15988,0.001,12.16278,251.9216
1,1,2,1340071,URMA_WRITE,7,0ns,1,,0.0,31.33584,0.001,31.33908,342.1184
2,2,3,421206,URMA_WRITE,7,0ns,2,,0.0,13.51054,0.001,13.51344,249.4088
3,3,0,1135592,URMA_WRITE,7,0ns,3,,0.0,23.32248,0.001,23.32572,389.527
4,4,5,2064922,URMA_WRITE,7,0ns,4,,0.0,42.52884,0.001,42.53208,388.4276
5,5,6,3694495,URMA_WRITE,7,0ns,5,,0.0,75.67264,0.001,75.67588,390.5766
6,6,7,1083112,URMA_WRITE,7,0ns,6,,0.0,22.2579,0.001,22.26114,389.2953
7,7,4,845416,URMA_WRITE,7,0ns,7,,0.0,17.47292,0.001,17.47616,387.0749
8,8,9,1206680,URMA_WRITE,7,0ns,8,,0.0,29.81282,0.001,29.81572,323.8016
9,9,10,884478,URMA_WRITE,7,0ns,9,,0.0,18.1948,0.001,18.19804,388.8927
10,10,11,709083,URMA_WRITE,7,0ns,10,,0.0,18.95318,0.001,18.95608,299.2988
11,11,8,573770,URMA_WRITE,7,0ns,11,,0.0,11.81504,0.001,11.81828,388.5014
12,12,13,581872,URMA_WRITE,7,0ns,12,,0.0,16.23694,0.001,16.23984,286.6905
13,13,14,1403042,URMA_WRITE,7,0ns,13,,0.0,28.91574,0.001,28.91898,388.1739
14,14,15,1707426,URMA_WRITE,7,0ns,14,,0.0,35.30546,0.001,35.3087,386.8922
15,15,12,664348,URMA_WRITE,7,0ns,15,,0.0,13.70952,0.001,13.71276,387.671
16,0,2,943593,URMA_WRITE,7,0ns,16,,0.0,19.39926,0.001,19.4025,389.1254
17,1,3,767877,URMA_WRITE,7,0ns,17,,0.0,15.72066,0.001,15.7239,390.7607
18,2,0,426398,URMA_WRITE,7,0ns,18,,0.0,13.51282,0.001,13.51572,252.4406
19,3,1,144049,URMA_WRITE,7,0ns,19,,0.0,8.07166,0.001,8.07456,142.7701
20,4,6,1438747,URMA_WRITE,7,0ns,20,,0.0,29.81424,0.001,29.81716,386.0563
21,5,7,956965,URMA_WRITE,7,0ns,21,,0.0,24.38238,0.001,24.38528,313.9858
22,6,4,1394143,URMA_WRITE,7,0ns,22,,0.0,29.8145,0.001,29.81796,374.0846
23,7,5,1572849,URMA_WRITE,7,0ns,23,,0.0,32.40842,0.001,32.41166,388.2569
24,8,10,501396,URMA_WRITE,7,0ns,24,,0.0,14.27706,0.001,14.27996,280.952
25,9,11,455611,URMA_WRITE,7,0ns,25,,0.0,13.5215,0.001,13.5244,269.5624
26,10,8,691613,URMA_WRITE,7,0ns,26,,0.0,14.28154,0.001,14.28478,387.4165
27,11,9,889740,URMA_WRITE,7,0ns,27,,0.0,18.30936,0.001,18.3126,388.7585
28,12,14,1330247,URMA_WRITE,7,0ns,28,,0.0,32.52782,0.001,32.53072,327.1654
29,13,15,384771,URMA_WRITE,7,0ns,29,,0.0,12.15988,0.001,12.16278,253.1413
30,14,12,2541087,URMA_WRITE,7,0ns,30,,0.0,52.28542,0.001,52.28866,388.8024
31,15,13,845731,URMA_WRITE,7,0ns,31,,0.0,17.38608,0.001,17.38932,389.1532
32,0,3,448905,URMA_WRITE,7,0ns,32,,0.0,13.51902,0.001,13.52192,265.6435
33,1,0,664086,URMA_WRITE,7,0ns,33,,0.0,13.68206,0.001,13.6853,388.2959
34,2,1,1514171,URMA_WRITE,7,0ns,34,,0.0,31.33784,0.001,31.34108,386.5413
35,3,2,2292810,URMA_WRITE,7,0ns,35,,0.0,46.91936,0.001,46.9226,390.9363
36,4,7,665910,URMA_WRITE,7,0ns,36,,0.0,17.47002,0.001,17.47416,304.9384
37,5,4,1198196,URMA_WRITE,7,0ns,37,,0.0,29.81034,0.001,29.81324,321.5518
38,6,5,904592,URMA_WRITE,7,0ns,38,,0.0,23.02776,0.001,23.03066,314.2614
39,7,6,463110,URMA_WRITE,7,0ns,39,,0.0,14.86248,0.001,14.86538,249.2774
40,8,11,307416,URMA_WRITE,7,0ns,40,,0.0,10.79906,0.001,10.80196,227.7354
41,9,8,3565647,URMA_WRITE,7,0ns,41,,0.0,73.1453,0.001,73.14854,389.9796
42,10,9,435564,URMA_WRITE,7,0ns,42,,0.0,13.5153,0.001,13.5182,257.8198
43,11,10,1339181,URMA_WRITE,7,0ns,43,,0.0,27.5609,0.001,27.56414,388.7191
44,12,15,447901,URMA_WRITE,7,0ns,44,,0.0,13.51902,0.001,13.52192,265.0494
