taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,382917,URMA_WRITE,7,0ns,0,,0.0,7.818,0.001,7.82124,391.8312
1,0,4,3306416,URMA_WRITE,7,0ns,0,,0.0,67.74746,0.001,67.75394,390.4401
2,0,5,555856,URMA_WRITE,7,0ns,0,,0.0,11.8021,0.001,11.80824,376.7845
3,0,6,2071089,URMA_WRITE,7,0ns,0,,0.0,43.30502,0.001,43.3115,382.6049
4,0,7,476100,URMA_WRITE,7,0ns,0,,0.0,10.86552,0.001,10.87166,350.5401
5,4,5,2064922,URMA_WRITE,7,0ns,0,,0.0,42.1315,0.001,42.13474,392.0909
6,4,8,530308,URMA_WRITE,7,0ns,0,,0.0,12.05466,0.001,12.0608,351.9356
7,4,9,700215,URMA_WRITE,7,0ns,0,,0.0,15.53762,0.001,15.54318,360.5263
8,4,10,1925602,URMA_WRITE,7,0ns,0,,0.0,40.24808,0.001,40.25422,382.7466
9,4,11,3297442,URMA_WRITE,7,0ns,0,,0.0,67.6635,0.001,67.66998,389.8636
10,8,9,1206680,URMA_WRITE,7,0ns,0,,0.0,24.62294,0.001,24.62618,392.0507
11,8,12,1075310,URMA_WRITE,7,0ns,0,,0.0,22.23278,0.001,22.23926,386.9278
12,8,13,1702101,URMA_WRITE,7,0ns,0,,0.0,35.03714,0.001,35.04362,388.6393
13,8,14,429811,URMA_WRITE,7,0ns,0,,0.0,9.41954,0.001,9.42546,365.0378
14,8,15,1145544,URMA_WRITE,7,0ns,0,,0.0,24.11542,0.001,24.1219,380.0204
15,12,13,581872,URMA_WRITE,7,0ns,0,,0.0,11.87726,0.001,11.8805,391.9234
16,12,0,603933,URMA_WRITE,7,0ns,0,,0.0,12.98852,0.001,12.99586,371.9796
17,12,1,3266662,URMA_WRITE,7,0ns,0,,0.0,67.26764,0.001,67.27412,388.4973
18,12,2,3197907,URMA_WRITE,7,0ns,0,,0.0,66.0013,0.001,66.00778,387.6175
19,12,3,217657,URMA_WRITE,7,0ns,0,,0.0,5.17602,0.001,5.18216,336.4083
20,1,2,1340071,URMA_WRITE,7,0ns,0,,0.0,27.34472,0.001,27.34796,392.0526
21,1,7,473737,URMA_WRITE,7,0ns,0,,0.0,10.0214,0.001,10.02788,378.1803
22,1,4,1190844,URMA_WRITE,7,0ns,0,,0.0,24.96366,0.001,24.9698,381.6248
23,1,5,309517,URMA_WRITE,7,0ns,0,,0.0,7.12794,0.001,7.13408,347.3845
24,1,6,603209,URMA_WRITE,7,0ns,0,,0.0,12.98872,0.001,12.99462,371.5279
25,5,6,3694495,URMA_WRITE,7,0ns,0,,0.0,75.37328,0.001,75.37652,392.1278
26,5,11,690637,URMA_WRITE,7,0ns,0,,0.0,14.85122,0.001,14.8577,372.0298
27,5,8,323808,URMA_WRITE,7,0ns,0,,0.0,7.4695,0.001,7.47564,346.8055
28,5,9,1398959,URMA_WRITE,7,0ns,0,,0.0,28.87924,0.001,28.88572,387.5335
29,5,10,718518,URMA_WRITE,7,0ns,0,,0.0,16.04576,0.001,16.0519,358.2344
30,9,10,884478,URMA_WRITE,7,0ns,0,,0.0,18.04946,0.001,18.0527,392.0241
31,9,15,398036,URMA_WRITE,7,0ns,0,,0.0,8.7436,0.001,8.7496,364.185
32,9,12,1607758,URMA_WRITE,7,0ns,0,,0.0,33.71012,0.001,33.7166,381.549
33,9,13,735985,URMA_WRITE,7,0ns,0,,0.0,15.78988,0.001,15.79578,372.8895
34,9,14,303047,URMA_WRITE,7,0ns,0,,0.0,6.95816,0.001,6.9643,348.422
35,13,14,1403042,URMA_WRITE,7,0ns,0,,0.0,28.62878,0.001,28.63202,392.0648
36,13,3,1302763,URMA_WRITE,7,0ns,0,,0.0,27.34306,0.001,27.3482,381.1609
37,13,0,655430,URMA_WRITE,7,0ns,0,,0.0,14.01022,0.001,14.0167,374.2582
38,13,1,871469,URMA_WRITE,7,0ns,0,,0.0,18.11828,0.001,18.12476,384.7911
39,13,2,823911,URMA_WRITE,7,0ns,0,,0.0,17.57266,0.001,17.57876,375.0877
40,2,3,421206,URMA_WRITE,7,0ns,0,,0.0,8.59906,0.001,8.6023,391.8624
41,2,6,1693395,URMA_WRITE,7,0ns,0,,0.0,35.05676,0.001,35.06324,386.435
42,2,7,917113,URMA_WRITE,7,0ns,0,,0.0,19.0506,0.001,19.05708,385.1272
43,2,4,2022050,URMA_WRITE,7,0ns,0,,0.0,42.4497,0.001,42.45584,381.0722
44,2,5,1124455,URMA_WRITE,7,0ns,0,,0.0,23.3071,0.001,23.31358,385.9614
45,6,7,1083112,URMA_WRITE,7,0ns,0,,0.0,22.1023,0.001,22.10554,392.0359
46,6,10,1255312,URMA_WRITE,7,0ns,0,,0.0,26.57328,0.001,26.57942,377.9171
47,6,11,2075524,URMA_WRITE,7,0ns,0,,0.0,43.09788,0.001,43.10436,385.267
48,6,8,2776189,URMA_WRITE,7,0ns,0,,0.0,57.41528,0.001,57.42176,386.8223
49,6,9,1342905,URMA_WRITE,7,0ns,0,,0.0,27.69124,0.001,27.69772,387.9653
50,10,11,709083,URMA_WRITE,7,0ns,0,,0.0,14.47232,0.001,14.47556,391.9665
51,10,14,2093242,URMA_WRITE,7,0ns,0,,0.0,43.21442,0.001,43.2209,387.5081
52,10,15,704838,URMA_WRITE,7,0ns,0,,0.0,14.8599,0.001,14.86638,379.4577
53,10,12,500565,URMA_WRITE,7,0ns,0,,0.0,11.37408,0.001,11.38022,352.0742
54,10,13,1405946,URMA_WRITE,7,0ns,0,,0.0,29.05056,0.001,29.05704,387.1722
55,14,15,1707426,URMA_WRITE,7,0ns,0,,0.0,34.83686,0.001,34.8401,392.0964
56,14,2,818886,URMA_WRITE,7,0ns,0,,0.0,18.08376,0.001,18.0899,362.2636
57,14,3,528025,URMA_WRITE,7,0ns,0,,0.0,11.37656,0.001,11.38304,371.3073
58,14,0,439192,URMA_WRITE,7,0ns,0,,0.0,9.5918,0.001,9.59828,366.3062
59,14,1,1485693,URMA_WRITE,7,0ns,0,,0.0,30.60408,0.001,30.61056,388.3647
60,3,0,1135592,URMA_WRITE,7,0ns,0,,0.0,23.17342,0.001,23.17666,392.0326
61,3,5,1349728,URMA_WRITE,7,0ns,0,,0.0,28.06206,0.001,28.06854,384.7837
62,3,6,1997203,URMA_WRITE,7,0ns,0,,0.0,41.77744,0.001,41.78392,382.4462
63,3,7,850755,URMA_WRITE,7,0ns,0,,0.0,18.84944,0.001,18.85558,361.0739
64,3,4,279696,URMA_WRITE,7,0ns,0,,0.0,6.19904,0.001,6.20552,360.954
65,7,4,845416,URMA_WRITE,7,0ns,0,,0.0,17.25294,0.001,17.25618,392.0102
66,7,9,353413,URMA_WRITE,7,0ns,0,,0.0,8.14794,0.001,8.15408,346.9962
67,7,10,742244,URMA_WRITE,7,0ns,0,,0.0,15.6252,0.001,15.63168,380.0241
68,7,11,1520270,URMA_WRITE,7,0ns,0,,0.0,31.92798,0.001,31.93446,380.9248
69,7,8,1142013,URMA_WRITE,7,0ns,0,,0.0,23.75962,0.001,23.7661,384.5223
70,11,8,573770,URMA_WRITE,7,0ns,0,,0.0,11.7121,0.001,11.71534,391.9161
71,11,13,682747,URMA_WRITE,7,0ns,0,,0.0,14.93152,0.001,14.938,365.8017
72,11,14,448979,URMA_WRITE,7,0ns,0,,0.0,10.18664,0.001,10.19278,352.6022
73,11,15,4197180,URMA_WRITE,7,0ns,0,,0.0,86.22166,0.001,86.39386,389.4316
74,11,12,904920,URMA_WRITE,7,0ns,0,,0.0,19.10164,0.001,19.10778,378.9915
75,15,12,664348,URMA_WRITE,7,0ns,0,,0.0,13.56046,0.001,13.5637,391.9324
76,15,1,1643018,URMA_WRITE,7,0ns,0,,0.0,33.77086,0.001,33.77734,389.2156
77,15,2,621856,URMA_WRITE,7,0ns,0,,0.0,14.00738,0.001,14.01352,355.1591
78,15,3,1031843,URMA_WRITE,7,0ns,0,,0.0,21.65096,0.001,21.6571,381.2646
79,15,0,1265190,URMA_WRITE,7,0ns,0,,0.0,26.28538,0.001,26.29186,385.0627
80,0,2,943593,URMA_WRITE,7,0ns,1,0.0,86.22166,105.62092,86.22266,105.62416,389.1254
81,0,8,594737,URMA_WRITE,7,0ns,1,0.0,86.22166,103.8877,86.22266,103.89384,269.3244
82,0,9,1473131,URMA_WRITE,7,0ns,1,0.0,86.22166,121.55716,86.22266,121.5633,333.5186
83,0,10,1052045,URMA_WRITE,7,0ns,1,0.0,86.22166,113.39644,86.22266,113.40258,309.7122
84,0,11,529775,URMA_WRITE,7,0ns,1,0.0,86.22166,102.52916,86.22266,102.5353,259.8927
85,4,6,1438747,URMA_WRITE,7,0ns,1,0.0,86.22166,116.0359,86.22266,116.03882,386.0563
86,4,12,920591,URMA_WRITE,7,0ns,1,0.0,86.22166,110.67976,86.22266,110.6859,301.1161
87,4,13,356726,URMA_WRITE,7,0ns,1,0.0,86.22166,98.46058,86.22266,98.46672,233.1748
88,4,14,597494,URMA_WRITE,7,0ns,1,0.0,86.22166,103.8867,86.22266,103.89284,270.5882
89,4,15,1026242,URMA_WRITE,7,0ns,1,0.0,86.22166,112.0503,86.22266,112.05644,317.8617
90,8,10,501396,URMA_WRITE,7,0ns,1,0.0,86.22166,100.49872,86.22266,100.50162,280.952
91,8,0,2412362,URMA_WRITE,7,0ns,1,0.0,86.22166,135.72776,86.22266,135.73424,389.8286
92,8,1,1112142,URMA_WRITE,7,0ns,1,0.0,86.22166,109.08468,86.22266,109.09116,389.1496
93,8,2,671609,URMA_WRITE,7,0ns,1,0.0,86.22166,100.18008,86.22266,100.18656,384.9198
94,8,3,516979,URMA_WRITE,7,0ns,1,0.0,86.22166,101.18614,86.22266,101.19228,276.3766
95,12,14,1330247,URMA_WRITE,7,0ns,1,0.0,86.22166,118.74948,86.22266,118.75238,327.1654
96,12,4,2256986,URMA_WRITE,7,0ns,1,0.0,86.22166,132.6675,86.22266,132.67398,388.7515
97,12,5,364007,URMA_WRITE,7,0ns,1,0.0,86.22166,98.46242,86.22266,98.46856,237.8983
98,12,6,1079113,URMA_WRITE,7,0ns,1,0.0,86.22166,108.57382,86.22266,108.5803,386.2224
99,12,7,647851,URMA_WRITE,7,0ns,1,0.0,86.22166,103.90362,86.22266,103.90976,293.1128
100,1,3,767877,URMA_WRITE,7,0ns,1,0.0,86.22166,101.94232,86.22266,101.94556,390.7607
101,1,11,421287,URMA_WRITE,7,0ns,1,0.0,86.22166,99.81868,86.22266,99.82482,247.8702
102,1,8,238022,URMA_WRITE,7,0ns,1,0.0,86.22166,95.74682,86.22266,95.75296,199.9101
103,1,9,3373130,URMA_WRITE,7,0ns,1,0.0,86.22166,155.1923,86.22266,155.3645,391.254
104,1,10,170577,URMA_WRITE,7,0ns,1,0.0,86.22166,94.38624,86.22266,94.39238,167.1385
105,5,7,956965,URMA_WRITE,7,0ns,1,0.0,86.22166,110.60404,86.22266,110.60694,313.9858
106,5,15,227105,URMA_WRITE,7,0ns,1,0.0,86.22166,95.7431,86.22266,95.74924,190.8157
107,5,12,2095098,URMA_WRITE,7,0ns,1,0.0,86.22166,129.17856,86.22266,129.18504,390.1768
108,5,13,815799,URMA_WRITE,7,0ns,1,0.0,86.22166,107.97056,86.22266,107.9767,300.0792
109,5,14,324863,URMA_WRITE,7,0ns,1,0.0,86.22166,97.11116,86.22266,97.1173,238.6615
110,9,11,455611,URMA_WRITE,7,0ns,1,0.0,86.22166,99.74316,86.22266,99.74606,269.5624
111,9,3,998305,URMA_WRITE,7,0ns,1,0.0,86.22166,111.99752,86.22266,112.00366,309.8418
