nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08872,168.75076,683802,32.43
0,0,Tx,0.001,168.74494,401637,19.04
0,1,Rx,86.30714,105.62092,446515,184.95
0,1,Tx,86.22266,105.62192,969622,399.86
0,2,Rx,0.08548,164.35626,1161671,56.57
0,2,Tx,0.08648,164.35726,476755,23.22
0,3,Rx,0.17096,229.42202,4062741,141.77
0,3,Tx,0.001,229.42302,7736003,269.76
0,4,Rx,0.17096,162.41616,2848602,140.46
0,4,Tx,0.001,162.19424,2372130,117.0
0,5,Rx,0.17096,164.25124,2766822,134.9
0,5,Tx,0.001,164.25224,3657404,178.14
0,6,Rx,0.17096,169.6353,3188395,150.52
0,6,Tx,0.001,169.47564,1742562,82.26
1,0,Rx,0.08548,168.74752,397542,18.86
1,0,Tx,0.08648,168.74852,683802,32.43
1,1,Rx,0.08872,186.09026,1566732,67.39
1,1,Tx,0.001,186.08444,1392034,59.85
1,2,Rx,86.30714,101.94232,155633,79.63
1,2,Tx,86.22266,101.94332,785692,399.83
1,3,Rx,0.17096,253.52992,4904366,154.86
1,3,Tx,0.001,253.53092,5868539,185.18
1,4,Rx,0.17096,170.64712,5122336,240.38
1,4,Tx,0.001,170.64754,2280385,106.91
1,5,Rx,0.17096,187.83256,2766839,117.95
1,5,Tx,0.001,187.82026,5381649,229.23
1,6,Rx,0.17096,185.59556,5089765,219.59
1,6,Tx,0.001,185.32742,1042395,45.0
2,0,Rx,86.30714,105.62416,965510,399.86
2,0,Tx,86.22266,105.61834,450610,185.86
2,1,Rx,0.08548,186.08702,1387939,59.7
2,1,Tx,0.08648,186.08802,1566732,67.39
2,2,Rx,0.08872,201.97432,2345617,92.95
2,2,Tx,0.001,201.9685,467560,18.52
2,3,Rx,0.17096,185.64598,2978975,128.49
2,3,Tx,0.001,185.64698,3888134,167.55
2,4,Rx,0.17096,172.35298,2742832,127.44
2,4,Tx,0.001,172.19572,2072752,96.3
2,5,Rx,0.17096,219.77742,4710810,171.61
2,5,Tx,0.001,219.77842,5845392,212.77
2,6,Rx,0.17096,195.39656,3795375,155.53
2,6,Tx,0.001,195.38426,3125662,127.98
3,0,Rx,0.08872,164.3595,476755,23.22
3,0,Tx,0.001,164.35368,1165766,56.74
3,1,Rx,86.30714,101.94556,781580,399.83
3,1,Tx,86.22266,101.93974,159728,81.3
3,2,Rx,0.08548,201.97108,463465,18.37
3,2,Tx,0.08648,201.97208,2345617,92.95
3,3,Rx,0.17096,187.28972,2908431,124.35
3,3,Tx,0.001,187.29072,4250135,181.54
3,4,Rx,0.17096,164.62274,1409788,68.58
3,4,Tx,0.001,164.37692,2965543,144.33
3,5,Rx,0.17096,190.23996,3117820,131.23
3,5,Tx,0.001,190.22766,3447892,145.0
3,6,Rx,0.17096,189.8925,1947356,82.11
3,6,Tx,0.001,189.8935,2955192,124.5
4,0,Rx,0.08872,179.64568,1256444,55.98
4,0,Tx,0.001,179.63986,2126124,94.68
4,1,Rx,86.30714,116.03962,1441733,387.92
4,1,Tx,86.22266,116.03658,1490625,399.98
4,2,Rx,0.08548,168.784,869289,41.22
4,2,Tx,0.08648,168.785,693265,32.88
4,3,Rx,0.17096,189.84622,7422443,313.06
4,3,Tx,0.001,189.83392,2465589,103.91
4,4,Rx,0.17096,176.91466,3525012,159.55
4,4,Tx,0.001,176.90236,1759313,79.56
4,5,Rx,0.17096,190.84412,5627102,236.09
4,5,Tx,0.001,190.83182,3338510,139.96
4,6,Rx,0.17096,179.05336,2687529,120.19
4,6,Tx,0.001,179.05436,5607146,250.52
5,0,Rx,0.08548,179.64244,2122029,94.55
5,0,Tx,0.08648,179.64344,1256444,55.98
5,1,Rx,0.08872,173.65508,983863,45.35
5,1,Tx,0.001,173.64926,3783274,174.3
5,2,Rx,86.30714,118.63332,1615968,399.92
5,2,Tx,86.22266,118.6275,1002052,247.38
5,3,Rx,0.17096,180.41964,4395939,195.11
5,3,Tx,0.001,180.27482,1504393,66.76
5,4,Rx,0.17096,185.27458,2468861,106.7
5,4,Tx,0.001,185.26228,2847466,122.96
5,5,Rx,0.17096,187.82608,4053671,172.81
5,5,Tx,0.001,187.82708,3925327,167.19
5,6,Rx,0.17096,195.39008,2989212,122.5
5,6,Tx,0.001,195.39108,3093022,126.64
6,0,Rx,86.30714,116.03882,1486513,399.98
6,0,Tx,86.22266,116.03738,1445845,387.95
6,1,Rx,0.08548,173.65184,3779179,174.19
6,1,Tx,0.08648,173.65284,983863,45.35
6,2,Rx,0.08872,164.64984,490409,23.84
6,2,Tx,0.001,164.64402,1112537,54.06
6,3,Rx,0.17096,187.18476,5075423,217.11
6,3,Tx,0.001,187.17246,2476289,105.84
6,4,Rx,0.17096,198.28814,5972802,241.18
6,4,Tx,0.001,198.27584,3554892,143.43
6,5,Rx,0.17096,180.52942,4527785,200.83
6,5,Tx,0.001,180.51712,4016694,178.01
6,6,Rx,0.17096,195.45446,3960935,162.26
6,6,Tx,0.001,195.44216,3929760,160.86
7,0,Rx,0.08872,168.78724,693265,32.88
