taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,382917,URMA_WRITE,7,0ns,0,
1,0,4,3306416,URMA_WRITE,7,0ns,0,
2,0,5,555856,URMA_WRITE,7,0ns,0,
3,0,6,2071089,URMA_WRITE,7,0ns,0,
4,0,7,476100,URMA_WRITE,7,0ns,0,
5,4,5,2064922,URMA_WRITE,7,0ns,0,
6,4,8,530308,URMA_WRITE,7,0ns,0,
7,4,9,700215,URMA_WRITE,7,0ns,0,
8,4,10,1925602,URMA_WRITE,7,0ns,0,
9,4,11,3297442,URMA_WRITE,7,0ns,0,
10,8,9,1206680,URMA_WRITE,7,0ns,0,
11,8,12,1075310,URMA_WRITE,7,0ns,0,
12,8,13,1702101,URMA_WRITE,7,0ns,0,
13,8,14,429811,URMA_WRITE,7,0ns,0,
14,8,15,1145544,URMA_WRITE,7,0ns,0,
15,12,13,581872,URMA_WRITE,7,0ns,0,
16,12,0,603933,URMA_WRITE,7,0ns,0,
17,12,1,3266662,URMA_WRITE,7,0ns,0,
18,12,2,3197907,URMA_WRITE,7,0ns,0,
19,12,3,217657,URMA_WRITE,7,0ns,0,
20,1,2,1340071,URMA_WRITE,7,0ns,0,
21,1,7,473737,URMA_WRITE,7,0ns,0,
22,1,4,1190844,URMA_WRITE,7,0ns,0,
23,1,5,309517,URMA_WRITE,7,0ns,0,
24,1,6,603209,URMA_WRITE,7,0ns,0,
25,5,6,3694495,URMA_WRITE,7,0ns,0,
26,5,11,690637,URMA_WRITE,7,0ns,0,
27,5,8,323808,URMA_WRITE,7,0ns,0,
28,5,9,1398959,URMA_WRITE,7,0ns,0,
29,5,10,718518,URMA_WRITE,7,0ns,0,
30,9,10,884478,URMA_WRITE,7,0ns,0,
31,9,15,398036,URMA_WRITE,7,0ns,0,
32,9,12,1607758,URMA_WRITE,7,0ns,0,
33,9,13,735985,URMA_WRITE,7,0ns,0,
34,9,14,303047,URMA_WRITE,7,0ns,0,
35,13,14,1403042,URMA_WRITE,7,0ns,0,
36,13,3,1302763,URMA_WRITE,7,0ns,0,
37,13,0,655430,URMA_WRITE,7,0ns,0,
38,13,1,871469,URMA_WRITE,7,0ns,0,
39,13,2,823911,URMA_WRITE,7,0ns,0,
40,2,3,421206,URMA_WRITE,7,0ns,0,
