taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1118481,URMA_WRITE,7,0ns,0,,0.0,72.30884,2.0328,72.31498,123.7449
1,0,1,1118482,URMA_WRITE,7,0ns,1,,0.0,23.19236,0.001,23.19502,385.8105
2,0,14,1118481,URMA_WRITE,7,0ns,2,,0.0,72.23074,1.01492,72.23722,123.8787
3,0,2,1118481,URMA_WRITE,7,0ns,3,,0.0,23.19236,0.001,23.19502,385.8102
4,0,13,1118481,URMA_WRITE,7,0ns,4,,0.0,72.30726,0.848,72.31374,123.7476
5,0,3,1118481,URMA_WRITE,7,0ns,5,,0.0,23.19236,0.001,23.19502,385.8102
6,0,12,1118481,URMA_WRITE,7,0ns,6,,0.0,71.95916,0.847,72.46594,124.3462
7,0,4,1118481,URMA_WRITE,7,0ns,7,,0.0,72.30038,0.001,72.30648,123.7593
8,0,11,1118481,URMA_WRITE,7,0ns,8,,0.0,73.18562,0.50288,73.54442,122.2624
9,0,5,1118481,URMA_WRITE,7,0ns,9,,0.0,70.8866,0.002,72.20908,126.2276
10,0,10,1118481,URMA_WRITE,7,0ns,10,,0.0,72.02016,0.4194,72.0263,124.2409
11,0,6,1118481,URMA_WRITE,7,0ns,11,,0.0,72.30196,0.003,72.30772,123.7566
12,0,9,1118481,URMA_WRITE,7,0ns,12,,0.0,72.29474,0.33592,72.36226,123.769
13,0,7,1118481,URMA_WRITE,7,0ns,13,,0.0,72.29316,0.16896,72.29948,123.7717
14,0,8,1118481,URMA_WRITE,7,0ns,14,,0.0,72.12684,0.25244,72.15992,124.0571
15,1,0,1118482,URMA_WRITE,7,0ns,15,,0.0,23.19236,0.001,23.19502,385.8105
16,1,2,1118481,URMA_WRITE,7,0ns,16,,0.0,23.19234,0.001,23.195,385.8105
17,1,15,1118481,URMA_WRITE,7,0ns,17,,0.0,72.12708,1.01496,72.22382,124.0567
18,1,3,1118481,URMA_WRITE,7,0ns,18,,0.0,23.19234,0.001,23.195,385.8105
19,1,14,1118481,URMA_WRITE,7,0ns,19,,0.0,72.73878,1.01396,72.78216,123.0134
20,1,4,1118481,URMA_WRITE,7,0ns,20,,0.0,71.12578,0.001,71.13186,125.8032
21,1,13,1118481,URMA_WRITE,7,0ns,21,,0.0,72.31254,0.93144,72.31902,123.7385
22,1,5,1118481,URMA_WRITE,7,0ns,22,,0.0,71.12736,0.002,71.13362,125.8004
23,1,12,1118481,URMA_WRITE,7,0ns,23,,0.0,72.27826,0.58636,72.46718,123.7972
24,1,6,1118481,URMA_WRITE,7,0ns,24,,0.0,71.1374,0.003,72.23792,125.7826
25,1,11,1118481,URMA_WRITE,7,0ns,25,,0.0,73.44678,0.50288,73.63816,121.8276
26,1,7,1118481,URMA_WRITE,7,0ns,26,,0.0,71.97486,0.16896,72.23916,124.3191
27,1,10,1118481,URMA_WRITE,7,0ns,27,,0.0,71.79158,0.4194,72.0405,124.6365
28,1,8,1118481,URMA_WRITE,7,0ns,28,,0.0,72.15098,0.25244,72.15744,124.0156
29,1,9,1118481,URMA_WRITE,7,0ns,29,,0.0,71.01944,0.33592,72.382,125.9915
30,2,1,1118481,URMA_WRITE,7,0ns,30,,0.0,23.19234,0.001,23.195,385.8105
31,2,3,1118481,URMA_WRITE,7,0ns,31,,0.0,23.19234,0.001,23.195,385.8105
32,2,0,1118482,URMA_WRITE,7,0ns,32,,0.0,23.19234,0.001,23.19502,385.8108
33,2,4,1118481,URMA_WRITE,7,0ns,33,,0.0,72.29396,0.001,72.3002,123.7703
34,2,15,1118481,URMA_WRITE,7,0ns,34,,0.0,71.6964,1.0152,71.86308,124.8019
35,2,5,1118481,URMA_WRITE,7,0ns,35,,0.0,70.88344,0.001,71.10308,126.2333
36,2,14,1118481,URMA_WRITE,7,0ns,36,,0.0,72.30174,1.0142,72.7719,123.757
37,2,6,1118481,URMA_WRITE,7,0ns,37,,0.0,70.71984,0.002,72.24212,126.5253
38,2,13,1118481,URMA_WRITE,7,0ns,38,,0.0,72.20746,1.0132,72.22204,123.9186
39,2,7,1118481,URMA_WRITE,7,0ns,39,,0.0,71.97644,0.003,72.24336,124.3163
40,2,12,1118481,URMA_WRITE,7,0ns,40,,0.0,72.12406,0.50288,72.46842,124.0619
41,2,8,1118481,URMA_WRITE,7,0ns,41,,0.0,72.15256,0.16896,72.15868,124.0129
42,2,11,1118481,URMA_WRITE,7,0ns,42,,0.0,71.86584,0.4194,71.95028,124.5077
43,2,9,1118481,URMA_WRITE,7,0ns,43,,0.0,70.99668,0.25244,71.07982,126.0319
44,2,10,1118481,URMA_WRITE,7,0ns,44,,0.0,70.46946,0.33592,70.52546,126.9748
45,3,2,1118481,URMA_WRITE,7,0ns,45,,0.0,23.19234,0.001,23.195,385.8105
46,3,4,1118481,URMA_WRITE,7,0ns,46,,0.0,73.77862,0.001,73.7851,121.2797
47,3,1,1118481,URMA_WRITE,7,0ns,47,,0.0,23.19234,0.001,23.195,385.8105
48,3,5,1118481,URMA_WRITE,7,0ns,48,,0.0,70.86398,0.001,71.01712,126.2679
49,3,0,1118482,URMA_WRITE,7,0ns,49,,0.0,23.19234,0.001,23.19502,385.8108
50,3,6,1118481,URMA_WRITE,7,0ns,50,,0.0,73.79272,0.001,73.7992,121.2565
51,3,15,1118481,URMA_WRITE,7,0ns,51,,0.0,73.80242,0.5876,73.8082,121.2406
52,3,7,1118481,URMA_WRITE,7,0ns,52,,0.0,73.7943,0.002,73.80044,121.2539
53,3,14,1118481,URMA_WRITE,7,0ns,53,,0.0,73.50438,1.01444,73.5107,121.7322
54,3,8,1118481,URMA_WRITE,7,0ns,54,,0.0,73.78336,0.003,73.78934,121.2719
55,3,13,1118481,URMA_WRITE,7,0ns,55,,0.0,73.6798,0.58636,73.68628,121.4423
56,3,9,1118481,URMA_WRITE,7,0ns,56,,0.0,73.78494,0.16896,73.7911,121.2693
57,3,12,1118481,URMA_WRITE,7,0ns,57,,0.0,70.86556,0.4194,71.13144,126.2651
58,3,10,1118481,URMA_WRITE,7,0ns,58,,0.0,71.0385,0.25244,71.05582,125.9577
59,3,11,1118481,URMA_WRITE,7,0ns,59,,0.0,73.90974,0.33592,73.92784,121.0645
60,4,3,1118481,URMA_WRITE,7,0ns,60,,0.0,70.35846,0.001,73.81674,127.1752
61,4,5,1118481,URMA_WRITE,7,0ns,61,,0.0,23.19234,0.001,23.195,385.8105
62,4,2,1118481,URMA_WRITE,7,0ns,62,,0.0,72.29346,0.001,72.30016,123.7712
63,4,6,1118481,URMA_WRITE,7,0ns,63,,0.0,23.19234,0.001,23.195,385.8105
64,4,1,1118481,URMA_WRITE,7,0ns,64,,0.0,71.1169,0.001,71.13458,125.8189
65,4,7,1118481,URMA_WRITE,7,0ns,65,,0.0,23.19234,0.001,23.195,385.8105
66,4,0,1118482,URMA_WRITE,7,0ns,66,,0.0,71.7764,0.001,72.31008,124.6629
67,4,8,1118481,URMA_WRITE,7,0ns,67,,0.0,72.15572,0.002,72.1624,124.0075
68,4,15,1118481,URMA_WRITE,7,0ns,68,,0.0,70.94402,0.58636,70.9543,126.1255
69,4,9,1118481,URMA_WRITE,7,0ns,69,,0.0,71.0508,0.003,71.08478,125.9359
70,4,14,1118481,URMA_WRITE,7,0ns,70,,0.0,71.05982,0.50288,71.35096,125.9199
71,4,10,1118481,URMA_WRITE,7,0ns,71,,0.0,71.04234,0.16896,71.04904,125.9509
72,4,13,1118481,URMA_WRITE,7,0ns,72,,0.0,71.0825,0.4194,71.0886,125.8798
73,4,11,1118481,URMA_WRITE,7,0ns,73,,0.0,73.0956,0.25244,73.63072,122.4129
74,4,12,1118481,URMA_WRITE,7,0ns,74,,0.0,70.94264,0.33592,72.46966,126.1279
75,5,4,1118481,URMA_WRITE,7,0ns,75,,0.0,23.19234,0.001,23.195,385.8105
76,5,6,1118481,URMA_WRITE,7,0ns,76,,0.0,23.19234,0.001,23.195,385.8105
77,5,3,1118481,URMA_WRITE,7,0ns,77,,0.0,70.86888,0.001,70.87536,126.2592
78,5,7,1118481,URMA_WRITE,7,0ns,78,,0.0,23.19234,0.001,23.195,385.8105
79,5,2,1118481,URMA_WRITE,7,0ns,79,,0.0,71.01588,0.001,71.02236,125.9978
80,5,8,1118481,URMA_WRITE,7,0ns,80,,0.0,72.21698,0.001,72.22192,123.9023
81,5,1,1118481,URMA_WRITE,7,0ns,81,,0.0,70.69614,0.001,71.14112,126.5677
82,5,9,1118481,URMA_WRITE,7,0ns,82,,0.0,71.5233,0.002,71.52944,125.104
83,5,0,1118482,URMA_WRITE,7,0ns,83,,0.0,72.21856,2.03156,72.22492,123.8997
84,5,10,1118481,URMA_WRITE,7,0ns,84,,0.0,70.22996,0.003,70.82624,127.4078
85,5,15,1118481,URMA_WRITE,7,0ns,85,,0.0,71.26712,0.50288,71.38756,125.5537
86,5,11,1118481,URMA_WRITE,7,0ns,86,,0.0,70.89096,0.16896,73.72288,126.2199
87,5,14,1118481,URMA_WRITE,7,0ns,87,,0.0,72.6465,0.4194,72.7834,123.1697
88,5,12,1118481,URMA_WRITE,7,0ns,88,,0.0,71.02712,0.25244,71.12896,125.9779
89,5,13,1118481,URMA_WRITE,7,0ns,89,,0.0,70.9029,0.33592,71.07586,126.1986
90,6,5,1118481,URMA_WRITE,7,0ns,90,,0.0,23.19234,0.001,23.195,385.8105
91,6,7,1118481,URMA_WRITE,7,0ns,91,,0.0,23.19234,0.001,23.195,385.8105
92,6,4,1118481,URMA_WRITE,7,0ns,92,,0.0,23.19234,0.001,23.195,385.8105
93,6,8,1118481,URMA_WRITE,7,0ns,93,,0.0,71.11888,0.001,71.16868,125.8154
94,6,3,1118481,URMA_WRITE,7,0ns,94,,0.0,73.17536,0.001,73.8049,122.2795
95,6,9,1118481,URMA_WRITE,7,0ns,95,,0.0,69.69686,0.001,72.3547,128.3824
96,6,2,1118481,URMA_WRITE,7,0ns,96,,0.0,72.2477,0.001,72.25366,123.8496
97,6,10,1118481,URMA_WRITE,7,0ns,97,,0.0,71.54884,0.002,71.55498,125.0593
98,6,1,1118481,URMA_WRITE,7,0ns,98,,0.0,72.24824,1.0122,72.25436,123.8487
99,6,11,1118481,URMA_WRITE,7,0ns,99,,0.0,71.1349,0.003,73.91104,125.787
100,6,0,1118482,URMA_WRITE,7,0ns,100,,0.0,72.2906,1.01344,72.31132,123.7762
101,6,12,1118481,URMA_WRITE,7,0ns,101,,0.0,71.12892,0.16896,72.44868,125.7976
102,6,15,1118481,URMA_WRITE,7,0ns,102,,0.0,71.28428,0.4194,71.3888,125.5234
103,6,13,1118481,URMA_WRITE,7,0ns,103,,0.0,71.1305,0.25244,71.1878,125.7948
104,6,14,1118481,URMA_WRITE,7,0ns,104,,0.0,71.19256,0.33592,72.77596,125.6852
105,7,6,1118481,URMA_WRITE,7,0ns,105,,0.0,23.19234,0.001,23.195,385.8105
106,7,8,1118481,URMA_WRITE,7,0ns,106,,0.0,72.18234,0.001,72.18808,123.9617
107,7,5,1118481,URMA_WRITE,7,0ns,107,,0.0,23.19234,0.001,23.195,385.8105
108,7,9,1118481,URMA_WRITE,7,0ns,108,,0.0,71.9286,0.001,71.94236,124.399
109,7,4,1118481,URMA_WRITE,7,0ns,109,,0.0,23.19234,0.001,23.195,385.8105
110,7,10,1118481,URMA_WRITE,7,0ns,110,,0.0,69.80614,0.001,71.05988,128.1814
111,7,3,1118481,URMA_WRITE,7,0ns,111,,0.0,73.25884,0.001,73.80614,122.1402
112,7,11,1118481,URMA_WRITE,7,0ns,112,,0.0,71.3741,0.002,73.72536,125.3655
113,7,2,1118481,URMA_WRITE,7,0ns,113,,0.0,72.25002,0.5876,72.25618,123.8456
114,7,12,1118481,URMA_WRITE,7,0ns,114,,0.0,71.37568,0.003,71.95556,125.3627
115,7,1,1118481,URMA_WRITE,7,0ns,115,,0.0,72.24682,0.50288,72.25312,123.8511
116,7,13,1118481,URMA_WRITE,7,0ns,116,,0.0,71.1389,0.16896,71.94484,125.78
117,7,0,1118482,URMA_WRITE,7,0ns,117,,0.0,72.20024,0.4194,72.3032,123.9311
118,7,14,1118481,URMA_WRITE,7,0ns,118,,0.0,71.97728,0.25244,72.7772,124.3149
119,7,15,1118481,URMA_WRITE,7,0ns,119,,0.0,72.01732,0.33592,72.0238,124.2458
120,8,7,1118481,URMA_WRITE,7,0ns,120,,0.0,71.21966,0.001,72.17444,125.6373
121,8,9,1118481,URMA_WRITE,7,0ns,121,,0.0,23.19234,0.001,23.195,385.8105
122,8,6,1118481,URMA_WRITE,7,0ns,122,,0.0,70.97172,0.001,71.13332,126.0762
123,8,10,1118481,URMA_WRITE,7,0ns,123,,0.0,23.19234,0.001,23.195,385.8105
124,8,5,1118481,URMA_WRITE,7,0ns,124,,0.0,72.21274,0.001,72.2198,123.9095
125,8,11,1118481,URMA_WRITE,7,0ns,125,,0.0,23.19234,0.001,23.195,385.8105
126,8,4,1118481,URMA_WRITE,7,0ns,126,,0.0,71.61096,0.001,71.77882,124.9508
127,8,12,1118481,URMA_WRITE,7,0ns,127,,0.0,71.15898,0.002,71.16546,125.7445
128,8,3,1118481,URMA_WRITE,7,0ns,128,,0.0,73.60156,0.75332,73.80738,121.5714
129,8,13,1118481,URMA_WRITE,7,0ns,129,,0.0,71.2165,0.003,72.16474,125.6429
130,8,2,1118481,URMA_WRITE,7,0ns,130,,0.0,72.12478,0.58636,72.1406,124.0607
131,8,14,1118481,URMA_WRITE,7,0ns,131,,0.0,72.1474,0.16896,72.78746,124.0218
132,8,1,1118481,URMA_WRITE,7,0ns,132,,0.0,72.04138,0.4194,72.12774,124.2043
133,8,15,1118481,URMA_WRITE,7,0ns,133,,0.0,71.21808,0.25244,72.16598,125.6401
134,8,0,1118482,URMA_WRITE,7,0ns,134,,0.0,72.16788,0.33592,72.17884,123.9867
135,9,8,1118481,URMA_WRITE,7,0ns,135,,0.0,23.19234,0.001,23.195,385.8105
136,9,10,1118481,URMA_WRITE,7,0ns,136,,0.0,23.19234,0.001,23.195,385.8105
137,9,7,1118481,URMA_WRITE,7,0ns,137,,0.0,71.96696,0.001,71.9729,124.3327
138,9,11,1118481,URMA_WRITE,7,0ns,138,,0.0,23.19234,0.001,23.195,385.8105
139,9,6,1118481,URMA_WRITE,7,0ns,139,,0.0,72.3758,0.001,72.38184,123.6304
140,9,12,1118481,URMA_WRITE,7,0ns,140,,0.0,72.36666,0.001,72.47654,123.646
141,9,5,1118481,URMA_WRITE,7,0ns,141,,0.0,71.53102,0.001,71.5375,125.0905
142,9,13,1118481,URMA_WRITE,7,0ns,142,,0.0,72.36824,0.002,72.37408,123.6433
143,9,4,1118481,URMA_WRITE,7,0ns,143,,0.0,70.89546,1.0122,71.057,126.2119
144,9,14,1118481,URMA_WRITE,7,0ns,144,,0.0,72.36982,0.003,72.77968,123.6406
145,9,3,1118481,URMA_WRITE,7,0ns,145,,0.0,73.68504,0.66984,73.79678,121.4337
146,9,15,1118481,URMA_WRITE,7,0ns,146,,0.0,72.3714,0.16896,72.37784,123.6379
147,9,2,1118481,URMA_WRITE,7,0ns,147,,0.0,70.88576,0.4194,71.01228,126.2291
148,9,0,1118482,URMA_WRITE,7,0ns,148,,0.0,72.37298,0.25244,72.37908,123.6353
149,9,1,1118481,URMA_WRITE,7,0ns,149,,0.0,72.35346,0.33592,72.36084,123.6686
150,10,9,1118481,URMA_WRITE,7,0ns,150,,0.0,23.19234,0.001,23.195,385.8105
151,10,11,1118481,URMA_WRITE,7,0ns,151,,0.0,23.19234,0.001,23.195,385.8105
152,10,8,1118481,URMA_WRITE,7,0ns,152,,0.0,23.19234,0.001,23.195,385.8105
153,10,12,1118481,URMA_WRITE,7,0ns,153,,0.0,72.36638,0.001,72.47372,123.6465
154,10,7,1118481,URMA_WRITE,7,0ns,154,,0.0,70.94222,0.001,70.96472,126.1287
155,10,13,1118481,URMA_WRITE,7,0ns,155,,0.0,71.08408,0.001,71.08984,125.877
156,10,6,1118481,URMA_WRITE,7,0ns,156,,0.0,71.55656,0.001,71.56304,125.0458
157,10,14,1118481,URMA_WRITE,7,0ns,157,,0.0,72.06392,0.002,72.78092,124.1654
158,10,5,1118481,URMA_WRITE,7,0ns,158,,0.0,70.83182,0.92948,71.01058,126.3253
159,10,15,1118481,URMA_WRITE,7,0ns,159,,0.0,71.05052,0.003,71.39906,125.9364
160,10,4,1118481,URMA_WRITE,7,0ns,160,,0.0,70.86754,0.92848,71.05204,126.2616
161,10,0,1118482,URMA_WRITE,7,0ns,161,,0.0,72.14694,0.16896,72.30568,124.0227
162,10,3,1118481,URMA_WRITE,7,0ns,162,,0.0,71.05334,0.4194,71.059,125.9314
163,10,1,1118481,URMA_WRITE,7,0ns,163,,0.0,72.22822,0.25244,72.2344,123.883
164,10,2,1118481,URMA_WRITE,7,0ns,164,,0.0,70.52298,0.33592,70.52864,126.8785
165,11,10,1118481,URMA_WRITE,7,0ns,165,,0.0,23.19234,0.001,23.195,385.8105
166,11,12,1118481,URMA_WRITE,7,0ns,166,,0.0,73.72694,0.001,73.73342,121.3647
167,11,9,1118481,URMA_WRITE,7,0ns,167,,0.0,23.19234,0.001,23.195,385.8105
168,11,13,1118481,URMA_WRITE,7,0ns,168,,0.0,71.07968,0.001,71.0856,125.8848
169,11,8,1118481,URMA_WRITE,7,0ns,169,,0.0,23.19234,0.001,23.195,385.8105
170,11,14,1118481,URMA_WRITE,7,0ns,170,,0.0,71.18502,0.001,72.76942,125.6985
171,11,7,1118481,URMA_WRITE,7,0ns,171,,0.0,73.35084,0.001,73.357,121.987
172,11,15,1118481,URMA_WRITE,7,0ns,172,,0.0,73.54318,0.002,73.54966,121.668
173,11,6,1118481,URMA_WRITE,7,0ns,173,,0.0,73.81696,0.92948,73.82344,121.2167
