nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,23.19502,1155406,399.98
0,0,Tx,0.001,23.19278,1159518,399.98
0,1,Rx,0.08548,23.19502,1155406,399.98
0,1,Tx,0.001,23.19278,1159517,399.98
0,2,Rx,0.08548,23.19502,1155406,399.98
0,2,Tx,0.001,23.19278,1159517,399.98
0,3,Rx,0.17096,71.97328,3400990,378.93
0,3,Tx,0.001,71.97428,3343709,371.66
0,4,Rx,0.17096,72.31628,3545594,393.16
0,4,Tx,0.001,72.3095,3470815,384.0
0,5,Rx,0.17096,72.37908,3481133,385.68
0,5,Tx,0.001,72.23174,3607983,399.61
0,6,Rx,0.17096,73.4562,3470587,378.86
0,6,Tx,0.001,73.18662,3492233,381.74
1,0,Rx,0.08548,23.19502,1155406,399.98
1,0,Tx,0.001,23.19278,1159518,399.98
1,1,Rx,0.08548,23.195,1155405,399.98
1,1,Tx,0.001,23.19276,1159517,399.98
1,2,Rx,0.08548,23.195,1155405,399.98
1,2,Tx,0.001,23.19276,1159517,399.98
1,3,Rx,0.17096,71.97486,3406646,379.55
1,3,Tx,0.001,71.97586,3410758,379.11
1,4,Rx,0.17096,72.7644,3532438,389.28
1,4,Tx,0.001,72.73978,3483967,383.18
1,5,Rx,0.25444,72.36084,3487050,386.88
1,5,Tx,0.001,72.15198,3407851,377.86
1,6,Rx,0.25444,73.55166,3472158,378.97
1,6,Tx,0.001,73.44778,3612164,393.45
2,0,Rx,0.08548,23.19502,1155405,399.98
2,0,Tx,0.001,23.19278,1159518,399.98
2,1,Rx,0.08548,23.195,1155405,399.98
2,1,Tx,0.001,23.19276,1159517,399.98
2,2,Rx,0.08548,23.195,1155405,399.98
2,2,Tx,0.001,23.19276,1159517,399.98
2,3,Rx,0.17096,71.97644,3464724,386.01
2,3,Tx,0.001,71.97744,3420597,380.19
2,4,Rx,0.17096,72.73744,3472158,382.78
2,4,Tx,0.001,72.30274,3612164,399.68
2,5,Rx,0.17096,72.15256,3474360,386.14
2,5,Tx,0.001,72.15356,3474088,385.19
2,6,Rx,0.33792,72.27692,3487050,387.78
2,6,Tx,0.001,70.9946,3407851,384.02
3,0,Rx,0.08548,23.19502,1155405,399.98
3,0,Tx,0.001,23.19278,1159518,399.98
3,1,Rx,0.08548,23.195,1155405,399.98
3,1,Tx,0.001,23.19276,1159517,399.98
3,2,Rx,0.08548,23.195,1155405,399.98
3,2,Tx,0.001,23.19276,1159517,399.98
3,3,Rx,0.17096,70.83282,3398081,384.71
3,3,Tx,0.001,70.81946,3424113,386.8
3,4,Rx,0.17096,72.74026,3412507,376.19
3,4,Tx,0.001,72.38512,3482394,384.88
3,5,Rx,0.17096,72.15414,3421072,380.21
3,5,Tx,0.001,72.15514,3469039,384.63
3,6,Rx,0.17096,73.92936,3666632,397.69
3,6,Tx,0.001,73.91074,3539194,383.08
4,0,Rx,0.08548,23.195,1155405,399.98
4,0,Tx,0.001,23.19276,1159517,399.98
4,1,Rx,0.08548,23.195,1155405,399.98
4,1,Tx,0.001,23.19276,1159517,399.98
4,2,Rx,0.08548,23.195,1155405,399.98
4,2,Tx,0.001,23.19276,1159517,399.98
4,3,Rx,0.17096,71.17392,3532438,398.0
4,3,Tx,0.001,71.06282,3483968,392.22
4,4,Rx,0.17096,72.30648,3488121,386.84
4,4,Tx,0.001,72.2939,3474697,384.51
4,5,Rx,0.17096,72.15572,3412304,379.23
4,5,Tx,0.001,72.15672,3477807,385.59
4,6,Rx,0.17096,73.7851,3465389,376.6
4,6,Tx,0.001,73.0966,3478269,380.68
5,0,Rx,0.08548,23.195,1155405,399.98
5,0,Tx,0.001,23.19276,1159517,399.98
5,1,Rx,0.08548,23.195,1155405,399.98
5,1,Tx,0.001,23.19276,1159517,399.98
5,2,Rx,0.08548,23.195,1155405,399.98
5,2,Tx,0.001,23.19276,1159517,399.98
5,3,Rx,0.17096,71.5375,3546904,397.6
5,3,Tx,0.001,71.5252,3542231,396.2
5,4,Rx,0.17096,72.7812,3469311,382.24
5,4,Tx,0.001,72.6475,3420801,376.71
5,5,Rx,0.17096,72.2198,3475471,385.9
5,5,Tx,0.001,72.21944,3540934,392.25
5,6,Rx,0.17096,73.354,3406646,372.4
5,6,Tx,0.001,70.89196,3410758,384.9
6,0,Rx,0.08548,23.195,1155405,399.98
6,0,Tx,0.001,23.19276,1159517,399.98
6,1,Rx,0.08548,23.195,1155405,399.98
6,1,Tx,0.001,23.19276,1159517,399.98
6,2,Rx,0.08548,23.195,1155405,399.98
6,2,Tx,0.001,23.19276,1159517,399.98
6,3,Rx,0.17096,71.56304,3540338,396.72
6,3,Tx,0.001,71.55074,3412923,381.6
6,4,Rx,0.17096,72.75606,3537527,389.89
6,4,Tx,0.001,72.2916,3537255,391.45
6,5,Rx,0.17096,72.38184,3349639,371.1
6,5,Tx,0.001,71.28528,3467766,389.18
6,6,Rx,0.17096,73.82344,3470788,376.99
6,6,Tx,0.001,73.17636,3496820,382.29
7,0,Rx,0.08548,23.195,1155405,399.98
7,0,Tx,0.001,23.19276,1159517,399.98
7,1,Rx,0.08548,23.195,1155405,399.98
7,1,Tx,0.001,23.19276,1159517,399.98
7,2,Rx,0.08548,23.195,1155405,399.98
7,2,Tx,0.001,23.19276,1159517,399.98
7,3,Rx,0.17096,72.0198,3471549,386.54
7,3,Tx,0.001,72.01832,3598403,399.73
7,4,Rx,0.17096,72.7573,3536822,389.81
7,4,Tx,0.001,72.25102,3479583,385.28
7,5,Rx,0.17096,72.18234,3468443,385.32
7,5,Tx,0.001,72.183,3358542,372.23
7,6,Rx,0.17096,73.80044,3421478,371.75
7,6,Tx,0.001,73.25984,3478213,379.83
8,0,Rx,0.08548,23.195,1155405,399.98
8,0,Tx,0.001,23.19276,1159517,399.98
8,1,Rx,0.08548,23.195,1155405,399.98
8,1,Tx,0.001,23.19276,1159517,399.98
8,2,Rx,0.08548,23.195,1155405,399.98
8,2,Tx,0.001,23.19276,1159517,399.98
8,3,Rx,0.17096,71.17612,3537730,398.59
8,3,Tx,0.001,71.16844,3541842,398.14
8,4,Rx,0.17096,72.79146,3477211,383.06
8,4,Tx,0.001,72.14896,3349774,371.43
8,5,Rx,0.17096,72.22192,3538801,392.92
8,5,Tx,0.001,72.21374,3608688,399.78
8,6,Rx,0.17096,73.78934,3344590,363.45
8,6,Tx,0.001,73.60256,3414477,371.13
9,0,Rx,0.08548,23.195,1155405,399.98
9,0,Tx,0.001,23.19276,1159517,399.98
9,1,Rx,0.08548,23.195,1155405,399.98
9,1,Tx,0.001,23.19276,1159517,399.98
9,2,Rx,0.08548,23.195,1155405,399.98
9,2,Tx,0.001,23.19276,1159517,399.98
9,3,Rx,0.17096,71.96696,3538136,394.24
9,3,Tx,0.001,71.96796,3551017,394.74
9,4,Rx,0.17096,72.64892,3407514,376.12
9,4,Tx,0.001,72.06334,3473017,385.56
9,5,Rx,0.17096,72.382,3598010,398.61
9,5,Tx,0.001,72.37636,3413605,377.32
9,6,Rx,0.17096,73.7911,3354632,364.53
9,6,Tx,0.001,73.68604,3477142,377.51
10,0,Rx,0.08548,23.195,1155405,399.98
10,0,Tx,0.001,23.19276,1159517,399.98
10,1,Rx,0.08548,23.195,1155405,399.98
10,1,Tx,0.001,23.19276,1159517,399.98
10,2,Rx,0.08548,23.195,1155405,399.98
10,2,Tx,0.001,23.19276,1159517,399.98
10,3,Rx,0.17096,71.55656,3475471,389.49
10,3,Tx,0.001,71.55756,3540934,395.88
10,4,Rx,0.17096,72.65092,3469311,382.93
10,4,Tx,0.001,72.06492,3420800,379.75
10,5,Rx,0.17096,72.14694,3540800,393.55
10,5,Tx,0.001,72.14794,3466025,384.33
10,6,Rx,0.17096,72.46902,3412710,377.63
10,6,Tx,0.001,72.36738,3486982,385.48
11,0,Rx,0.08548,23.195,1155405,399.98
11,0,Tx,0.001,23.19276,1159517,399.98
11,1,Rx,0.08548,23.195,1155405,399.98
11,1,Tx,0.001,23.19276,1159517,399.98
11,2,Rx,0.08548,23.195,1155405,399.98
11,2,Tx,0.001,23.19276,1159517,399.98
11,3,Rx,0.17096,70.78566,3414952,386.88
11,3,Tx,0.001,70.77336,3348888,378.55
11,4,Rx,0.17096,72.74906,3404038,375.21
11,4,Tx,0.001,72.23184,3539661,392.04
11,5,Rx,0.17096,72.14852,3407920,378.78
11,5,Tx,0.001,72.14952,3482191,386.11
11,6,Rx,0.17096,73.92784,3671422,398.22
11,6,Tx,0.001,73.92388,3543984,383.53
12,0,Rx,0.08548,23.195,1155405,399.98
12,0,Tx,0.001,23.19276,1159517,399.98
12,1,Rx,0.08548,23.195,1155405,399.98
12,1,Tx,0.001,23.19276,1159517,399.98
12,2,Rx,0.08548,23.195,1155405,399.98
12,2,Tx,0.001,23.19276,1159517,399.98
12,3,Rx,0.25444,71.96854,3358813,374.69
12,3,Tx,0.001,71.96954,3468171,385.52
12,4,Rx,0.17096,72.23242,3399857,377.44
12,4,Tx,0.001,72.23342,3548632,393.02
12,5,Rx,0.17096,72.37284,3540541,392.29
12,5,Tx,0.001,72.1511,3417527,378.94
12,6,Rx,0.17096,73.73342,3599121,391.41
12,6,Tx,0.001,72.48354,3480451,384.14
13,0,Rx,0.08548,23.195,1155405,399.98
13,0,Tx,0.001,23.19276,1159517,399.98
13,1,Rx,0.08548,23.195,1155405,399.98
13,1,Tx,0.001,23.19276,1159517,399.98
13,2,Rx,0.08548,23.195,1155405,399.98
13,2,Tx,0.001,23.19276,1159517,399.98
13,3,Rx,0.33792,71.97012,3473492,387.93
13,3,Tx,0.001,71.97112,3411829,379.25
13,4,Rx,0.25444,72.31374,3537933,392.78
13,4,Tx,0.001,72.235,3546429,392.77
13,5,Rx,0.17096,72.37408,3466906,384.13
13,5,Tx,0.001,72.17736,3554290,393.96
13,6,Rx,0.17096,73.68628,3420001,372.17
13,6,Tx,0.001,72.7487,3402193,374.14
14,0,Rx,0.08548,23.195,1155405,399.98
14,0,Tx,0.001,23.19276,1159517,399.98
14,1,Rx,0.08548,23.195,1155405,399.98
14,1,Tx,0.001,23.19276,1159517,399.98
14,2,Rx,0.08548,23.195,1155405,399.98
14,2,Tx,0.001,23.19276,1159517,399.98
14,3,Rx,0.4214,71.9717,3469773,387.95
14,3,Tx,0.001,71.9727,3473885,386.14
14,4,Rx,0.33792,72.78746,3610031,398.63
14,4,Tx,0.001,72.78598,3605375,396.28
14,5,Rx,0.25444,72.37584,3469920,384.9
14,5,Tx,0.001,72.27588,3434562,380.17
14,6,Rx,0.17096,73.5107,3348568,365.27
14,6,Tx,0.001,72.23238,3400919,376.67
15,0,Rx,0.08548,23.195,1155405,399.98
15,0,Tx,0.001,23.19276,1159517,399.98
15,1,Rx,0.08548,23.195,1155405,399.98
15,1,Tx,0.001,23.19276,1159517,399.98
15,2,Rx,0.08548,23.195,1155405,399.98
15,2,Tx,0.001,23.19276,1159517,399.98
15,3,Rx,0.3404,72.0238,3417121,381.36
15,3,Tx,0.001,72.01432,3535479,392.76
15,4,Rx,0.4214,72.31498,3482260,387.49
15,4,Tx,0.001,72.23658,3403061,376.88
15,5,Rx,0.33792,72.37784,3533549,392.4
