nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,23.19502,1155406,399.98
0,0,Tx,0.001,23.19278,1159517,399.98
0,1,Rx,0.08548,23.195,1155405,399.98
0,1,Tx,0.001,23.19276,1159517,399.98
0,2,Rx,0.08548,23.195,1155405,399.98
0,2,Tx,0.001,23.19276,1159517,399.98
0,3,Rx,0.17096,71.97328,3400988,378.93
0,3,Tx,0.001,71.97428,3343709,371.66
0,4,Rx,0.17096,72.31622,3545590,393.16
0,4,Tx,0.001,72.30944,3470815,384.0
0,5,Rx,0.17096,72.5084,3481129,384.99
0,5,Tx,0.001,72.23192,3607983,399.61
0,6,Rx,0.17096,73.45622,3470585,378.86
0,6,Tx,0.001,73.18664,3492234,381.74
1,0,Rx,0.08548,23.19502,1155405,399.98
1,0,Tx,0.001,23.19278,1159518,399.98
1,1,Rx,0.08548,23.19502,1155406,399.98
1,1,Tx,0.001,23.19278,1159517,399.98
1,2,Rx,0.08548,23.195,1155405,399.98
1,2,Tx,0.001,23.19276,1159517,399.98
1,3,Rx,0.17096,71.97486,3406646,379.55
1,3,Tx,0.001,71.97586,3410758,379.11
1,4,Rx,0.17096,72.75238,3532438,389.35
1,4,Tx,0.001,72.64718,3483967,383.66
1,5,Rx,0.25444,72.48454,3487050,386.22
1,5,Tx,0.001,71.09302,3407851,383.49
1,6,Rx,0.25444,73.55168,3472158,378.97
1,6,Tx,0.001,73.4478,3612164,393.45
2,0,Rx,0.08548,23.195,1155405,399.98
2,0,Tx,0.001,23.19276,1159517,399.98
2,1,Rx,0.08548,23.19502,1155405,399.98
2,1,Tx,0.001,23.19278,1159518,399.98
2,2,Rx,0.08548,23.19502,1155406,399.98
2,2,Tx,0.001,23.19278,1159517,399.98
2,3,Rx,0.17096,71.97644,3464724,386.01
2,3,Tx,0.001,71.97744,3420597,380.19
2,4,Rx,0.17096,72.75438,3472158,382.69
2,4,Tx,0.001,72.73166,3612164,397.32
2,5,Rx,0.17096,71.37826,3412101,383.34
2,5,Tx,0.001,71.11886,3473220,390.7
2,6,Rx,0.33792,72.27726,3549309,394.7
2,6,Tx,0.001,71.73098,3408759,380.18
3,0,Rx,0.08548,23.195,1155405,399.98
3,0,Tx,0.001,23.19276,1159517,399.98
3,1,Rx,0.08548,23.195,1155405,399.98
3,1,Tx,0.001,23.19276,1159517,399.98
3,2,Rx,0.08548,23.19502,1155405,399.98
3,2,Tx,0.001,23.19278,1159518,399.98
3,3,Rx,0.17096,70.8328,3398081,384.71
3,3,Tx,0.001,70.81946,3424113,386.8
3,4,Rx,0.17096,72.72932,3412507,376.25
3,4,Tx,0.001,72.2141,3482394,385.79
3,5,Rx,0.17096,72.48654,3421073,378.46
3,5,Tx,0.001,71.9456,3469039,385.75
3,6,Rx,0.17096,73.92938,3666632,397.69
3,6,Tx,0.001,73.91076,3539194,383.08
4,0,Rx,0.08548,23.19502,1155406,399.98
4,0,Tx,0.001,23.19278,1159517,399.98
4,1,Rx,0.08548,23.195,1155405,399.98
4,1,Tx,0.001,23.19276,1159517,399.98
4,2,Rx,0.08548,23.195,1155405,399.98
4,2,Tx,0.001,23.19276,1159517,399.98
4,3,Rx,0.17096,71.17392,3532438,398.0
4,3,Tx,0.001,71.06282,3483967,392.22
4,4,Rx,0.17096,72.30642,3488121,386.84
4,4,Tx,0.001,72.29344,3474697,384.52
4,5,Rx,0.17096,72.20282,3412304,378.98
4,5,Tx,0.001,71.08438,3477808,391.41
4,6,Rx,0.17096,73.78476,3465389,376.6
4,6,Tx,0.001,73.09662,3478269,380.68
5,0,Rx,0.08548,23.19502,1155405,399.98
5,0,Tx,0.001,23.19278,1159518,399.98
5,1,Rx,0.08548,23.19502,1155406,399.98
5,1,Tx,0.001,23.19278,1159517,399.98
5,2,Rx,0.08548,23.195,1155405,399.98
5,2,Tx,0.001,23.19276,1159517,399.98
5,3,Rx,0.17096,71.5375,3546904,397.6
5,3,Tx,0.001,71.5252,3542231,396.2
5,4,Rx,0.17096,72.76914,3469311,382.3
5,4,Tx,0.001,72.55714,3420800,377.18
5,5,Rx,0.17096,72.50492,3475471,384.38
5,5,Tx,0.001,72.1663,3540934,392.54
5,6,Rx,0.17096,73.35402,3406646,372.4
5,6,Tx,0.001,71.20172,3410758,383.23
6,0,Rx,0.08548,23.195,1155405,399.98
6,0,Tx,0.001,23.19276,1159517,399.98
6,1,Rx,0.08548,23.19502,1155405,399.98
6,1,Tx,0.001,23.19278,1159518,399.98
6,2,Rx,0.08548,23.19502,1155406,399.98
6,2,Tx,0.001,23.19278,1159517,399.98
6,3,Rx,0.17096,71.56304,3540338,396.72
6,3,Tx,0.001,71.55074,3412923,381.6
6,4,Rx,0.17096,72.75838,3537527,389.88
6,4,Tx,0.001,72.29154,3537255,391.45
6,5,Rx,0.17096,72.38218,3349639,371.09
6,5,Tx,0.001,71.28582,3467765,389.17
6,6,Rx,0.17096,73.82346,3470788,376.99
6,6,Tx,0.001,73.09412,3496820,382.72
7,0,Rx,0.08548,23.195,1155405,399.98
7,0,Tx,0.001,23.19276,1159517,399.98
7,1,Rx,0.08548,23.195,1155405,399.98
7,1,Tx,0.001,23.19276,1159517,399.98
7,2,Rx,0.08548,23.19502,1155405,399.98
7,2,Tx,0.001,23.19278,1159518,399.98
7,3,Rx,0.17096,72.0198,3471549,386.54
7,3,Tx,0.001,72.01832,3598403,399.73
7,4,Rx,0.17096,72.74662,3536822,389.86
7,4,Tx,0.001,72.25102,3479583,385.28
7,5,Rx,0.17096,72.47754,3468443,383.75
7,5,Tx,0.001,71.175,3358541,377.5
7,6,Rx,0.17096,73.8001,3421479,371.75
7,6,Tx,0.001,73.1776,3478213,380.25
8,0,Rx,0.08548,23.19502,1155406,399.98
8,0,Tx,0.001,23.19278,1159517,399.98
8,1,Rx,0.08548,23.195,1155405,399.98
8,1,Tx,0.001,23.19276,1159517,399.98
8,2,Rx,0.08548,23.195,1155405,399.98
8,2,Tx,0.001,23.19276,1159517,399.98
8,3,Rx,0.17096,71.17612,3537730,398.59
8,3,Tx,0.001,71.16844,3541842,398.14
8,4,Rx,0.17096,70.97014,3414952,385.87
8,4,Tx,0.001,70.97114,3348905,377.5
8,5,Rx,0.17096,72.50656,3600192,398.17
8,5,Tx,0.001,72.50344,3547297,391.41
8,6,Rx,0.17096,73.80186,3345458,363.48
8,6,Tx,0.001,73.69798,3476737,377.41
9,0,Rx,0.08548,23.19502,1155405,399.98
9,0,Tx,0.001,23.19278,1159518,399.98
9,1,Rx,0.08548,23.19502,1155406,399.98
9,1,Tx,0.001,23.19278,1159517,399.98
9,2,Rx,0.08548,23.195,1155405,399.98
9,2,Tx,0.001,23.19276,1159517,399.98
9,3,Rx,0.17096,71.96696,3538136,394.24
9,3,Tx,0.001,71.96796,3551016,394.74
9,4,Rx,0.17096,72.55762,3407514,376.59
9,4,Tx,0.001,72.02858,3473017,385.74
9,5,Rx,0.17096,72.382,3598010,398.61
9,5,Tx,0.001,72.3767,3413605,377.32
9,6,Rx,0.17096,73.79076,3354632,364.54
9,6,Tx,0.001,73.6038,3477142,377.94
10,0,Rx,0.08548,23.195,1155405,399.98
10,0,Tx,0.001,23.19276,1159517,399.98
10,1,Rx,0.08548,23.19502,1155405,399.98
10,1,Tx,0.001,23.19278,1159518,399.98
10,2,Rx,0.08548,23.19502,1155406,399.98
10,2,Tx,0.001,23.19278,1159517,399.98
10,3,Rx,0.17096,71.55656,3475471,389.49
10,3,Tx,0.001,71.55756,3540934,395.88
