taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1118481,URMA_WRITE,7,0ns,0,,0.0,22.82372,0.001,22.82696,392.0416
1,0,4,1118482,URMA_WRITE,7,0ns,0,,0.0,23.27536,0.001,23.44754,384.4347
2,0,5,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27576,0.001,23.44774,384.4277
3,0,6,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27576,0.001,23.44774,384.4277
4,0,7,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27576,0.001,23.44774,384.4277
5,4,5,1118481,URMA_WRITE,7,0ns,0,,0.0,22.82372,0.001,22.82696,392.0416
6,4,8,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27536,0.001,23.44754,384.4344
7,4,9,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
8,4,10,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
9,4,11,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
10,8,9,1118481,URMA_WRITE,7,0ns,0,,0.0,22.82372,0.001,22.82696,392.0416
11,8,12,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27534,0.001,23.44754,384.4347
12,8,13,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
13,8,14,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
14,8,15,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
15,12,13,1118481,URMA_WRITE,7,0ns,0,,0.0,22.82372,0.001,22.82696,392.0416
16,12,0,1118482,URMA_WRITE,7,0ns,0,,0.0,23.27534,0.001,23.44754,384.435
17,12,1,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27554,0.001,23.44794,384.4314
18,12,2,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27554,0.001,23.44794,384.4314
19,12,3,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27554,0.001,23.44794,384.4314
20,1,2,1118481,URMA_WRITE,7,0ns,0,,0.0,22.82372,0.001,22.82696,392.0416
21,1,7,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44774,384.4281
22,1,4,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
23,1,5,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27534,0.001,23.44754,384.4347
24,1,6,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44774,384.4281
25,5,6,1118481,URMA_WRITE,7,0ns,0,,0.0,22.82372,0.001,22.82696,392.0416
26,5,11,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
27,5,8,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27594,0.001,23.44794,384.4248
28,5,9,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27534,0.001,23.44754,384.4347
29,5,10,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
30,9,10,1118481,URMA_WRITE,7,0ns,0,,0.0,22.82372,0.001,22.82696,392.0416
31,9,15,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
32,9,12,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44774,384.4281
33,9,13,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27534,0.001,23.44754,384.4347
34,9,14,1118481,URMA_WRITE,7,0ns,0,,0.0,23.27574,0.001,23.44794,384.4281
