taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1118482,URMA_WRITE,7,0ns,0,,0.0,94.78024,0.002,95.11728,94.4063
1,0,1,1118481,URMA_WRITE,7,0ns,1,,0.0,23.19236,0.001,23.19502,385.8102
2,0,14,1118481,URMA_WRITE,7,0ns,2,,0.0,92.70786,0.001,93.837,96.5166
3,0,2,1118481,URMA_WRITE,7,0ns,3,,0.0,23.19234,0.001,23.195,385.8105
4,1,0,1118482,URMA_WRITE,7,0ns,4,,0.0,23.19234,0.001,23.19502,385.8108
5,1,2,1118481,URMA_WRITE,7,0ns,5,,0.0,23.19236,0.001,23.19502,385.8102
6,1,15,1118481,URMA_WRITE,7,0ns,6,,0.0,86.75602,0.001,92.71462,103.1381
7,1,3,1118481,URMA_WRITE,7,0ns,7,,0.0,23.19234,0.001,23.195,385.8105
8,2,1,1118482,URMA_WRITE,7,0ns,8,,0.0,23.19234,0.001,23.19502,385.8108
9,2,3,1118481,URMA_WRITE,7,0ns,9,,0.0,23.19236,0.001,23.19502,385.8102
10,2,0,1118481,URMA_WRITE,7,0ns,10,,0.0,23.19234,0.001,23.195,385.8105
11,2,4,1118481,URMA_WRITE,7,0ns,11,,0.0,86.37392,0.001,92.71138,103.5943
12,3,2,1118482,URMA_WRITE,7,0ns,12,,0.0,23.19234,0.001,23.19502,385.8108
13,3,4,1118481,URMA_WRITE,7,0ns,13,,0.0,93.68614,0.001,94.1071,95.5088
14,3,1,1118481,URMA_WRITE,7,0ns,14,,0.0,23.19234,0.001,23.195,385.8105
15,3,5,1118481,URMA_WRITE,7,0ns,15,,0.0,92.70966,0.002,94.05056,96.5147
16,4,3,1118482,URMA_WRITE,7,0ns,16,,0.0,94.6138,0.002,94.95036,94.5724
17,4,5,1118481,URMA_WRITE,7,0ns,17,,0.0,23.19236,0.001,23.19502,385.8102
18,4,2,1118481,URMA_WRITE,7,0ns,18,,0.0,92.7089,0.001,93.837,96.5155
19,4,6,1118481,URMA_WRITE,7,0ns,19,,0.0,23.19234,0.001,23.195,385.8105
20,5,4,1118482,URMA_WRITE,7,0ns,20,,0.0,23.19234,0.001,23.19502,385.8108
21,5,6,1118481,URMA_WRITE,7,0ns,21,,0.0,23.19236,0.001,23.19502,385.8102
22,5,3,1118481,URMA_WRITE,7,0ns,22,,0.0,86.75582,0.001,92.71338,103.1383
23,5,7,1118481,URMA_WRITE,7,0ns,23,,0.0,23.19234,0.001,23.195,385.8105
24,6,5,1118482,URMA_WRITE,7,0ns,24,,0.0,23.19234,0.001,23.19502,385.8108
25,6,7,1118481,URMA_WRITE,7,0ns,25,,0.0,23.19236,0.001,23.19502,385.8102
26,6,4,1118481,URMA_WRITE,7,0ns,26,,0.0,23.19234,0.001,23.195,385.8105
27,6,8,1118481,URMA_WRITE,7,0ns,27,,0.0,86.37412,0.001,92.71014,103.5941
28,7,6,1118482,URMA_WRITE,7,0ns,28,,0.0,23.19234,0.001,23.19502,385.8108
29,7,8,1118481,URMA_WRITE,7,0ns,29,,0.0,93.68614,0.001,94.1071,95.5088
30,7,5,1118481,URMA_WRITE,7,0ns,30,,0.0,23.19234,0.001,23.195,385.8105
31,7,9,1118481,URMA_WRITE,7,0ns,31,,0.0,92.70966,0.002,94.05036,96.5147
32,8,7,1118482,URMA_WRITE,7,0ns,32,,0.0,94.6138,0.002,94.94912,94.5724
33,8,9,1118481,URMA_WRITE,7,0ns,33,,0.0,23.19236,0.001,23.19502,385.8102
34,8,6,1118481,URMA_WRITE,7,0ns,34,,0.0,92.70766,0.001,94.00842,96.5168
35,8,10,1118481,URMA_WRITE,7,0ns,35,,0.0,23.19234,0.001,23.195,385.8105
36,9,8,1118482,URMA_WRITE,7,0ns,36,,0.0,23.19234,0.001,23.19502,385.8108
37,9,10,1118481,URMA_WRITE,7,0ns,37,,0.0,23.19236,0.001,23.19502,385.8102
38,9,7,1118481,URMA_WRITE,7,0ns,38,,0.0,86.75582,0.001,92.71338,103.1383
39,9,11,1118481,URMA_WRITE,7,0ns,39,,0.0,23.19234,0.001,23.195,385.8105
40,10,9,1118482,URMA_WRITE,7,0ns,40,,0.0,23.19234,0.001,23.19502,385.8108
41,10,11,1118481,URMA_WRITE,7,0ns,41,,0.0,23.19236,0.001,23.19502,385.8102
42,10,8,1118481,URMA_WRITE,7,0ns,42,,0.0,23.19234,0.001,23.195,385.8105
43,10,12,1118481,URMA_WRITE,7,0ns,43,,0.0,86.37392,0.001,92.71014,103.5943
44,11,10,1118482,URMA_WRITE,7,0ns,44,,0.0,23.19234,0.001,23.19502,385.8108
45,11,12,1118481,URMA_WRITE,7,0ns,45,,0.0,93.68614,0.001,94.1071,95.5088
46,11,9,1118481,URMA_WRITE,7,0ns,46,,0.0,23.19234,0.001,23.195,385.8105
47,11,13,1118481,URMA_WRITE,7,0ns,47,,0.0,92.70946,0.002,94.05016,96.5149
48,12,11,1118482,URMA_WRITE,7,0ns,48,,0.0,94.6138,0.002,94.94912,94.5724
