nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,23.19502,1155406,399.98
0,0,Tx,0.001,23.19278,1159517,399.98
0,1,Rx,0.08548,23.195,1155405,399.98
0,1,Tx,0.001,23.19276,1159517,399.98
0,2,Rx,23.27782,46.38794,1155405,399.97
0,2,Tx,23.19336,46.3857,1159517,399.97
0,3,Rx,0.17096,342.0546,13910894,325.51
0,3,Tx,0.001,342.0556,13915007,325.45
1,0,Rx,0.08548,23.19502,1155405,399.98
1,0,Tx,0.001,23.19278,1159518,399.98
1,1,Rx,0.08548,23.19502,1155406,399.98
1,1,Tx,0.001,23.19278,1159517,399.98
1,2,Rx,0.08548,23.195,1155405,399.98
1,2,Tx,0.001,23.19276,1159517,399.98
1,3,Rx,0.25444,350.07226,13910894,318.13
1,3,Tx,0.001,350.05838,13915006,318.01
2,0,Rx,0.08548,23.195,1155405,399.98
2,0,Tx,0.001,23.19276,1159517,399.98
2,1,Rx,0.08548,23.19502,1155405,399.98
2,1,Tx,0.001,23.19278,1159518,399.98
2,2,Rx,0.08548,23.19502,1155406,399.98
2,2,Tx,0.001,23.19278,1159517,399.98
2,3,Rx,0.17096,335.0178,13910894,332.35
2,3,Tx,0.001,335.0055,13914989,332.29
3,0,Rx,23.27784,46.38794,1155405,399.97
3,0,Tx,23.19334,46.3857,1159517,399.97
3,1,Rx,0.08548,23.195,1155405,399.98
3,1,Tx,0.001,23.19276,1159517,399.98
3,2,Rx,0.08548,23.19502,1155405,399.98
3,2,Tx,0.001,23.19278,1159518,399.98
3,3,Rx,0.17096,335.35122,13910895,332.02
3,3,Tx,0.001,335.35222,13915006,331.95
4,0,Rx,0.08548,23.19502,1155406,399.98
4,0,Tx,0.001,23.19278,1159517,399.98
4,1,Rx,0.08548,23.195,1155405,399.98
4,1,Tx,0.001,23.19276,1159517,399.98
4,2,Rx,23.27782,46.38794,1155405,399.97
4,2,Tx,23.19336,46.3857,1159517,399.97
4,3,Rx,0.17096,342.82876,13910854,324.78
4,3,Tx,0.001,342.82976,13915007,324.71
5,0,Rx,0.08548,23.19502,1155405,399.98
5,0,Tx,0.001,23.19278,1159518,399.98
5,1,Rx,0.08548,23.19502,1155406,399.98
5,1,Tx,0.001,23.19278,1159517,399.98
5,2,Rx,0.08548,23.195,1155405,399.98
5,2,Tx,0.001,23.19276,1159517,399.98
5,3,Rx,0.25444,350.48862,13910894,317.75
5,3,Tx,0.001,350.47474,13915006,317.63
6,0,Rx,0.08548,23.195,1155405,399.98
6,0,Tx,0.001,23.19276,1159517,399.98
6,1,Rx,0.08548,23.19502,1155405,399.98
6,1,Tx,0.001,23.19278,1159518,399.98
6,2,Rx,0.08548,23.19502,1155406,399.98
6,2,Tx,0.001,23.19278,1159517,399.98
6,3,Rx,0.17096,334.30728,13910894,333.06
6,3,Tx,0.001,334.29498,13914989,333.0
7,0,Rx,23.27784,46.38794,1155405,399.97
7,0,Tx,23.19334,46.3857,1159517,399.97
7,1,Rx,0.08548,23.195,1155405,399.98
7,1,Tx,0.001,23.19276,1159517,399.98
7,2,Rx,0.08548,23.19502,1155405,399.98
7,2,Tx,0.001,23.19278,1159518,399.98
7,3,Rx,0.17096,335.26978,13910855,332.1
7,3,Tx,0.001,335.27078,13915006,332.03
8,0,Rx,0.08548,23.19502,1155406,399.98
8,0,Tx,0.001,23.19278,1159517,399.98
8,1,Rx,0.08548,23.195,1155405,399.98
8,1,Tx,0.001,23.19276,1159517,399.98
8,2,Rx,23.27782,46.38794,1155405,399.97
8,2,Tx,23.19336,46.3857,1159517,399.97
8,3,Rx,0.17096,341.58384,13910894,325.96
8,3,Tx,0.001,341.58484,13915007,325.89
9,0,Rx,0.08548,23.19502,1155405,399.98
9,0,Tx,0.001,23.19278,1159518,399.98
9,1,Rx,0.08548,23.19502,1155406,399.98
9,1,Tx,0.001,23.19278,1159517,399.98
9,2,Rx,0.08548,23.195,1155405,399.98
9,2,Tx,0.001,23.19276,1159517,399.98
9,3,Rx,0.25444,350.06386,13910894,318.14
9,3,Tx,0.001,349.95098,13915006,318.1
10,0,Rx,0.08548,23.195,1155405,399.98
10,0,Tx,0.001,23.19276,1159517,399.98
10,1,Rx,0.08548,23.19502,1155405,399.98
10,1,Tx,0.001,23.19278,1159518,399.98
10,2,Rx,0.08548,23.19502,1155406,399.98
10,2,Tx,0.001,23.19278,1159517,399.98
10,3,Rx,0.17096,335.3577,13910894,332.02
10,3,Tx,0.001,335.3454,13914989,331.96
11,0,Rx,23.27784,46.38794,1155405,399.97
11,0,Tx,23.19334,46.3857,1159517,399.97
11,1,Rx,0.08548,23.195,1155405,399.98
11,1,Tx,0.001,23.19276,1159517,399.98
11,2,Rx,0.08548,23.19502,1155405,399.98
11,2,Tx,0.001,23.19278,1159518,399.98
11,3,Rx,0.17096,335.01132,13910855,332.36
11,3,Tx,0.001,335.01232,13915006,332.29
12,0,Rx,0.08548,23.19502,1155406,399.98
12,0,Tx,0.001,23.19278,1159517,399.98
12,1,Rx,0.08548,23.195,1155405,399.98
12,1,Tx,0.001,23.19276,1159517,399.98
12,2,Rx,23.27782,46.38794,1155405,399.97
12,2,Tx,23.19336,46.3857,1159517,399.97
12,3,Rx,0.17096,341.4208,13910894,326.12
12,3,Tx,0.001,341.4218,13915007,326.05
13,0,Rx,0.08548,23.19502,1155405,399.98
13,0,Tx,0.001,23.19278,1159518,399.98
13,1,Rx,0.08548,23.19502,1155406,399.98
13,1,Tx,0.001,23.19278,1159517,399.98
13,2,Rx,0.08548,23.195,1155405,399.98
13,2,Tx,0.001,23.19276,1159517,399.98
13,3,Rx,0.25444,350.48022,13910894,317.76
13,3,Tx,0.001,350.2695,13915006,317.81
14,0,Rx,0.08548,23.195,1155405,399.98
14,0,Tx,0.001,23.19276,1159517,399.98
14,1,Rx,0.08548,23.19502,1155405,399.98
14,1,Tx,0.001,23.19278,1159518,399.98
14,2,Rx,0.08548,23.19502,1155406,399.98
14,2,Tx,0.001,23.19278,1159517,399.98
14,3,Rx,0.17096,335.27626,13910894,332.1
14,3,Tx,0.001,335.26396,13914989,332.04
15,0,Rx,23.27784,46.38794,1155405,399.97
15,0,Tx,23.19334,46.3857,1159517,399.97
15,1,Rx,0.08548,23.195,1155405,399.98
15,1,Tx,0.001,23.19276,1159517,399.98
15,2,Rx,0.08548,23.19502,1155405,399.98
15,2,Tx,0.001,23.19278,1159518,399.98
15,3,Rx,0.17096,334.3008,13910855,333.06
15,3,Tx,0.001,334.3018,13915006,332.99
16,0,Rx,0.08548,342.05784,13910895,325.43
16,0,Tx,0.08648,342.05202,13914989,325.53
16,1,Rx,0.08548,350.06062,13910894,317.99
16,1,Tx,0.16996,350.07002,13915006,318.15
16,2,Rx,0.08548,335.00808,13910894,332.28
16,2,Tx,0.08648,335.01556,13915006,332.37
16,3,Rx,0.08548,335.35446,13910894,331.93
16,3,Tx,0.08648,335.34864,13914990,332.04
16,4,Rx,0.08548,342.832,13910895,324.69
16,4,Tx,0.08648,342.82618,13914949,324.79
16,5,Rx,0.08548,350.47698,13910894,317.61
16,5,Tx,0.16996,350.48638,13915006,317.77
16,6,Rx,0.08548,334.29756,13910894,332.98
16,6,Tx,0.08648,334.30504,13915006,333.08
16,7,Rx,0.08548,335.27302,13910894,332.01
16,7,Tx,0.08648,335.2672,13914950,332.12
16,8,Rx,0.08548,341.58708,13910895,325.88
16,8,Tx,0.08648,341.58126,13914989,325.98
16,9,Rx,0.08548,349.95322,13910894,318.08
