taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1118482,URMA_WRITE,7,0ns,0,,0.0,15.4786,0.002,17.1661,578.0792
1,0,1,1118481,URMA_WRITE,7,0ns,1,,0.0,23.19236,0.001,23.19502,385.8102
2,0,14,1118481,URMA_WRITE,7,0ns,2,,0.0,13.6171,0.001,13.81712,657.1038
3,0,2,1118481,URMA_WRITE,7,0ns,3,,0.0,23.19234,0.001,23.195,385.8105
4,1,0,1118482,URMA_WRITE,7,0ns,4,,0.0,23.19234,0.001,23.19502,385.8108
5,1,2,1118481,URMA_WRITE,7,0ns,5,,0.0,23.19236,0.001,23.19502,385.8102
6,1,15,1118481,URMA_WRITE,7,0ns,6,,0.0,12.30056,0.001,16.04952,727.4342
7,1,3,1118481,URMA_WRITE,7,0ns,7,,0.0,23.19234,0.001,23.195,385.8105
8,2,1,1118482,URMA_WRITE,7,0ns,8,,0.0,23.19234,0.001,23.19502,385.8108
9,2,3,1118481,URMA_WRITE,7,0ns,9,,0.0,23.19236,0.001,23.19502,385.8102
10,2,0,1118481,URMA_WRITE,7,0ns,10,,0.0,23.19234,0.001,23.195,385.8105
11,2,4,1118481,URMA_WRITE,7,0ns,11,,0.0,12.29188,0.001,13.7116,727.9479
12,3,2,1118482,URMA_WRITE,7,0ns,12,,0.0,23.19234,0.001,23.19502,385.8108
13,3,4,1118481,URMA_WRITE,7,0ns,13,,0.0,14.30864,0.001,14.4765,625.3458
14,3,1,1118481,URMA_WRITE,7,0ns,14,,0.0,23.19234,0.001,23.195,385.8105
15,3,5,1118481,URMA_WRITE,7,0ns,15,,0.0,12.31166,0.001,12.3181,726.7784
16,4,3,1118482,URMA_WRITE,7,0ns,16,,0.0,13.8833,0.001,14.13852,644.505
17,4,5,1118481,URMA_WRITE,7,0ns,17,,0.0,23.19236,0.001,23.19502,385.8102
18,4,2,1118481,URMA_WRITE,7,0ns,18,,0.0,13.5381,0.001,13.7324,660.9382
19,4,6,1118481,URMA_WRITE,7,0ns,19,,0.0,23.19234,0.001,23.195,385.8105
20,5,4,1118482,URMA_WRITE,7,0ns,20,,0.0,23.19234,0.001,23.19502,385.8108
21,5,6,1118481,URMA_WRITE,7,0ns,21,,0.0,23.19236,0.001,23.19502,385.8102
22,5,3,1118481,URMA_WRITE,7,0ns,22,,0.0,12.30304,0.001,12.3939,727.2876
