taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,1118482,URMA_WRITE,7,0ns,0,
1,0,1,1118481,URMA_WRITE,7,0ns,1,
2,0,14,1118481,URMA_WRITE,7,0ns,2,
3,0,2,1118481,URMA_WRITE,7,0ns,3,
4,1,0,1118482,URMA_WRITE,7,0ns,4,
5,1,2,1118481,URMA_WRITE,7,0ns,5,
6,1,15,1118481,URMA_WRITE,7,0ns,6,
7,1,3,1118481,URMA_WRITE,7,0ns,7,
8,2,1,1118482,URMA_WRITE,7,0ns,8,
9,2,3,1118481,URMA_WRITE,7,0ns,9,
10,2,0,1118481,URMA_WRITE,7,0ns,10,
11,2,4,1118481,URMA_WRITE,7,0ns,11,
12,3,2,1118482,URMA_WRITE,7,0ns,12,
13,3,4,1118481,URMA_WRITE,7,0ns,13,
14,3,1,1118481,URMA_WRITE,7,0ns,14,
15,3,5,1118481,URMA_WRITE,7,0ns,15,
16,4,3,1118482,URMA_WRITE,7,0ns,16,
17,4,5,1118481,URMA_WRITE,7,0ns,17,
18,4,2,1118481,URMA_WRITE,7,0ns,18,
19,4,6,1118481,URMA_WRITE,7,0ns,19,
20,5,4,1118482,URMA_WRITE,7,0ns,20,
21,5,6,1118481,URMA_WRITE,7,0ns,21,
22,5,3,1118481,URMA_WRITE,7,0ns,22,
23,5,7,1118481,URMA_WRITE,7,0ns,23,
24,6,5,1118482,URMA_WRITE,7,0ns,24,
25,6,7,1118481,URMA_WRITE,7,0ns,25,
26,6,4,1118481,URMA_WRITE,7,0ns,26,
27,6,8,1118481,URMA_WRITE,7,0ns,27,
28,7,6,1118482,URMA_WRITE,7,0ns,28,
29,7,8,1118481,URMA_WRITE,7,0ns,29,
30,7,5,1118481,URMA_WRITE,7,0ns,30,
31,7,9,1118481,URMA_WRITE,7,0ns,31,
32,8,7,1118482,URMA_WRITE,7,0ns,32,
33,8,9,1118481,URMA_WRITE,7,0ns,33,
34,8,6,1118481,URMA_WRITE,7,0ns,34,
35,8,10,1118481,URMA_WRITE,7,0ns,35,
36,9,8,1118482,URMA_WRITE,7,0ns,36,
37,9,10,1118481,URMA_WRITE,7,0ns,37,
38,9,7,1118481,URMA_WRITE,7,0ns,38,
39,9,11,1118481,URMA_WRITE,7,0ns,39,
40,10,9,1118482,URMA_WRITE,7,0ns,40,
41,10,11,1118481,URMA_WRITE,7,0ns,41,
42,10,8,1118481,URMA_WRITE,7,0ns,42,
43,10,12,1118481,URMA_WRITE,7,0ns,43,
44,11,10,1118482,URMA_WRITE,7,0ns,44,
45,11,12,1118481,URMA_WRITE,7,0ns,45,
46,11,9,1118481,URMA_WRITE,7,0ns,46,
47,11,13,1118481,URMA_WRITE,7,0ns,47,
48,12,11,1118482,URMA_WRITE,7,0ns,48,
49,12,13,1118481,URMA_WRITE,7,0ns,49,
50,12,10,1118481,URMA_WRITE,7,0ns,50,
51,12,14,1118481,URMA_WRITE,7,0ns,51,
52,13,12,1118482,URMA_WRITE,7,0ns,52,
53,13,14,1118481,URMA_WRITE,7,0ns,53,
54,13,11,1118481,URMA_WRITE,7,0ns,54,
55,13,15,1118481,URMA_WRITE,7,0ns,55,
56,14,13,1118482,URMA_WRITE,7,0ns,56,
57,14,15,1118481,URMA_WRITE,7,0ns,57,
58,14,12,1118481,URMA_WRITE,7,0ns,58,
59,14,0,1118481,URMA_WRITE,7,0ns,59,
60,15,14,1118482,URMA_WRITE,7,0ns,60,
61,15,0,1118481,URMA_WRITE,7,0ns,61,
62,15,13,1118481,URMA_WRITE,7,0ns,62,
63,15,1,1118481,URMA_WRITE,7,0ns,63,
64,0,13,1118481,URMA_WRITE,7,0ns,64,0
65,0,3,1118481,URMA_WRITE,7,0ns,65,1
66,0,12,1118481,URMA_WRITE,7,0ns,66,2
67,0,4,1118481,URMA_WRITE,7,0ns,67,3
68,1,14,1118481,URMA_WRITE,7,0ns,68,4
69,1,4,1118481,URMA_WRITE,7,0ns,69,5
70,1,13,1118481,URMA_WRITE,7,0ns,70,6
71,1,5,1118481,URMA_WRITE,7,0ns,71,7
72,2,15,1118481,URMA_WRITE,7,0ns,72,8
73,2,5,1118481,URMA_WRITE,7,0ns,73,9
74,2,14,1118481,URMA_WRITE,7,0ns,74,10
